suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27227 27287 27270 26814 26657 26666 26902 27439 27289 27214,4563,4563,4563,0,0,0,923,1041,1220
CompilationBenchmarksBigNightly,caskApp,150,1,707.8 616.8 635 648.7 660.6 656.4 641.5 618.9 616.4 616.9,164,164,164,0,0,0,17,98.2,268
CompilationBenchmarksBigNightly,dottyUtils,170,1,1152 1155 1154 1153 1152 1151 1155 1155 1151 1158,208.4,208.4,208.4,0,0,0,1,78.8,260
CompilationBenchmarksBigNightly,fansi,150,1,1342 1335 1331 1333 1331 1331 1425 1395 1370 1335,244.5,244.5,244.5,0,0,0,300,385.8,574
CompilationBenchmarksBigNightly,parallelCollections,100,1,4786 4682 4896 4682 4766 4743 4686 4727 4739 4731,687.9,687.9,688,0,0,0,6,79.1,254
CompilationBenchmarksBigNightly,re2s,120,1,1900 1902 1902 1902 1908 1905 1899 1917 1891 1878,331.8,331.8,332,0,0,0,9,126.7,315
CompilationBenchmarksBigNightly,scalaToday,150,1,3453 3446 3445 3445 3445 3450 3443 3442 3449 3443,610.7,610.7,611.5,0,0,0,41,165.3,363
CompilationBenchmarksBigNightly,scalaYaml,80,1,4634 4636 4699 4740 4722 4726 4699 4723 4629 4632,644.4,644.5,644.5,0,0,0,81,250,732
CompilationBenchmarksBigNightly,sourcecode,170,1,955.5 951.8 954.6 954.8 952.6 952.5 977.4 960 953 958.2,210.3,210.3,210.3,0,0,0,9,97.5,396
CompilationBenchmarksBigNightly,tastyQuery,60,1,5207 5208 5207 5216 5155 5203 5203 5201 5203 5199,757.9,757.9,757.9,0,0,0,54,209.1,681
CompilationBenchmarksBigNightly,tictactoe,150,1,1269 1272 1269 1269 1271 1268 1313 1303 1314 1302,325.8,325.8,325.8,0,0,0,87,177.2,427
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1269 1285 1264 1258 1279 1275 1265 1274 1249 1252,429.7,429.8,429.9,0,0,0,12,77.4,192
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1645 1647 1648 1625 1629 1632 1623 1643 1629 1643,290.8,290.8,290.8,0,0,0,24,182.3,538
CompilationBenchmarksBigWeekly,scalaz,60,1,28575 28730 28603 28464 28679 28690 28640 28638 29647 29146,4248,4252,4258,2,2.6,3,53,198.1,494
CompilationBenchmarksSmallNightly,helloWorld,150,1,169.9 174.8 173.7 174.1 197.2 174.9 170.6 170.3 171.5 170.9,65.51,65.51,65.51,0,0,0,2,23.4,53
CompilationBenchmarksSmallNightly,implicitInductive,150,1,934.1 937.3 933.3 933.9 934.1 933.6 933.6 932.3 931.9 930.7,107.7,107.7,107.7,0,0,0,3,69.5,151
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,639.8 641.2 638.8 641.3 639.6 639.1 641.2 640.3 640.1 638.6,146.9,146.9,146.9,0,0,0,9,55.9,143
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,401.8 399.7 403.5 403.4 415.1 397.4 398.2 397.4 399.8 398.5,109.6,109.6,109.6,0,0,0,7,115.5,435
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,300.2 300.1 298.4 298.3 298.1 299.2 298.8 298.2 299.5 300.2,100.7,100.7,100.7,0,0,0,1,50.3,183
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,205.8 214.1 221.2 222.9 221.3 213.2 221.1 221.6 221.8 223.1,77.85,77.85,77.85,0,0,0,1,38,118
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,197 197.2 196.2 196.5 196 196.1 196.1 195.9 196.9 196,73.87,73.87,73.88,0,0,0,1,30,115
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,202 213.6 213.6 213.9 210.3 214 212.7 215 207.8 199.3,73.97,73.97,73.97,0,0,0,1,23.8,58
CompilationBenchmarksSmallWeekly,findRef,150,1,161.5 161.7 160.5 160.3 162 161.4 159.4 160.7 159.8 160.6,60.88,60.89,60.89,0,0,0,2,25.4,69
CompilationBenchmarksSmallWeekly,i1535,150,1,253.8 246 258.5 252 255.4 253 246.3 249.8 245.2 255.7,85.24,85.25,85.25,0,0,0,6,58.6,168
CompilationBenchmarksSmallWeekly,i1687,150,1,158.8 159.4 159.3 159.7 158.9 158.7 158.9 158.7 160 159.6,63.59,63.59,63.59,0,0,0,0,18.6,54
CompilationBenchmarksSmallWeekly,implicitCache,150,1,230.7 246.6 226.3 235 235.7 234.8 235.5 228.4 223 235.4,83.4,83.4,83.4,0,0,0,2,32.2,131
CompilationBenchmarksSmallWeekly,implicitNums,150,1,426.8 426.9 426.3 426.6 425.8 425.6 426.3 426.8 425.4 428.5,131.6,131.6,131.6,0,0,0,1,26.4,154
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,225.1 224.7 223.7 224 224.8 223.6 226.1 225.2 226.6 225.6,83.7,83.7,83.7,0,0,0,3,28.5,86
CompilationBenchmarksSmallWeekly,tuple,150,1,243.5 243 243.1 242.8 242.4 243.1 242.5 242.8 243.8 243.3,86.18,86.19,86.19,0,0,0,6,23.9,51
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,193.8 194.4 194.1 194 194.2 194.1 193.5 196.6 194.1 194.4,73.18,73.18,73.18,0,0,0,1,33.9,128
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,228.3 226.3 226.4 226.8 227.7 227.3 227.5 227.8 227.3 227.7,76.9,76.9,76.9,0,0,0,1,16.6,82
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,166.2 166.3 165.6 165.1 166.2 165.4 165.2 164.7 164.9 171.6,66.44,66.44,66.45,0,0,0,1,22.6,122
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,184.1 184 183.7 184.3 183.4 183.3 183 182.8 183.3 183.9,70.02,70.02,70.02,0,0,0,14,40.7,111
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,235.6 235.4 235.7 234.9 234.6 234.6 234.4 234.1 235.4 233.8,84.03,84.03,84.03,0,0,0,0,42.1,124
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,166.3 166.3 165.9 165.5 165.6 165.6 194.3 165.6 166.3 165.6,65.86,65.86,65.86,0,0,0,3,25.6,63
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5364 5370 5326 5337 5203 5185 5185 5184 5182 5178,762,762,762,0,0,0,40,205,669
