suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,29800 30098 29908 29212 29040 29112 27609 27914 28381 27722,4480,4480,4480,0,0,0,1043,1275,1562
CompilationBenchmarksBigNightly,caskApp,130,1,594 560 569.6 594.1 596.3 591.8 563.3 597.5 589.2 594.2,134.3,134.3,134.3,0,0,0,30,162.7,392
CompilationBenchmarksBigNightly,dottyUtils,170,1,1094 1096 1096 1094 1095 1095 1097 1095 1094 1097,178.6,178.6,178.6,0,0,0,1,76.1,201
CompilationBenchmarksBigNightly,fansi,140,1,1295 1316 1310 1307 1293 1295 1295 1293 1293 1297,210.5,210.5,210.5,0,0,0,336,446.5,639
CompilationBenchmarksBigNightly,parallelCollections,100,1,4580 4583 4577 4579 4572 4642 4572 4793 4576 4666,639.5,639.5,639.5,0,0,0,16,99.2,242
CompilationBenchmarksBigNightly,re2s,60,1,1900 1900 1897 1914 1905 1899 1897 1896 1893 1893,293.1,293.1,293.2,0,0,0,84,187,447
CompilationBenchmarksBigNightly,scalaToday,130,1,3453 3453 3451 3452 3453 3449 3451 3450 3449 3450,555.5,555.5,555.5,0,0,0,13,197.1,530
CompilationBenchmarksBigNightly,scalaYaml,40,1,4644 4861 4661 4660 4820 4637 4631 4632 4626 4620,599.7,600.2,600.3,0,0,0,156,437.2,637
CompilationBenchmarksBigNightly,sourcecode,100,1,1062 997.4 1003 991 990.8 990 990.7 991.1 986.1 987.1,182.7,182.7,182.7,0,0,0,23,107.5,422
CompilationBenchmarksBigNightly,tastyQuery,60,1,5036 5032 5032 5057 5051 5034 5084 5084 5082 5080,712.9,712.9,713,0,0,0,55,217.3,634
CompilationBenchmarksBigNightly,tictactoe,130,1,1121 1128 1121 1128 1156 1131 1130 1135 1155 1132,261.5,261.6,261.7,0,0,0,88,267.9,540
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1171 1186 1180 1185 1183 1181 1181 1181 1181 1180,399.8,399.9,400.1,0,0,0,8,102.5,178
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1545 1552 1545 1549 1549 1549 1546 1572 1545 1542,252.2,252.2,252.3,0,0,0,17,190.4,471
CompilationBenchmarksBigWeekly,scalaz,25,1,28399 27985 27349 28553 28311 27479 27044 27491 28375 28236,4014,4014,4014,0,0,0,185,497.1,1189
CompilationBenchmarksSmallNightly,helloWorld,150,1,119.2 120.2 119.9 119.8 120.2 120 119.2 119.4 118.9 120.1,38.74,38.74,38.74,0,0,0,3,21.8,50
CompilationBenchmarksSmallNightly,implicitInductive,150,1,887.8 887.2 886.3 887.2 885.9 886.8 885.9 885.4 888 885.5,76.65,76.66,76.66,0,0,0,3,63.9,164
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,590.8 590.5 589.3 591.3 589.6 589.2 591.9 590.5 589.3 589.2,112.9,112.9,112.9,0,0,0,13,56.5,157
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,345.6 355.1 343.3 345.2 342.1 339.2 338.8 367.1 365.8 348.3,80.94,80.95,80.98,0,0,0,16,167.5,619
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,240.4 241.4 239.2 239.8 239 239.3 239.5 238.8 239.8 241.5,69.06,69.06,69.07,0,0,0,5,45.2,164
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,156.9 156.6 155.9 156 155.9 155.5 156.6 157 156 156.5,49.2,49.2,49.21,0,0,0,2,45.4,117
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.9 148.5 149.7 149.4 149.1 148.4 148.5 148.8 147.1 149.7,44.06,44.06,44.07,0,0,0,3,29.9,111
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,142.8 142.7 141.9 141.9 142 141.6 141.7 141.3 142.2 142,44.03,44.03,44.03,0,0,0,0,21.5,64
CompilationBenchmarksSmallWeekly,findRef,150,1,114.7 112.5 111.9 112.1 113.2 112.4 113.4 111.5 112.4 111.9,33.76,33.76,33.76,0,0,0,2,33.1,115
CompilationBenchmarksSmallWeekly,i1535,150,1,185.1 185.1 185.7 184.6 185.9 185.4 182.7 185.9 184.9 192,52.92,52.93,52.93,0,0,0,10,37.3,80
CompilationBenchmarksSmallWeekly,i1687,150,1,110.9 116.9 110.7 111.2 111.3 110.3 110.7 109.7 111.3 111.2,36.69,36.69,36.7,0,0,0,1,19.9,35
CompilationBenchmarksSmallWeekly,implicitCache,150,1,138.6 139.7 139.1 139.1 139.1 138.9 138.7 138.9 138 139,44.07,44.07,44.07,0,0,0,1,21.6,67
CompilationBenchmarksSmallWeekly,implicitNums,150,1,339.5 339.1 338.4 338.9 338.2 338.2 338.3 338.2 340.7 338.4,88.28,88.29,88.29,0,0,0,1,27.6,174
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,146 145.8 145.5 146.8 146.2 145.1 145 145 146.2 144.9,44.53,44.54,44.54,0,0,0,3,33.6,83
CompilationBenchmarksSmallWeekly,tuple,150,1,178.1 177.2 177.8 177.8 177.1 177.1 176.8 176.8 177.7 177.4,55.23,55.24,55.24,0,0,0,6,31.2,70
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,142 142.5 141.4 141.9 141.9 141.4 141.7 141.6 140.7 141.9,44.2,44.2,44.2,0,0,0,3,24.4,77
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,174.3 174.7 172.8 223.4 176.5 172.1 180.2 172 171.5 171.2,50.93,50.93,50.94,0,0,0,1,27.2,153
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,112.5 112.6 111.4 111.2 111.6 111.2 111.7 111.4 111.4 116.1,37.09,37.09,37.09,0,0,0,1,15.8,38
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,132.4 133.9 132.1 131.3 132.7 131.8 132.1 132.9 131.1 132.3,41.96,41.96,41.96,0,0,0,3,41,98
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,179.2 174.1 174 172.5 172.4 172.3 171.8 171.4 173.2 171.9,52.65,52.65,52.65,0,0,0,1,33.4,99
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,123.2 121.3 121 123.7 124.9 129.6 129 120.8 124.6 128.4,38.7,38.71,38.71,0,0,0,2,18.9,53
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5040 5036 5040 5122 5117 5112 5115 5110 5109 5107,713.5,713.5,713.5,0,0,0,19,188.9,572
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,23.54 23.54 23.38 23.61 23.54 23.59 23.52 23.41 23.69 23.57,4.439,4.439,4.439,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,12.58 12.64 12.66 12.63 12.58 12.61 12.6 12.61 12.59 12.58,1.813,1.813,1.813,0,0,0,0,0.7,3
RuntimeBenchmarksAwfyWeekly,cd,20,1,25.66 25.67 25.61 25.61 25.58 25.74 25.86 25.54 25.53 25.53,31.17,31.17,31.17,0,0,0,0,1.3,4
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,22.66 22.46 22.58 22.33 22.29 22.28 22.26 22.27 22.3 22.26,16.26,16.26,16.27,0,0,0,0,0.7,3
RuntimeBenchmarksAwfyWeekly,gcbench,30,1,166.4 166.7 166.5 166.3 166.4 167 167.9 166.4 166.3 166.3,490.4,490.4,490.4,0,0,0,0,0.5,3
RuntimeBenchmarksAwfyWeekly,json,10,10,14.54 14.56 14.58 14.54 14.55 14.54 14.58 14.55 14.52 14.58,16.53,16.53,16.53,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,48.1 48.1 48.12 48.22 48.14 48.04 48.2 48.17 47.97 47.97,10.46,10.46,10.46,0,0,0,0,1.2,5
RuntimeBenchmarksAwfyWeekly,list,10,1000,70.47 69.9 69.9 70.73 70.36 69.83 70.12 70.53 70.64 70.99,0.7268,0.7268,0.7268,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,151 150.7 151 150.6 150.8 150.9 150.7 150.9 150.9 151.4,0.006784,0.006784,0.006784,0,0,0,0,1.1,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,392.6 392.6 392.7 392.6 409.6 392.6 392.6 392.7 392.7 395,0.01174,0.01174,0.01174,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,permute,10,1000,76.93 77.01 76.91 77.01 76.9 76.94 76.97 76.94 76.92 77,134.1,134.1,134.1,0,0,0,0,0.8,2
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.57 29.46 29.56 29.28 29.42 29.51 29.42 29.4 29.13 29.42,1.367,1.367,1.367,0,0,0,0,0.8,3
RuntimeBenchmarksAwfyWeekly,richards,10,1000,109.8 109.9 109.7 109.9 109.7 109.8 109.9 112.8 110 109.9,0.9828,0.9828,0.9828,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,tracer,20,100,74.95 75.11 74.97 132.6 75.08 74.91 75.4 75.09 75.01 74.92,165.2,165.2,165.2,0,0,0,0,1.2,5
RuntimeBenchmarksLibsWeekly,fansiFormat,40,1,20.79 20.82 20.92 20.81 20.85 20.81 20.86 20.91 20.83 20.8,37.36,37.36,37.36,0,0,0,0,0.2,2
RuntimeBenchmarksLibsWeekly,wordFreqParser,40,1,37.38 37.44 37.39 37.34 37.29 37.51 37.28 37.36 37.61 37.32,71.2,71.2,71.2,0,0,0,0,0.6,5
RuntimeBenchmarksLibsWeekly,yamlDecode,40,1,184.2 183 183 182.8 182.9 183.2 182.9 183.2 182.8 312.3,383.3,383.3,383.3,0,0,0,0,0.6,4
RuntimeBenchmarksLibsWeekly,yamlEncode,40,1,50.64 50.71 59.97 50.89 50.46 50.78 50.45 50.52 50.7 50.46,80.58,80.58,80.58,0,0,0,0,0.5,4
RuntimeBenchmarksOptimizerSmallWeekly,ary,40,10,8.534 8.531 8.551 8.542 8.528 8.532 8.541 8.548 8.548 8.552,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallWeekly,ary2,30,10,127.8 127.9 127.9 127.1 127.8 128 127.3 126.9 127 126.8,350.4,350.4,350.4,0,0,0,0,0.7,4
RuntimeBenchmarksOptimizerSmallWeekly,matMul,30,10,22.26 22.31 22.29 22.27 22.24 22.28 22.33 22.28 22.29 22.81,6.568,6.568,6.568,0,0,0,0,0.4,2
