suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26495 26408 26796 27036 26976 26944 27212 27027 26690 26997 26896 26953 27102 26669 26380 26368 26372 26377 27091 26849,4399,4400,4407,0,0,0,948,1095,1344
CompilationBenchmarksBigNightly,caskApp,150,1,584.4 578.4 578 578.4 586.4 579.8 579 577.9 581.1 775 660 604.6 568.3 560.8 568.9 580.7 559.3 560.8 558.4 557.3,110.3,110.3,110.3,0,0,0,3,104.4,375
CompilationBenchmarksBigNightly,dottyUtils,170,1,1101 1102 1102 1105 1100 1099 1104 1103 1099 1106 1099 1097 1101 1102 1101 1101 1099 1097 1112 1098,158.5,158.5,158.5,0,0,0,0,94.6,519
CompilationBenchmarksBigNightly,fansi,150,1,1292 1283 1285 1285 1316 1398 1299 1291 1287 1293 1291 1292 1290 1291 1293 1289 1291 1378 1389 1293,205.4,205.4,205.6,0,0,0,405,547.1,891
CompilationBenchmarksBigNightly,parallelCollections,100,1,4508 4509 4505 4508 4507 4506 4509 4511 4504 4509 4502 4506 4502 4504 4501 4499 4507 4502 4499 4505,602,602,602,0,0,0,1,94.6,292
CompilationBenchmarksBigNightly,re2s,120,1,1794 1808 1809 1817 1807 1808 1808 1823 1940 1902 1863 1853 1832 1816 1797 1830 1827 1806 1808 1807,260.7,260.7,260.8,0,0,0,2,179.8,767
CompilationBenchmarksBigNightly,scalaToday,150,1,3336 3336 3337 3336 3335 3333 3334 3335 3334 3334 3333 3335 3334 3333 3335 3333 3332 3333 3334 3334,495.4,495.4,495.8,0,0,0,17,134.9,309
CompilationBenchmarksBigNightly,scalaYaml,80,1,4602 4514 4466 4463 4459 4475 4467 4453 4463 4459 4453 4454 4453 4451 4468 4465 4460 4453 4457 4458,567.9,568,568.2,0,0,0,14,197.5,684
CompilationBenchmarksBigNightly,sourcecode,170,1,921.1 926.8 922 924.5 921.7 921.2 921.6 926.7 921.6 920.8 921.3 920.6 922.7 925.3 919.2 918.7 918 937.2 919.1 919.8,166.4,166.4,166.5,0,0,0,0,104.7,418
CompilationBenchmarksBigNightly,tastyQuery,60,1,5135 5135 5132 5173 5289 5189 5265 5236 5237 5243 5118 5119 5117 5117 5118 5117 5114 5109 5110 5107,658.2,658.2,658.4,0,0,0,18,221.8,982
CompilationBenchmarksBigNightly,tictactoe,150,1,1151 1152 1152 1151 1151 1150 1150 1150 1148 1148 1147 1148 1147 1148 1146 1143 1137 1131 1141 1144,216,216,216,0,0,0,64,267.3,1189
CompilationBenchmarksSmallNightly,helloWorld,150,1,125.2 125 124.3 124.3 124.2 124 124 124 125.2 125 123.9 123.5 123.8 123.7 123.3 123.5 123 124 123 122.8,34.59,34.59,34.59,0,0,0,0,22.55,60
CompilationBenchmarksSmallNightly,implicitInductive,150,1,913.2 906.4 904.5 924.3 906.8 903.7 904 903.2 903 904.1 902.5 903.6 902.6 903.4 902.6 903.1 902.2 902.2 903.5 902,67.44,67.44,67.45,0,0,0,0,51.05,182
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,580.1 580.1 579.6 585.8 585 585.5 586.1 585.2 585.1 584.3 585.2 590.6 584.9 583.3 584 582.6 583.2 584.5 583.6 581.8,103.5,103.6,103.6,0,0,0,1,60.9,143
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,366.1 364.9 354.4 354.7 353.2 352.7 352.6 355.8 355.1 353 353.2 352.4 352.1 351.3 353.3 351.5 350.7 352.5 350.8 350.4,70.57,70.58,70.61,0,0,0,0,95,740
