suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26631 26645 26643 26819 26828 26863 27234 27473 27609 27228 27383 27054 26731 26635 26624 26618 26609 26603 26921 26964,4398,4399,4405,0,0,0,879,1043,1610
CompilationBenchmarksBigNightly,caskApp,150,1,582 579 577.9 579.1 577 578.1 580 578.5 577.7 579.6 579 578.1 581.7 580.2 600.9 575 578.1 574.2 571.5 573.3,114.2,114.2,114.2,0,0,0,27,136.2,400
CompilationBenchmarksBigNightly,dottyUtils,170,1,1143 1104 1101 1189 1126 1136 1110 1104 1100 1105 1099 1099 1101 1103 1100 1087 1086 1086 1102 1100,160.1,160.1,160.1,0,0,0,1,76.7,415
CompilationBenchmarksBigNightly,fansi,150,1,1317 1292 1290 1294 1292 1291 1292 1290 1298 1292 1289 1291 1294 1289 1290 1288 1289 1293 1290 1290,207.8,207.8,208,0,0,0,296,405,755
CompilationBenchmarksBigNightly,parallelCollections,100,1,4525 4531 4524 4526 4523 4524 4526 4537 4522 4528 4521 4584 4582 4576 4576 4574 4594 4576 4572 4575,604.3,604.3,604.3,0,0,0,0,86.55,265
CompilationBenchmarksBigNightly,re2s,120,1,1817 1817 1826 1821 1826 2018 1818 1840 1837 1816 1812 1826 1814 1813 1840 1813 1814 1830 1807 1809,261.4,261.4,261.5,0,0,0,6,193.1,812
CompilationBenchmarksBigNightly,scalaToday,150,1,3396 3377 3372 3374 3408 3379 3376 3374 3380 3374 3375 3373 3380 3374 3387 3378 3374 3375 3369 3370,508.7,508.8,508.8,0,0,0,20,143.5,378
CompilationBenchmarksBigNightly,scalaYaml,80,1,4578 4568 4577 4549 4454 4701 4457 4449 4669 4469 4461 4446 4446 4448 4447 4449 4447 4446 4446 4446,568.8,568.9,569.2,0,0,0,37,176.3,484
CompilationBenchmarksBigNightly,sourcecode,170,1,928 930.2 925 924.5 923.9 923.3 923.8 929.6 923.5 924.4 921.6 923 925.3 922.4 921.8 921.5 920.6 920.2 921.3 922.8,165.4,165.4,165.4,0,0,0,0,107.1,573
CompilationBenchmarksBigNightly,tastyQuery,60,1,5071 5075 5072 5132 5141 5119 5127 5120 5124 5125 5207 5113 5113 5109 5109 5112 5401 5300 5152 5123,664.6,664.7,664.7,0,0,0,11,218.2,639
CompilationBenchmarksBigNightly,tictactoe,150,1,1148 1146 1146 1149 1144 1145 1145 1144 1151 1145 1151 1143 1142 1142 1142 1147 1154 1147 1154 1137,220,220.1,220.1,0,0,0,69,268.7,1369
CompilationBenchmarksSmallNightly,helloWorld,150,1,127.8 126.1 132.6 125.6 125.7 126.4 144.7 123.4 121.7 124.2 122.9 122.4 121.2 121.9 122.5 130.3 121.5 120.8 121.1 121.1,36.69,36.69,36.69,0,0,0,2,25.8,67
CompilationBenchmarksSmallNightly,implicitInductive,150,1,880 879.7 880.2 879.6 878.2 879.7 878.1 878.8 881.7 879.3 880.2 878.2 879.7 877.6 878.1 877.7 878 877.9 877.6 879.2,69.55,69.55,69.56,0,0,0,2,47.95,164
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,587.9 588.3 588.4 589.2 587.4 588.1 589.2 588.4 587.8 588.1 588.4 586.9 596.4 594.2 588.9 588 589.3 593.9 587.6 587.3,108.2,108.2,108.2,0,0,0,0,60.6,140
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,373.1 375.6 363.3 360.8 366.8 356.6 355.1 355.5 359.1 359.5 392.3 362.9 371 355.2 375.5 359.3 353.8 356.1 352.9 352,72.25,72.26,72.3,0,0,0,1,115,912
