suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27917 27995 27465 27828 27983 27375 27863 27883 26815 29947 29743 29029 27941 27750 27988 27416 27708 28002 27167 27107,4368,4369,4369,0,0,0,863,1050,1354
CompilationBenchmarksBigNightly,caskApp,150,1,564.6 559.6 560.4 559.1 558.6 558.8 560.9 558.9 559.3 558.7 559.4 558.8 562.4 560.6 568.3 563.4 636.1 589.1 557.9 557,124.8,124.8,124.8,0,0,0,7,137.9,346
CompilationBenchmarksBigNightly,dottyUtils,170,1,1151 1172 1175 1116 1119 1121 1119 1114 1114 1116 1114 1113 1121 1116 1113 1114 1112 1113 1112 1113,167.4,167.4,167.4,0,0,0,1,79.45,557
CompilationBenchmarksBigNightly,fansi,150,1,1277 1279 1280 1281 1277 1278 1277 1277 1277 1278 1278 1276 1294 1318 1286 1287 1285 1296 1287 1312,212.5,212.6,212.6,0,0,0,299,411.4,778
CompilationBenchmarksBigNightly,parallelCollections,100,1,4562 4563 4558 4607 4561 4557 4565 4947 4579 4564 4585 4564 4557 4564 4558 4557 4565 4560 4555 4558,608.7,608.7,608.7,0,0,0,0,98.5,325
CompilationBenchmarksBigNightly,re2s,120,1,1836 1838 1838 1838 1837 1834 1835 1858 1841 1836 1832 1836 1833 1831 1832 1832 1829 1837 1831 1829,266.3,266.4,266.5,0,0,0,2,168.1,897
CompilationBenchmarksBigNightly,scalaToday,150,1,3344 3343 3343 3344 3343 3343 3341 3343 3342 3344 3342 3343 3342 3341 3342 3346 3346 3344 3344 3343,527.2,527.2,527.3,0,0,0,27,137.3,309
CompilationBenchmarksBigNightly,scalaYaml,80,1,4507 4937 4587 4791 4595 4508 4563 4555 4442 4438 4434 4436 4435 4435 4450 4442 4439 4450 4437 4503,581.7,581.7,582,0,0,0,12,202.5,587
CompilationBenchmarksBigNightly,sourcecode,170,1,940.2 934.4 936.6 935.6 935.7 935.7 935.3 935.5 934.7 934.2 934.5 933.7 932.4 938.8 931.5 933.2 933.4 933.6 922.9 923.2,173.9,173.9,174.1,0,0,0,0,85.65,366
CompilationBenchmarksBigNightly,tastyQuery,60,1,5044 5021 5020 5026 5024 5014 5014 5015 5243 5248 5249 5214 5167 5238 5116 5080 5073 5074 5066 5068,668.4,668.4,668.5,0,0,0,15,219.5,600
CompilationBenchmarksBigNightly,tictactoe,150,1,1149 1143 1140 1141 1139 1139 1140 1138 1140 1255 1211 1136 1135 1135 1138 1140 1138 1138 1164 1130,238.3,238.4,238.4,0,0,0,77,272.3,1137
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,798.4 798.2 797.4 798.3 798.1 806.5 796.1 841 843.4 820.8 797.3 806.6 795.6 796.6 795.6 795 794.9 794.7 836 817.4,149.2,149.2,149.2,0,0,0,4,63,205
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1599 1600 1601 1595 1602 1599 1596 1622 1598 1596 1607 1597 1576 1566 1577 1565 1567 1567 1573 1568,248.2,248.3,248.4,0,0,0,12,191.2,785
CompilationBenchmarksBigWeekly,scalaz,60,1,29130 29673 29094 28222 29888 29146 28137 28039 28447 28040 29159 29242 29057 29363 29576 28139 28072 29333 29236 28857,4091,4091,4091,0,0,0,31,202,861
CompilationBenchmarksSmallNightly,helloWorld,150,1,124.1 124.2 123.4 123.3 123.4 123.7 130.7 123.6 123.9 124.1 133.5 130.7 124.5 128.5 126.1 130.2 129.8 127.6 130.8 131.5,38.88,38.88,38.89,0,0,0,0,20.45,50
CompilationBenchmarksSmallNightly,implicitInductive,150,1,873.7 873.8 874.1 874.1 874 873.6 873.7 873.6 872.9 873.8 872.1 873.9 873.1 873 873.4 872.4 872.5 871.8 872.7 872.3,74.11,74.11,74.12,0,0,0,1,45.9,161
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,605.2 587.4 587.3 585.1 587.5 585.9 584.6 589.2 586 584.5 585.2 586 582.7 585.4 584.9 584.3 583.8 583.9 584.8 586.1,112.2,112.2,112.2,0,0,0,0,49.75,150
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,350.4 360.9 347.1 346.2 342.9 343 343.3 343.1 346.4 344.3 344 343.7 343.1 342.4 342 344.9 342.1 344.4 342.9 341.7,77.64,77.66,77.85,0,0,0,2,87.35,607
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,244.1 243.1 243.6 242.9 243.5 243 243 243.1 242.7 251.6 244.3 242.6 241.4 240.5 241.8 239.3 241.4 241.3 244.8 243,67.26,67.3,67.31,0,0,0,1,77.9,686
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,162.8 162.9 163.1 162.8 163.3 163.1 161.7 162.8 162.4 161.4 161.9 160 161.7 162.1 162.4 161.8 162.1 161.8 161.2 161.6,49.18,49.18,49.19,0,0,0,0,32.25,106
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,151.9 151.9 152 151.1 150.9 152 151.6 150.7 153.7 152 151.1 150.4 151.4 150.8 148.4 150.6 150.6 151.2 150.5 149.9,44.2,44.2,44.21,0,0,0,2,25.65,81
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,152.2 154.5 151.5 151.8 150.2 151.6 151.6 150.9 151.2 151.6 150.8 151.4 150.2 150.3 149.6 150.8 149.9 148.4 150.1 149.4,44.13,44.14,44.15,0,0,0,0,35.5,107
CompilationBenchmarksSmallWeekly,findRef,150,1,125 124.7 117.7 125.2 117.9 125.6 123.6 124.1 118.9 124.3 124.4 118.2 124.3 120.8 123.2 122.7 117.5 124.9 117.9 122.2,34.53,34.53,34.54,0,0,0,0,36.3,124
CompilationBenchmarksSmallWeekly,i1535,150,1,191.4 194.2 203 195.2 194.7 192.7 193.6 193.7 196 195.4 192.2 193.3 190.3 191.6 191.6 191 191.4 188.7 191.5 190.1,50.93,50.93,50.94,0,0,0,5,57.15,188
CompilationBenchmarksSmallWeekly,i1687,150,1,125.6 127.2 125.8 123.8 130.5 131.1 130.7 129.6 124.1 125.9 130.9 130.2 125.3 132.8 123 123.2 122.1 122.9 122.6 122.2,37.13,37.14,37.14,0,0,0,1,27.05,73
CompilationBenchmarksSmallWeekly,implicitCache,150,1,171.7 171.5 170.8 171 171 170.2 171.4 170.8 170.2 170.9 170.8 170.9 169.7 169.9 170 170 170.1 169.7 170.5 175.6,50.76,50.76,50.76,0,0,0,2,26.35,69
CompilationBenchmarksSmallWeekly,implicitNums,150,1,372.6 372.4 372.3 372.2 373.7 368.9 369.3 368.7 367.2 369.1 367.1 366.6 366 366 365.8 367.5 365.9 365.2 366.3 366,92.66,92.66,92.66,0,0,0,0,29.75,208
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,176.8 176.2 175.4 175.5 175.6 175.4 175.4 175.3 176.4 176.3 175.6 174.8 174.8 174.7 174.7 174.3 180.5 175.2 174.5 186.4,51.25,51.25,51.26,0,0,0,0,22.9,103
CompilationBenchmarksSmallWeekly,tuple,150,1,188.9 190.1 188.3 190.4 189.7 189.7 189.1 189.6 188.9 189.8 189.3 189.3 188.5 189.5 188.7 189.1 189.1 188.4 187.5 188.6,53.14,53.15,53.16,0,0,0,1,30,110
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,152.4 150.4 150 150.3 149.3 149.6 150 149.3 149.8 149.5 150.5 149.6 149.7 149.1 148.9 148.9 149.8 150.6 150 148.8,43.9,43.9,43.91,0,0,0,0,26.1,107
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,179 177.6 180.9 179.3 181 180.4 180.2 180.7 180.6 180.5 178.8 204.5 179.3 177 176.6 177.2 177.5 176.8 177.2 176.9,50.09,50.1,50.1,0,0,0,1,20.65,93
