suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27569 27682 27847 28146 28332 28730 28029 28246 28081 27805,4914,4915,4915,0,0,0,993,1088,1289
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,834.1 835.4 833 833.2 832.7 832.6 830.7 831.9 832.1 832.4,188.8,188.8,188.8,0,0,0,9,73.1,172
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1611 1615 1611 1610 1616 1613 1612 1625 1611 1609,292,292,292,0,0,0,15,181,548
CompilationBenchmarksBigWeekly,scalaz,60,1,28381 28367 28362 28500 28614 29365 29161 28548 28213 28240,4221,4224,4228,2,2.6,3,16,192.7,389
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,322.2 309.6 321.1 303.4 320.2 321.2 315.4 314.1 320.8 307.5,100.9,100.9,100.9,0,0,0,3,47.5,173
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,205.3 205.2 205.1 205.8 205.7 205.1 204.9 205.7 205.4 206.7,77.81,77.81,77.81,0,0,0,2,38.8,117
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,197.2 196.9 197 196.4 196.1 196.2 196.5 197.3 197.6 196.5,72.76,72.76,72.77,0,0,0,2,33.8,135
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,197.6 197.3 196.8 197.8 196.9 196.8 197.2 197.2 196.8 198.2,73.77,73.77,73.77,0,0,0,1,19.6,51
CompilationBenchmarksSmallWeekly,findRef,150,1,169.7 170 170.7 160.4 165.8 170 163.7 170 168.6 166.2,60.89,60.89,60.89,0,0,0,2,18.9,58
CompilationBenchmarksSmallWeekly,i1535,150,1,249.2 249.2 249.2 247.4 249.2 248.4 248.4 248.6 247.7 248.9,86.48,86.48,86.49,0,0,0,12,36.5,104
CompilationBenchmarksSmallWeekly,i1687,150,1,163.8 175.4 172.2 171 175.4 167.4 171.5 174 169.7 173,64.93,64.93,64.93,0,0,0,1,24.6,51
CompilationBenchmarksSmallWeekly,implicitCache,150,1,216.1 216.2 215.3 215.5 215.6 215.9 215.4 215.6 214.3 217.1,83.26,83.26,83.26,0,0,0,1,26.4,127
CompilationBenchmarksSmallWeekly,implicitNums,150,1,428.8 429.2 427.9 427 427.3 427.1 427.6 427.2 426 427.5,131.5,131.6,131.6,0,0,0,0,31.9,151
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,223.3 222.6 222.3 222.5 221.8 222.4 222.9 221.9 221.6 222.8,83.55,83.55,83.55,0,0,0,1,23.4,78
CompilationBenchmarksSmallWeekly,tuple,150,1,237 235.9 236.1 236 235.6 236.1 235.9 236.2 237.5 238.1,86.08,86.08,86.08,0,0,0,5,23.7,54
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,194.2 194.3 194.3 193.8 194.3 193 193 194.1 193.7 194.3,71.92,71.92,71.92,0,0,0,1,26.6,90
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,222 222.5 222.3 221.9 220.9 220.7 220.3 220.5 220.2 220.4,78.03,78.03,78.03,0,0,0,1,23.2,128
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,163.2 162.9 162.7 162.7 162.2 162.4 162 162.4 162.1 162.3,66.55,66.55,66.56,0,0,0,2,10.8,31
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,186.4 186 186 186.5 185.9 185.6 185.5 185.3 185.2 185.5,70.84,70.85,70.85,0,0,0,3,36.6,85
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,228.7 229 229.3 227.9 227.9 227.9 227.7 227.6 228.4 227.8,84.07,84.07,84.07,0,0,0,0,39.1,105
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,168.8 168.5 168.1 167.9 168 168.1 168.4 168.2 169.5 167.6,65.79,65.79,65.79,0,0,0,2,18.1,57
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5204 5204 5208 5279 5275 5204 5203 5201 5201 5201,757.8,757.8,757.8,0,0,0,27,186.7,549
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.52 21.66 21.75 21.84 21.68 21.57 21.5 21.89 21.55 21.65,4.439,4.439,4.439,0,0,0,0,1,3
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.21 15.27 15.22 15.16 15.18 15.18 15.19 15.21 15.18 15.15,16.82,16.82,16.82,0,0,0,0,1,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.41 29.39 29.36 29.36 29.42 29.53 30.08 27.74 27.71 27.64,36.4,36.49,36.52,0,0,0,0,1,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,22.9 22.73 22.66 22.73 22.56 22.59 22.43 22.46 22.48 22.46,15.8,15.81,15.83,0,0,0,0,1.4,7
