suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigNightly,caskApp,150,1,641 621 620.5 621.4 619.7 619.8 620.8 619.7 623.2 620.3,164.4,164.4,164.4,0,0,0,8,88.6,278
CompilationBenchmarksBigNightly,dottyUtils,170,1,1154 1142 1141 1141 1140 1138 1143 1142 1139 1144,209.5,209.5,209.5,0,0,0,0,66.9,220
CompilationBenchmarksBigNightly,fansi,150,1,1350 1349 1358 1351 1348 1401 1366 1364 1359 1363,258.5,258.5,258.5,0,0,0,486,594.6,717
CompilationBenchmarksBigNightly,parallelCollections,100,1,4677 4676 4675 4675 4676 4675 4675 4676 4673 4677,687.8,687.8,687.8,0,0,0,9,78.5,237
CompilationBenchmarksBigNightly,re2s,120,1,1907 1909 1909 1911 1910 1907 1905 1915 1912 1907,332.3,332.4,332.4,0,0,0,8,182.8,777
CompilationBenchmarksBigNightly,scalaToday,150,1,3494 3500 3544 3497 3736 3626 3500 3522 3502 3499,607.5,607.5,607.5,0,0,0,29,161.7,355
CompilationBenchmarksBigNightly,scalaYaml,80,1,4613 4611 4613 4613 4605 4616 4611 4666 4733 4667,643.9,643.9,644,0,0,0,21,238.7,733
CompilationBenchmarksBigNightly,sourcecode,170,1,975.7 978.2 971.9 974.7 971.6 971.2 971.6 979.6 971.4 983.1,210.8,210.8,210.8,0,0,0,5,104.6,528
CompilationBenchmarksBigNightly,tastyQuery,60,1,5213 5212 5211 5222 5216 5211 5209 5207 5208 5205,761.6,761.6,761.7,0,0,0,32,207.1,595
CompilationBenchmarksBigNightly,tictactoe,150,1,1243 1244 1243 1243 1243 1242 1242 1242 1241 1241,325.8,325.8,325.8,0,0,0,83,169.7,371
CompilationBenchmarksSmallNightly,helloWorld,150,1,170.5 170 169.6 169.3 169.6 169.5 169.9 169.8 170.5 169.5,66.61,66.61,66.61,0,0,0,5,23.7,59
CompilationBenchmarksSmallNightly,implicitInductive,150,1,945.5 944 943.7 943.7 942.9 943.7 942.7 942.6 945.5 943.6,106.3,106.3,106.3,0,0,0,4,51.5,124
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,652.8 659.2 672.4 667.2 665.2 670.8 663.4 670.9 664.3 660.1,147.5,147.5,147.5,0,0,0,5,55,149
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,408.1 399 393.8 389 390.4 389.9 389.4 389.4 389.6 389.4,109.4,109.4,109.5,0,0,0,8,141.8,490
