suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27713 28072 27601 26960 27775 28244 27947 28463 28701 27522,4616,4617,4617,0,0,0,948,1053,1238
CompilationBenchmarksBigNightly,caskApp,150,1,640.7 634.6 598.7 636.7 635.2 635.4 615 634.4 607.9 634.5,186.5,186.5,186.5,0,0,0,10,95,231
CompilationBenchmarksBigNightly,dottyUtils,170,1,1144 1145 1143 1144 1144 1150 1143 1145 1143 1143,216.7,216.7,216.7,0,0,0,7,63,95
CompilationBenchmarksBigNightly,fansi,150,1,1315 1317 1314 1315 1315 1318 1313 1315 1313 1314,249.8,249.8,249.8,0,0,0,330,393.7,452
CompilationBenchmarksBigNightly,parallelCollections,100,1,4619 4622 4673 4677 4674 4674 4674 4676 4673 4679,707,707,707.1,0,0,0,11,85.4,253
CompilationBenchmarksBigNightly,re2s,120,1,1841 1850 1857 1852 1858 1851 1840 1869 1882 1849,332.7,332.7,332.9,0,0,0,11,151.3,513
CompilationBenchmarksBigNightly,scalaToday,150,1,3485 3487 3487 3485 3550 3482 3486 3661 3502 3488,645.2,645.3,645.6,0,0,0,32,136.9,307
CompilationBenchmarksBigNightly,scalaYaml,80,1,4580 4585 4681 4766 4610 4752 4581 4685 4733 4686,665.7,665.7,665.8,0,0,0,97,265.2,553
CompilationBenchmarksBigNightly,sourcecode,170,1,962.3 960.4 958.4 958.3 963.2 958 956.7 960.8 956.8 956.5,215.8,215.9,215.9,0,0,0,12,148.3,581
CompilationBenchmarksBigNightly,tastyQuery,60,1,5134 5146 5130 5135 5365 5471 5132 5122 5122 5120,772.4,772.4,772.5,0,0,0,32,221.3,702
CompilationBenchmarksBigNightly,tictactoe,150,1,1146 1170 1291 1196 1148 1145 1147 1145 1144 1145,309.4,309.4,309.4,0,0,0,85,173.8,373
