suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27295 27580 27533 27590 27569 27095 26948 26944 27301 27656,4602,4603,4608,0,0,0,937,1061,1219
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1217 1218 1218 1217 1216 1212 1216 1214 1216 1220,434.6,434.7,434.8,0,0,0,14,80.9,176
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1684 1651 1677 1620 1631 1613 1612 1609 1611 1612,302,302,302,0,0,0,13,163.2,485
CompilationBenchmarksBigWeekly,scalaz,60,1,29397 29718 28822 28594 29162 30327 30158 28790 30057 29780,4340,4340,4340,0,0,0,26,219,448
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,255.5 255.7 254.9 260.8 254.8 255.2 255.2 255 255.6 256.8,95.39,95.39,95.39,0,0,0,6,24.1,64
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,170 170.9 170.4 170.2 170.4 170.5 169.7 169.4 170 169.4,73.2,73.2,73.2,0,0,0,0,33.6,107
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,160.5 159.3 160.9 160.6 160.6 159.5 159.9 160.7 158.4 161.1,67.91,67.92,67.93,0,0,0,2,33.2,114
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,165.3 163.9 163.4 165.1 163.3 163 164.2 163.5 163.6 163.6,68.29,68.29,68.29,0,0,0,1,24.9,69
CompilationBenchmarksSmallWeekly,findRef,150,1,123.2 123.3 122.6 122 123.5 122.8 121.8 122.2 121.8 122.3,54,54,54,0,0,0,2,22.1,67
CompilationBenchmarksSmallWeekly,i1535,150,1,216.1 205.8 205.1 203.5 205.4 203.9 202.4 204.3 204.5 204.4,80.81,80.82,80.82,0,0,0,20,67,165
CompilationBenchmarksSmallWeekly,i1687,150,1,127.5 127.8 127.4 127.4 127.4 127.3 127.3 127.2 127.2 127.7,59.9,59.9,59.9,0,0,0,1,14.3,34
CompilationBenchmarksSmallWeekly,implicitCache,150,1,179.5 180.6 179.9 180.4 180.2 179.6 179.8 179.9 178.6 180.1,78.75,78.75,78.75,0,0,0,1,27.1,83
CompilationBenchmarksSmallWeekly,implicitNums,150,1,390.9 391.2 390.2 390.6 390.2 390.4 390.5 390.6 461.8 398.6,126.9,126.9,126.9,0,0,0,0,26.2,149
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,181.9 182.4 182.4 181.9 181.9 182.3 182.5 181.3 181.2 182.2,79.02,79.02,79.02,0,0,0,3,38.4,94
CompilationBenchmarksSmallWeekly,tuple,150,1,196.3 197.8 196.8 197.1 197.1 197.3 196.9 197 196.9 197.2,83.22,83.23,83.23,0,0,0,4,27.6,76
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,161.6 159.5 163 161.5 158.5 158.8 159.1 158.7 159.2 159.7,67.29,67.29,67.29,0,0,0,2,27.9,86
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,187.6 186.2 189.4 186.5 187.1 186.5 186.7 187 186.4 186.5,72.08,72.08,72.08,0,0,0,1,35.4,134
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,128.2 128.4 127.4 127.3 127.2 127.6 129.2 128.5 127.6 127.6,57.15,57.15,57.16,0,0,0,1,40.1,126
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,150.2 149 148.5 149.9 149.5 148.6 148.5 148.7 148.8 148.8,64.93,64.93,64.94,0,0,0,4,34.7,107
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,185.7 186 186.2 185.3 184.5 184.9 186.8 184.3 185 183.1,76.34,76.34,76.34,0,0,0,0,35.6,104
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,137.8 134.1 133.7 133.5 138.3 133.6 133.1 133.2 133.6 133.2,62.73,62.73,62.73,0,0,0,3,25.2,48
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5277 5275 5277 5282 5277 5271 5271 5270 5269 5267,768,768,768,0,0,0,50,201.2,646
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,23.23 23.17 23.2 23.31 23.12 23.06 23.15 23.11 23.36 23.24,4.439,4.439,4.439,0,0,0,0,0.7,1
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,12.57 12.64 12.65 12.57 12.61 12.65 12.57 12.61 12.6 12.63,1.813,1.813,1.813,0,0,0,0,0.9,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,25.62 25.62 25.61 25.62 25.66 25.72 25.76 25.58 25.61 25.63,31.17,31.17,31.17,0,0,0,0,1.4,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,22.62 22.56 22.59 22.37 22.31 22.35 22.32 22.33 22.34 22.32,16.26,16.26,16.27,0,0,0,0,0.8,3
RuntimeBenchmarksAwfyWeekly,gcbench,30,1,138.6 138.8 138.6 138.6 138.5 138.9 139 140.1 138.7 138.7,490.4,490.4,490.4,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,json,10,10,14.55 14.55 14.57 14.55 14.54 14.55 14.55 14.54 14.57 14.57,16.53,16.53,16.53,0,0,0,0,0.7,1
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,48.18 48.12 48.17 48.21 48.07 48.09 48.23 48.19 47.93 48.05,10.46,10.46,10.46,0,0,0,0,1.6,5
RuntimeBenchmarksAwfyWeekly,list,10,1000,70.08 69.95 69.91 70.52 70.14 69.77 70.13 70.78 69.92 69.8,0.7268,0.7268,0.7268,0,0,0,0,0.4,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 150.7 150.6 150.6 150.6 151,0.006784,0.006784,0.006784,0,0,0,0,0.9,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,393.4 393.5 393.4 393.4 393.4 395.6 393.4 393.5 393.5 393.3,0.01174,0.01174,0.01174,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,permute,10,1000,76.9 76.85 76.9 76.85 76.88 76.73 76.85 76.84 77.11 77.02,134.1,134.1,134.1,0,0,0,0,0.9,3
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.46 29.5 29.43 29.07 29.38 29.82 29.99 29.67 29.44 29.28,1.367,1.367,1.367,0,0,0,0,1,5
RuntimeBenchmarksAwfyWeekly,richards,10,1000,99.99 99.74 99.85 99.86 99.71 99.72 99.68 99.73 103.2 100.3,0.9828,0.9828,0.9828,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,tracer,20,100,75.4 75.17 78.31 129.7 75.15 75.33 75.38 75.16 75.2 75.17,165.2,165.2,165.2,0,0,0,0,1.4,5
RuntimeBenchmarksLibsWeekly,fansiFormat,40,1,21.55 21.68 21.59 21.59 21.57 21.54 21.57 21.61 21.52 21.54,37.36,37.36,37.36,0,0,0,0,0.3,2
RuntimeBenchmarksLibsWeekly,wordFreqParser,40,1,37.82 37.79 37.88 37.77 37.77 37.93 37.85 37.78 37.9 37.73,71.2,71.2,71.2,0,0,0,0,0.9,6
RuntimeBenchmarksLibsWeekly,yamlDecode,40,1,227 174.6 174.5 174.4 174.6 174.6 180 178.2 174.5 174.5,383.2,383.2,383.2,0,0,0,0,0.5,4
