suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27091 27318 26777 26570 26540 26546 26532 26758 26709 26731,4445,4445,4445,0,0,0,911,1024,1169
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1187 1189 1194 1191 1185 1182 1189 1186 1185 1185,398.8,398.9,399,0,0,0,12,95.6,220
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1519 1521 1517 1517 1523 1518 1517 1530 1514 1513,252.4,252.4,252.4,0,0,0,6,162.3,475
CompilationBenchmarksBigWeekly,scalaz,60,1,28777 27507 27473 27925 28953 28398 28019 28972 28358 27549,4153,4153,4153,0,0,0,27,206.3,378
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,233.4 233.7 232.4 232.5 232 232.2 232.4 231.7 232.6 234.4,68.79,68.79,68.79,0,0,0,1,41.5,159
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,149.3 149.6 149.3 149.4 149.4 150.8 159.1 155.9 153.2 151.4,49.17,49.17,49.17,0,0,0,0,34.1,112
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.2 148.1 148.5 148 148 146.4 145.4 151.1 143.5 146.8,44.06,44.06,44.07,0,0,0,1,26.7,101
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,141 142.3 141.3 142.4 143.1 142.6 141.9 141.7 142.3 151.8,44.11,44.11,44.11,0,0,0,0,19.1,41
CompilationBenchmarksSmallWeekly,findRef,150,1,110.1 108.8 108.4 108.4 109.2 108.5 109.5 107.4 107.7 108,33.51,33.51,33.51,0,0,0,3,28.1,105
CompilationBenchmarksSmallWeekly,i1535,150,1,181.6 181 182.5 180.5 182 180.8 179.8 181.2 180.4 181.3,52.89,52.89,52.89,0,0,0,2,43.2,78
CompilationBenchmarksSmallWeekly,i1687,150,1,112.2 111.6 110.8 110.9 111.2 111.3 111.6 111.6 111.8 112.3,36.49,36.49,36.49,0,0,0,1,17.7,32
CompilationBenchmarksSmallWeekly,implicitCache,150,1,156.2 156.2 155.7 156.1 155.7 155.7 155.7 155.6 154.6 156,51.94,51.94,51.94,0,0,0,1,24.8,109
CompilationBenchmarksSmallWeekly,implicitNums,150,1,355.9 354.9 353.4 354.1 353.5 353.5 354.4 353.4 356 354.1,94.99,95,95,0,0,0,0,28.6,164
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,162.1 160.9 161.2 162.3 161.6 161.2 162.6 161.7 162.8 162.1,52.24,52.24,52.24,0,0,0,2,24.2,80
CompilationBenchmarksSmallWeekly,tuple,150,1,180.5 180.3 180 179.9 180.2 179.6 179.7 179.7 179 180.1,55.15,55.16,55.16,0,0,0,6,25.3,59
