suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,29669 29995 30162 29113 28884 30125 30002 30072 29363 29640,5093,5095,5095,0,0,0,1003,1313,1793
CompilationBenchmarksBigNightly,caskApp,130,1,672.8 671.2 672.2 672.6 672.2 671.7 671.2 669.6 671.5 678.6,159.7,159.7,159.7,0,0,0,11,101.9,266
CompilationBenchmarksBigNightly,dottyUtils,170,1,1226 1207 1208 1210 1359 1211 1209 1209 1209 1208,208.2,208.2,208.2,0,0,0,1,97.4,320
CompilationBenchmarksBigNightly,fansi,140,1,1418 1418 1419 1419 1417 1417 1416 1416 1418 1416,241.2,241.3,241.3,0,0,0,346,459.7,789
CompilationBenchmarksBigNightly,parallelCollections,100,1,4970 4974 4966 4971 4968 4969 4970 4970 4970 4972,732.5,732.5,732.5,0,0,0,16,96.5,272
CompilationBenchmarksBigNightly,re2s,60,1,2197 2191 2191 2221 2215 2209 2208 2206 2209 2217,375.7,375.7,375.7,0,0,0,76,157.2,396
CompilationBenchmarksBigNightly,scalaToday,130,1,3652 3658 3652 3740 3874 3765 3705 3666 3654 3655,635.7,635.8,635.8,0,0,0,20,170.5,602
CompilationBenchmarksBigNightly,scalaYaml,40,1,4982 4978 4989 4975 4976 4960 4949 5090 5266 5043,693.9,694,694,0,0,0,78,447.7,727
CompilationBenchmarksBigNightly,sourcecode,100,1,1047 1047 1037 1035 1037 1037 1036 1166 1039 1044,211.2,211.2,211.2,0,0,0,17,127.9,355
CompilationBenchmarksBigNightly,tastyQuery,60,1,5553 5552 5552 5563 5557 5592 5717 5773 5678 5579,808.8,808.8,808.9,0,0,0,53,273,543
CompilationBenchmarksBigNightly,tictactoe,130,1,1475 1448 1387 1416 1386 1388 1379 1382 1379 1378,324.9,324.9,325,0,0,0,69,238.5,487
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1289 1288 1286 1291 1287 1369 1447 1301 1288 1326,427.1,427.2,427.3,0,0,0,6,129.9,295
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1686 1681 1683 1679 1687 1682 1681 1679 1677 1677,291.9,292,292.1,0,0,0,21,163.1,633
CompilationBenchmarksBigWeekly,scalaz,25,1,30277 30183 30345 30723 31608 30178 30307 30548 30301 30232,4576,4580,4583,2,2.2,3,104,449.4,933
CompilationBenchmarksSmallNightly,helloWorld,150,1,155.5 157 156.2 156.6 149 155.9 153.3 146 146.4 146.2,53.04,53.04,53.04,0,0,0,3,21,48
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1034 1037 1033 1031 1035 1036 1036 1036 1035 1023,89.36,89.37,89.37,0,0,0,3,45.7,172
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,697.2 697.3 696.6 696.9 696.5 696.9 714.6 697.3 695.9 696,159.3,159.3,159.3,0,0,0,24,97.5,424
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,407.2 403 396.4 395.7 396.6 395.6 394.5 394.2 396.4 394.3,97.66,97.67,97.7,0,0,0,7,108.6,678
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,308.5 310.5 299.7 309 294.1 310.5 309 308.2 299.3 311.3,87.43,87.43,87.43,0,0,0,1,48.9,163
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,217.8 217.8 217.7 218.3 217.4 217.5 217.7 219.2 218.4 218.5,70.84,70.84,70.85,0,0,0,3,41.7,121
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,203.8 203 202.8 203.3 202.9 202.6 202.5 202.8 202.4 203.4,65.7,65.7,65.7,0,0,0,2,38.3,92
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,203 201.5 201.1 202.6 200.7 200.6 201.2 202.2 200.8 201.9,65.35,65.35,65.36,0,0,0,4,53.9,129
CompilationBenchmarksSmallWeekly,findRef,150,1,141.7 141.5 140.3 142 142.2 141.4 141.2 140.4 141.7 140.7,49.89,49.9,49.9,0,0,0,1,46.7,89
CompilationBenchmarksSmallWeekly,i1535,150,1,265.1 265.9 267.3 263.5 265.9 264.9 263.6 266.8 265.4 265.4,70.68,70.68,70.68,0,0,0,7,51.3,121
CompilationBenchmarksSmallWeekly,i1687,150,1,142.5 143.3 142.7 141.9 142.5 142.6 142.6 142.2 142.1 143.1,51.85,51.85,51.85,0,0,0,1,21.7,45
CompilationBenchmarksSmallWeekly,implicitCache,150,1,158.8 159.7 159 159 159.2 159.1 159.1 158.9 159.1 163.2,54.62,54.62,54.62,0,0,0,4,19.8,63
CompilationBenchmarksSmallWeekly,implicitNums,150,1,395.7 394.9 393.7 394.6 394.3 393.6 396.1 394 395.8 394.2,108.6,108.6,108.6,0,0,0,2,40,187
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,165.7 166.3 166.3 166 165.5 164.7 165.6 164.3 165.2 164.6,54.95,54.95,54.96,0,0,0,2,29.8,63
CompilationBenchmarksSmallWeekly,tuple,150,1,235.5 235.7 236.3 235.9 235.6 236 234.8 235.6 235.5 235.1,73.33,73.33,73.34,0,0,0,18,34.2,86
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,189 188.3 187.4 189.9 188.1 188.1 187.5 188 188.1 188.3,63.67,63.67,63.67,0,0,0,9,42.1,70
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,242 243.3 240.5 240.6 240.3 240 240.1 240.5 241 240.3,81.68,81.68,81.68,0,0,0,1,34.8,153
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,158.8 159.5 158.5 157.5 157.5 157.2 157.3 157.1 157.7 157.6,57.26,57.27,57.27,0,0,0,4,35.1,138
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,178.1 178.3 177.9 179.6 210.2 180.1 178.1 177.8 188.1 179.2,59.73,59.73,59.73,0,0,0,18,52.7,137
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,223.8 224 222.6 222.9 222.6 223 223.4 223 222.8 222.8,73.19,73.19,73.19,0,0,0,3,36,65
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,148 148.8 147.4 148 150 149.9 149.1 149.5 149.8 148.7,53.06,53.06,53.06,0,0,0,3,24.9,73
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5474 5472 5697 5739 5541 5470 5468 5467 5499 5468,808.9,809,809,0,0,0,109,263.2,528
