suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigNightly,caskApp,130,1,674.7 711.4 665.8 660.7 661.8 662.1 663.4 734.1 687.5 664.5,160.2,160.2,160.2,0,0,0,18,191.2,559
CompilationBenchmarksBigNightly,dottyUtils,170,1,1187 1187 1189 1186 1185 1185 1187 1186 1184 1344,206.3,206.3,206.3,0,0,0,5,77.8,259
CompilationBenchmarksBigNightly,fansi,140,1,1130 1132 1128 1127 1126 1130 1127 1125 1124 1128,213.8,213.8,213.8,0,0,0,411,537,903
CompilationBenchmarksBigNightly,parallelCollections,100,1,5166 4971 4918 4917 4914 4922 4914 4914 4911 4913,726.6,726.6,726.6,0,0,0,9,114.3,333
CompilationBenchmarksBigNightly,re2s,60,1,2201 2188 2187 2200 2192 2188 2184 2190 2187 2191,367.8,367.8,367.9,0,0,0,36,200.3,477
CompilationBenchmarksBigNightly,scalaToday,130,1,3388 3458 3608 3549 3391 3357 3362 3365 3356 3354,616.6,616.6,616.6,0,0,0,15,192.3,554
CompilationBenchmarksBigNightly,scalaYaml,40,1,4542 4537 4548 4534 4529 4528 4525 4525 4523 4517,660.4,660.5,660.7,0,0,0,199,404.1,604
CompilationBenchmarksBigNightly,sourcecode,100,1,983.3 990.9 981 986.6 1113 988 982.2 1006 1006 981,206.8,206.8,206.9,0,0,0,21,128.9,395
CompilationBenchmarksBigNightly,tastyQuery,60,1,5322 5322 5323 5334 5327 5331 5320 5318 5319 5323,782.5,782.6,782.7,0,0,0,19,266.8,718
CompilationBenchmarksBigNightly,tictactoe,130,1,1322 1328 1324 1327 1341 1334 1332 1334 1336 1332,323.2,323.2,323.4,0,0,0,53,231.1,493
CompilationBenchmarksSmallNightly,helloWorld,150,1,135.8 136.7 135.8 135.3 135 134.9 135.1 134.6 135.9 135.3,51.01,51.01,51.01,0,0,0,1,18.5,61
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1013 1014 1013 1013 1012 1014 1013 1013 1014 1013,91.69,91.69,91.7,0,0,0,11,34.3,128
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,673.9 673.8 674.3 675.2 672.2 673.2 674 672.7 672.5 671.4,158.1,158.1,158.1,0,0,0,8,57.8,162
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,380.6 407.5 410.2 430.7 426.5 413.5 412.1 410.1 409.4 412.3,97.29,97.31,97.33,0,0,0,6,75.2,162
