suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,26879 26847 26485 26437 26344 26604 26727 26551 26697 26798,4570,4571,4571,0,0,0,1009,1193,1431
CompilationBenchmarksBigNightly,caskApp,130,1,661 658.9 652.5 648.5 651.7 648.1 648 653.9 646.6 646.2,152.6,152.6,152.6,0,0,0,15,136,405
CompilationBenchmarksBigNightly,dottyUtils,170,1,1179 1182 1183 1182 1180 1192 1180 1178 1177 1183,199.7,199.7,199.7,0,0,0,17,81.8,246
CompilationBenchmarksBigNightly,fansi,140,1,1180 1176 1167 1165 1166 1175 1178 1179 1178 1174,207.9,207.9,207.9,0,0,0,353,459.2,670
CompilationBenchmarksBigNightly,parallelCollections,100,1,5023 5013 5008 4879 4875 4873 4874 4876 4881 4876,721.2,721.2,721.2,0,0,0,9,91.7,212
CompilationBenchmarksBigNightly,re2s,60,1,2400 2181 2133 2162 2160 2153 2149 2151 2138 2150,364.6,364.6,364.7,0,0,0,25,174.9,402
CompilationBenchmarksBigNightly,scalaToday,130,1,3375 3374 3386 3389 3498 3486 3521 3484 3708 3725,610.8,610.9,610.9,0,0,0,23,156.8,383
CompilationBenchmarksBigNightly,scalaYaml,40,1,4608 4605 4624 4747 4822 4709 4594 4597 4586 4582,655.9,656.4,656.9,0,0,0,144,460.1,653
CompilationBenchmarksBigNightly,sourcecode,100,1,984 980.8 990.1 990.6 982.7 981.2 982.4 982 968.7 968.9,200.6,200.6,200.6,0,0,0,14,144,509
CompilationBenchmarksBigNightly,tastyQuery,60,1,5256 5253 5258 5326 5320 5308 5311 5309 5312 5308,781.5,781.5,781.6,0,0,0,55,277.5,614
CompilationBenchmarksBigNightly,tictactoe,130,1,1390 1388 1335 1341 1343 1335 1331 1342 1331 1329,315.7,315.7,315.8,0,0,0,40,179.2,536
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1340 1339 1339 1342 1349 1341 1337 1340 1339 1337,454.3,454.4,454.4,0,0,0,3,72.5,157
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1678 1662 1660 1661 1663 1663 1662 1657 1658 1658,288,288,288,0,0,0,19,162.7,723
CompilationBenchmarksBigWeekly,scalaz,25,1,29506 29560 29563 29566 29259 29499 29454 29322 29391 29807,4531,4534,4536,2,2.1,3,157,390.1,740
CompilationBenchmarksSmallNightly,helloWorld,150,1,123.3 122.6 122 122.3 122.2 122.2 122.4 122.1 122.9 122.6,43.55,43.55,43.55,0,0,0,4,23,44
CompilationBenchmarksSmallNightly,implicitInductive,150,1,998.6 999 997.4 998.8 996.2 997.9 997.2 996.8 998.1 996.9,84.49,84.49,84.49,0,0,0,7,38.4,109
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,672.5 674.8 672.6 673.8 672.2 672.5 675.3 671.5 671.5 670.4,151.5,151.5,151.5,0,0,0,18,80.3,254
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,375.2 374.8 375.1 376.5 373.8 373.4 375.2 372.9 377.3 373.5,90.34,90.35,90.39,0,0,0,11,82.8,385
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,272.3 271.4 272.1 271.9 271.8 270.7 271.6 270.9 271.5 270,80.02,80.03,80.03,0,0,0,6,49,196
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,210.7 211.8 211.6 212.7 210.6 210.9 211 211.3 212.8 212.8,66.87,66.87,66.87,0,0,0,3,52.4,150
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,203.6 203.8 202.4 203.7 202.8 202.9 201.8 202.3 203.7 202.5,61.76,61.76,61.77,0,0,0,0,33.2,88
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,195.5 195 195.2 196.2 195.5 195.1 195.1 195.2 195.7 196.3,61.68,61.68,61.68,0,0,0,12,57.1,145
CompilationBenchmarksSmallWeekly,findRef,150,1,126.3 127.5 126.5 125.4 129.5 126.9 126.3 126.6 124.7 127.1,42.44,42.45,42.45,0,0,0,4,36.6,76
CompilationBenchmarksSmallWeekly,i1535,150,1,227.1 227.5 227 225.7 226.9 225.6 225.1 226.6 227.1 226.3,65.44,65.44,65.44,0,0,0,3,52.3,147
CompilationBenchmarksSmallWeekly,i1687,150,1,122.5 140 123.9 134.7 121.1 121.1 122 120.6 121.6 121.9,42.42,42.43,42.43,0,0,0,0,31.6,80
CompilationBenchmarksSmallWeekly,implicitCache,150,1,136.5 135.7 136.3 136.2 136.3 136.3 135.8 135.5 136.2 135.7,44.88,44.88,44.88,0,0,0,2,22.2,40
CompilationBenchmarksSmallWeekly,implicitNums,150,1,363.8 363.5 363.2 363.7 363.4 363.3 364.6 362.4 364.9 363,101,101.1,101.1,0,0,0,1,42.9,184
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,141.6 141.6 140.9 141.6 140.4 140 141.1 140 141.5 141.5,45.2,45.2,45.2,0,0,0,0,26.2,62
CompilationBenchmarksSmallWeekly,tuple,150,1,221 222 221.6 221.8 221.2 221.4 220.7 219.3 221 221.4,68.09,68.09,68.09,0,0,0,18,30.1,59
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,174.5 173.4 172.3 173.6 172.2 171.5 171.9 171.8 171.3 171.4,58.56,58.56,58.56,0,0,0,1,47.5,131
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,219.8 218.4 218.5 218.2 218.8 218.5 218.6 218.3 216.9 218.7,75.02,75.02,75.03,0,0,0,0,36.2,111
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,163.4 163.7 163.6 163.6 163.2 163.3 162.7 162.8 163 163.3,57.38,57.39,57.39,0,0,0,1,14.2,37
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,163.3 161.5 162.5 162.9 161.6 160.1 159.3 160.9 161.2 159.2,54.96,54.97,54.97,0,0,0,3,75.5,205
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,215.2 216.8 215.7 215.5 214.7 215.2 215.1 214.8 215.2 215.2,70.68,70.69,70.69,0,0,0,2,35.7,88
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,139.2 134.4 137.2 137.8 134.1 138.9 137.4 134.7 138.2 134.9,43.62,43.62,43.62,0,0,0,3,28.1,52
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5356 5353 5365 5342 5301 5291 5289 5285 5675 5419,781.6,781.6,781.7,0,0,0,40,219.9,558
