suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,27572 27563 27768 26772 27606 27673 27723 26714 27072 27355,4518,4520,4525,0,0,0,1068,1265,1561
CompilationBenchmarksBigNightly,caskApp,130,1,642.1 641.7 640.8 641.7 659 707.6 665.3 640.4 653.6 642,157.3,157.3,157.3,0,0,0,8,109.7,365
CompilationBenchmarksBigNightly,dottyUtils,170,1,1179 1171 1168 1170 1169 1168 1171 1169 1167 1268,205.2,205.2,205.2,0,0,0,3,71.6,189
CompilationBenchmarksBigNightly,fansi,140,1,1190 1186 1189 1188 1190 1189 1189 1195 1191 1188,214.6,214.6,214.8,0,0,0,401,512.7,687
CompilationBenchmarksBigNightly,parallelCollections,100,1,4921 4927 4925 4925 4924 4922 4923 4926 4922 4924,725,725,725,0,0,0,13,107.7,332
CompilationBenchmarksBigNightly,re2s,60,1,2173 2171 2183 2178 2170 2162 2162 2186 2184 2180,366,366,366,0,0,0,38,174,490
CompilationBenchmarksBigNightly,scalaToday,130,1,3418 3423 3422 3416 3416 3420 3416 3421 3415 3467,617.7,617.7,617.7,0,0,0,26,173.7,429
CompilationBenchmarksBigNightly,scalaYaml,40,1,4598 4589 4596 4586 4578 4698 4923 4619 4574 4585,659.1,659.3,659.7,0,0,0,70,438.5,882
CompilationBenchmarksBigNightly,sourcecode,100,1,984.5 1036 1055 1022 1048 1052 1035 1086 1028 1013,207.2,207.2,207.3,0,0,0,29,131.5,402
CompilationBenchmarksBigNightly,tastyQuery,60,1,5556 5436 5364 5386 5369 5354 5366 5356 5358 5357,782.1,782.1,782.1,0,0,0,51,231.6,521
CompilationBenchmarksBigNightly,tictactoe,130,1,1327 1345 1340 1343 1334 1452 1408 1325 1322 1323,323,323,323.1,0,0,0,71,240.7,596
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1348 1346 1346 1351 1347 1350 1406 1385 1401 1403,460.1,460.2,460.3,0,0,0,10,90.4,211
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1717 1718 1718 1722 1803 1777 1801 1796 1751 1787,291.5,291.5,291.5,0,0,0,55,183.1,828
CompilationBenchmarksBigWeekly,scalaz,25,1,30025 30218 31445 31483 30601 29902 30213 30260 29801 29852,4527,4532,4534,2,2.3,3,236,469.2,1010
CompilationBenchmarksSmallNightly,helloWorld,150,1,132.8 132.4 131.4 131.5 131.2 131 131.3 130.7 131.9 131.9,49.57,49.57,49.57,0,0,0,0,14,40
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1024 1024 1024 1024 1023 1024 1023 1023 1024 1023,90.85,90.85,90.85,0,0,0,9,30.3,77
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,701.5 710 709.2 705 706.1 692.8 711.8 707.4 697.8 709.8,160.1,160.1,160.1,0,0,0,1,60.9,172
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,387.5 396.2 388.7 386.3 383.9 384.1 385 383.9 386.6 384.1,95.76,95.78,95.81,0,0,0,15,98.4,429
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,290.6 290.6 290.4 290.4 290.8 289.3 289.7 289.7 289.6 288.8,87.37,87.37,87.38,0,0,0,3,46.2,168
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,222.6 223.5 223.6 224.2 223.1 224.3 224.3 224.9 224.9 226.7,73.46,73.46,73.47,0,0,0,3,48.7,194
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,213.8 214 212.7 214.5 212.7 212.9 212.6 212.7 213.7 213.9,68.32,68.32,68.33,0,0,0,10,46.1,126
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,208.3 207.8 208.1 209.7 208.6 207.7 218.7 207.8 208.6 209.3,67.76,67.76,67.77,0,0,0,3,38.3,112
CompilationBenchmarksSmallWeekly,findRef,150,1,128.7 130.3 127.5 127.1 128.8 128.1 127.7 127.5 127.2 128,46,46,46.01,0,0,0,1,34.8,88
CompilationBenchmarksSmallWeekly,i1535,150,1,245.3 241.3 239 242.6 240.2 239.9 238.8 240.3 239.7 240,72.94,72.95,72.95,0,0,0,13,83.9,178
CompilationBenchmarksSmallWeekly,i1687,150,1,134.4 133.3 133.3 133.1 135.3 133.4 133.8 133.3 134 134.5,49.1,49.1,49.1,0,0,0,0,23.6,70
CompilationBenchmarksSmallWeekly,implicitCache,150,1,149.5 148.9 148.5 148.3 147.9 148.2 147.9 147.7 148.4 147.7,51.61,51.61,51.61,0,0,0,1,14.8,43
CompilationBenchmarksSmallWeekly,implicitNums,150,1,373 372.6 372.4 372.8 372.3 372.2 374 371.7 373.3 372.5,106.3,106.3,106.3,0,0,0,5,39.3,157
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,173.8 174.7 173 174.1 172.1 173.8 172.6 174 169.8 174.9,51.37,51.37,51.37,0,0,0,2,30.2,68
CompilationBenchmarksSmallWeekly,tuple,150,1,233.2 235.5 235.5 235.5 234.8 234.9 234.5 235 235.3 235.6,75.43,75.43,75.44,0,0,0,9,26.5,64
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,186.4 177.3 181.2 179.8 178.3 178.5 179 178.6 177.9 180.7,61.02,61.02,61.02,0,0,0,1,42.6,73
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,219.9 233.6 219.7 219.1 218.7 218.9 218.2 219 218.4 218.4,76.92,76.92,76.92,0,0,0,16,55,118
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,174.6 174 174 174.6 182.5 176.3 173.4 173.7 174.2 173.8,60.64,60.64,60.65,0,0,0,2,17.2,39
