suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,26445 26441 26984 27042 26917 27066 27114 26823 26433 26405,4588,4588,4589,0,0,0,1035,1251,1585
CompilationBenchmarksBigNightly,caskApp,130,1,654 652.7 691 670.5 690.2 654.6 651.8 654 654.2 651.3,160.1,160.1,160.2,0,0,0,6,147.3,364
CompilationBenchmarksBigNightly,dottyUtils,170,1,1205 1203 1204 1202 1202 1219 1203 1202 1199 1203,206.2,206.2,206.2,0,0,0,2,65.9,140
CompilationBenchmarksBigNightly,fansi,140,1,1136 1136 1137 1135 1135 1137 1135 1145 1134 1135,214.3,214.4,214.4,0,0,0,276,393.8,656
CompilationBenchmarksBigNightly,parallelCollections,100,1,4841 4842 4838 4843 4841 4851 4841 4840 4839 4840,725.1,725.2,725.2,0,0,0,9,98.5,213
CompilationBenchmarksBigNightly,re2s,60,1,2177 2178 2176 2189 2182 2177 2176 2178 2178 2177,369.1,369.1,369.2,0,0,0,47,181.5,538
CompilationBenchmarksBigNightly,scalaToday,130,1,3337 3342 3342 3339 3373 3373 3368 3376 3372 3367,616.9,616.9,616.9,0,0,0,22,186,544
CompilationBenchmarksBigNightly,scalaYaml,40,1,4628 4639 4633 4618 4612 4683 4811 4830 4610 4608,658.8,658.9,659.2,0,0,0,74,401.2,617
CompilationBenchmarksBigNightly,sourcecode,100,1,1034 1039 1048 1043 1043 1043 1044 1044 1036 1038,207,207,207,0,0,0,19,115.2,311
CompilationBenchmarksBigNightly,tastyQuery,60,1,5367 5367 5367 5371 5366 5359 5359 5358 5355 5354,784.3,784.3,784.4,0,0,0,92,262.5,572
CompilationBenchmarksBigNightly,tictactoe,130,1,1333 1337 1332 1336 1337 1328 1328 1364 1456 1366,323.1,323.1,323.1,0,0,0,2,170.6,470
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1352 1352 1353 1353 1351 1355 1351 1350 1352 1352,460.7,460.8,460.9,0,0,0,0,62.3,154
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1666 1736 1728 1667 1668 1671 1667 1687 1663 1663,291.3,291.3,291.3,0,0,0,15,164.8,823
CompilationBenchmarksBigWeekly,scalaz,25,1,30962 30974 30031 30372 31893 30205 29746 30872 30959 30404,4519,4522,4525,2,2.3,3,146,440.1,821
CompilationBenchmarksSmallNightly,helloWorld,150,1,159.9 151.6 156.4 155.6 156.2 155.1 155.3 155.2 152.5 154.6,51.14,51.14,51.14,0,0,0,2,25,105
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1021 1022 1024 1020 1020 1021 1020 1019 1021 1019,91.42,91.42,91.43,0,0,0,11,39.9,135
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,680.3 680.5 680.7 680.3 680.2 681.4 682.1 680.2 679.8 678.7,158.2,158.2,158.2,0,0,0,2,46,169
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,382.5 390.9 381.8 381 378.2 378.9 379.6 380.4 381.4 378.6,97.43,97.44,97.48,0,0,0,1,87.5,363
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,284.8 286.3 284.8 284.7 284.8 285.2 285.2 284 285.1 286.4,87.33,87.34,87.34,0,0,0,0,50.4,165
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,221.3 221.9 222 222 228.1 223.2 221.2 219.9 220.5 220.7,74.27,74.27,74.27,0,0,0,3,36.7,99
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,237.6 235.9 237.2 238.2 237.7 236.7 237.1 237.5 235.3 237,69.09,69.09,69.09,0,0,0,1,28.9,79
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,209.7 209.4 209.2 210.6 209.6 208.7 209 209.2 223.6 224.8,68.8,68.8,68.81,0,0,0,4,39.2,151
CompilationBenchmarksSmallWeekly,findRef,150,1,131.7 131.3 130.4 132 132.2 131.5 130.5 130.1 131.2 130.6,48.04,48.04,48.04,0,0,0,5,36.1,82
CompilationBenchmarksSmallWeekly,i1535,150,1,239.4 240 239.8 240.3 239.3 241 243 254.5 251.7 243.3,72.68,72.68,72.68,0,0,0,18,74.4,188
CompilationBenchmarksSmallWeekly,i1687,150,1,130.8 131.6 130.8 131.2 130.2 129.6 130.7 130 131.1 130.5,50.04,50.05,50.05,0,0,0,0,22,50
CompilationBenchmarksSmallWeekly,implicitCache,150,1,147.5 147.9 147.4 147.1 147.3 147.2 147.4 146.9 147.3 147.7,52.63,52.63,52.63,0,0,0,2,14.2,49
CompilationBenchmarksSmallWeekly,implicitNums,150,1,380.2 379.2 378.3 378.8 378.9 379 380 374.8 376.8 375.6,108.5,108.5,108.5,0,0,0,0,43.1,155
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,161.3 163.9 161.4 157.7 161.5 164 152.6 152.8 151.8 153.2,54.17,54.17,54.18,0,0,0,1,37.1,109
CompilationBenchmarksSmallWeekly,tuple,150,1,260.1 260.3 259 259.7 258.8 257 257.2 256.5 257.1 256.1,75.5,75.51,75.52,0,0,0,6,27.5,50
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,182.5 181.2 178.7 184.9 180.5 192.6 193.1 191.6 186.7 182,62.99,62.99,62.99,0,0,0,1,51.4,105
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,224.9 226.7 224.6 223.9 224.1 224 223.9 224.8 224.4 224.2,80.56,80.56,80.57,0,0,0,1,32.1,121
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,182.4 183 171.4 183.2 171.9 170.7 171.5 171.8 170.9 172,61.68,61.68,61.68,0,0,0,1,13.6,34
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,168.4 167.4 168 167.5 168.7 168 168 167.9 167.8 168.2,59.29,59.29,59.29,0,0,0,4,55.8,113
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,228.9 251.8 240.1 240.2 233.2 241.4 238.4 240.5 240.4 240.1,75.02,75.03,75.03,0,0,0,3,34.5,108
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,136.4 136.8 136.8 136 136.4 136.1 135.7 136.3 136.2 136.2,51.13,51.13,51.13,0,0,0,1,22.8,56
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5438 5364 5360 5491 5551 5435 5467 5509 5474 5322,784.9,784.9,785,0,0,0,80,225.4,519
