suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksSmallNightly,helloWorld,150,1,118.7 118.4 118.4 118.1 118 117.8 118 117.7 118 119.1,41.52,41.52,41.52,0,0,0,1,18.9,44
CompilationBenchmarksSmallNightly,implicitInductive,150,1,995.6 995.1 995.8 996.1 994.4 995.8 994.2 994.5 995.5 994.7,80.73,80.73,80.74,0,0,0,7,46.1,116
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,662.4 662.8 661.6 663.2 661.4 661.9 663.2 662.9 663 662.9,147.3,147.3,147.3,0,0,0,18,79.4,239
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,367.3 364.9 369.7 359.5 357.1 358.5 357 356.9 362.9 357.3,86.57,86.59,86.63,0,0,0,1,73.7,371
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,268.1 269.2 267.5 268.1 267.8 268.8 267.7 267.7 268 269.8,76.89,76.89,76.89,0,0,0,3,48.3,162
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,206.7 207.3 207.2 206.9 206.5 206.2 207.1 206.2 207.4 207.5,63.72,63.72,63.72,0,0,0,1,42.3,120
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,194.2 193.2 193.8 194.4 193.5 193.4 193.2 193.1 192.8 193.4,58.45,58.45,58.45,0,0,0,2,34.3,87
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,192.7 192.5 193.8 194.2 192.8 192 191.8 192.8 192.9 192.7,58.5,58.5,58.5,0,0,0,15,58.7,99
CompilationBenchmarksSmallWeekly,findRef,150,1,121.4 121.9 121.3 121.8 122.7 121.9 121.5 121.1 121.5 120.8,40.68,40.68,40.68,0,0,0,6,48.4,116
CompilationBenchmarksSmallWeekly,i1535,150,1,246.2 249.3 250.6 251.8 245 255.4 253.6 247.2 245.6 246.6,61.87,61.87,61.87,0,0,0,7,79,207
CompilationBenchmarksSmallWeekly,i1687,150,1,116.3 117.5 117.3 116.4 116.8 116.5 116.2 116.6 116.2 117.3,40.64,40.64,40.64,0,0,0,1,25.6,72
CompilationBenchmarksSmallWeekly,implicitCache,150,1,135.8 132.4 134.4 141.7 138.4 142.2 138.9 134.7 139 141.8,43.03,43.03,43.04,0,0,0,3,26.4,43
CompilationBenchmarksSmallWeekly,implicitNums,150,1,358.3 362.4 360.3 358.8 358.1 371.3 359 357.8 357.9 358.9,99.47,99.47,99.47,0,0,0,0,31.5,191
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,137.8 137 136.6 138 137 135.8 136 135.8 137 136.4,43.46,43.46,43.46,0,0,0,1,32.2,66
CompilationBenchmarksSmallWeekly,tuple,150,1,213.5 213.8 213.8 214.4 213.7 213.6 213.1 213.1 213.1 213.5,64.54,64.54,64.54,0,0,0,15,32.7,44
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,171.5 169.2 169.5 169 168.8 169.3 168 169.5 168.9 169.9,55.81,55.81,55.81,0,0,0,1,50.3,147
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,216.5 216.5 216.3 223.7 216.8 216.1 215.8 224.2 218.7 215.4,72.08,72.08,72.09,0,0,0,0,48.5,112
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,161.3 161.7 161 161.7 160.9 161.4 160 160.1 160.5 160.5,54.25,54.25,54.26,0,0,0,0,13.3,48
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,158 159.6 158.1 158.4 158.5 157.4 157.9 158.1 156.4 158.1,52.33,52.33,52.34,0,0,0,1,48.8,93
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,213.7 214.8 214.1 214.3 213 213.6 213.2 212.9 213.5 213.7,67.03,67.03,67.03,0,0,0,1,33.4,99
