suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,26796 26906 26632 27162 26772 26592 26780 26408 26364 26345,4502,4503,4508,0,0,0,1027,1299,1597
CompilationBenchmarksBigNightly,caskApp,130,1,638.6 638.6 640.2 638.8 638.2 637.3 636.5 634.6 637.2 634.5,150.8,150.8,150.8,0,0,0,5,120,408
CompilationBenchmarksBigNightly,dottyUtils,170,1,1201 1201 1203 1201 1200 1198 1341 1206 1199 1209,201.8,201.8,201.8,0,0,0,12,75.7,207
CompilationBenchmarksBigNightly,fansi,140,1,1127 1131 1128 1125 1125 1143 1132 1125 1125 1210,207.2,207.2,207.2,0,0,0,330,462.3,648
CompilationBenchmarksBigNightly,parallelCollections,100,1,4866 4870 4863 4867 4865 4867 4866 4868 4864 4871,721.7,721.7,721.7,0,0,0,8,95.1,339
CompilationBenchmarksBigNightly,re2s,60,1,2146 2144 2144 2136 2127 2120 2119 2122 2118 2118,365.3,365.3,365.3,0,0,0,60,229.3,555
CompilationBenchmarksBigNightly,scalaToday,130,1,3338 3338 3337 3337 3382 3380 3382 3380 3380 3380,599.5,599.5,599.5,0,0,0,20,147.9,432
CompilationBenchmarksBigNightly,scalaYaml,40,1,4729 4553 4539 4539 4515 4520 4509 4519 4514 4538,651,651.1,651.4,0,0,0,46,421.8,735
CompilationBenchmarksBigNightly,sourcecode,100,1,969.4 968.1 1071 1003 968.6 968.2 968.4 968.1 966.7 966.1,201.5,201.5,201.5,0,0,0,31,119.8,326
CompilationBenchmarksBigNightly,tastyQuery,60,1,5539 5557 5396 5342 5341 5321 5328 5319 5326 5369,781.5,781.5,781.5,0,0,0,47,224.6,425
CompilationBenchmarksBigNightly,tictactoe,130,1,1392 1397 1363 1372 1407 1392 1393 1358 1385 1382,311.1,311.2,311.3,0,0,0,7,166.4,431
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1346 1347 1346 1346 1344 1345 1344 1343 1344 1344,455.1,455.2,455.3,0,0,0,2,60.1,163
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1685 1721 1837 1687 1696 1691 1703 1716 1685 1685,286.4,286.4,286.4,0,0,0,35,180.9,873
CompilationBenchmarksBigWeekly,scalaz,25,1,31630 29826 30007 30040 30012 31027 30094 29913 30062 32050,4565,4570,4573,2,2.2,3,234,435.7,749
CompilationBenchmarksSmallNightly,helloWorld,150,1,131.9 131 131.4 131.2 131.2 131 130.7 130.8 130.5 131.5,47.55,47.55,47.55,0,0,0,2,17.5,57
