suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,26909 27331 26913 26831 26747 26872 26564 26333 26573 26529,4583,4585,4596,0,0,0,1002,1294,1617
CompilationBenchmarksBigNightly,caskApp,130,1,662.9 660 660.8 662.7 661.1 661.3 660.4 654.1 662.3 662.2,159.1,159.1,159.1,0,0,0,1,139.2,474
CompilationBenchmarksBigNightly,dottyUtils,170,1,1188 1188 1188 1188 1188 1187 1285 1214 1188 1188,206.4,206.4,206.4,0,0,0,7,57,234
CompilationBenchmarksBigNightly,fansi,140,1,1158 1152 1163 1154 1153 1138 1137 1135 1136 1136,214.3,214.3,214.5,0,0,0,300,425.1,710
CompilationBenchmarksBigNightly,parallelCollections,100,1,4889 4890 4885 4890 4887 4888 4888 4887 4893 4894,726.6,726.6,726.6,0,0,0,9,92.3,203
CompilationBenchmarksBigNightly,re2s,60,1,2171 2191 2190 2200 2192 2260 2223 2322 2194 2190,367.9,367.9,367.9,0,0,0,53,216.8,519
CompilationBenchmarksBigNightly,scalaToday,130,1,3440 3443 3438 3439 3440 3432 3402 3402 3401 3402,617.5,617.6,617.6,0,0,0,22,161.7,432
CompilationBenchmarksBigNightly,scalaYaml,40,1,4566 4756 4566 4714 4584 4552 4524 4525 4520 4515,658.9,659,659.1,0,0,0,76,398.3,754
CompilationBenchmarksBigNightly,sourcecode,100,1,974 979.9 977 971.7 972.3 973.4 973.2 980.9 1099 981.9,207.4,207.4,207.4,0,0,0,17,133.8,330
CompilationBenchmarksBigNightly,tastyQuery,60,1,5331 5347 5467 5385 5467 5377 5323 5319 5566 5571,782.9,782.9,782.9,0,0,0,86,255.6,521
CompilationBenchmarksBigNightly,tictactoe,130,1,1347 1346 1346 1344 1344 1344 1343 1342 1343 1340,322.7,322.8,322.9,0,0,0,24,220.6,470
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1350 1349 1348 1352 1347 1351 1346 1356 1349 1347,459.5,459.6,459.6,0,0,0,0,66.1,159
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1685 1687 1685 1686 1696 1685 1685 1678 1692 1680,290.9,290.9,290.9,0,0,0,14,160.6,754
CompilationBenchmarksBigWeekly,scalaz,25,1,31477 30048 29944 29784 30134 31344 30941 30406 30094 30288,4535,4537,4538,2,2.1,3,171,461,837
CompilationBenchmarksSmallNightly,helloWorld,150,1,138.2 138.8 137.4 137.3 136.3 137.7 137.5 137.5 137.7 137.6,51.2,51.2,51.2,0,0,0,3,19.9,62
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1019 1020 1018 1020 1020 1019 1019 1020 1019 1019,91.88,91.89,91.89,0,0,0,9,35.8,92
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,687.5 687.2 687.5 687.8 687.1 687.8 687.3 686.1 684.6 685.9,158.1,158.1,158.1,0,0,0,22,69.7,282
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,381.8 386.4 381.1 380.4 378.6 379.1 378.9 378 380.8 379.9,97.34,97.35,97.37,0,0,0,16,70.6,136
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,290.2 290.1 289.4 289.6 289.1 296.2 288.4 288.6 289.1 290.1,87.24,87.25,87.25,0,0,0,11,52.9,180
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,225.7 226.3 226.1 225.9 225.8 225.5 224.2 224.4 225.3 224.7,74.37,74.37,74.37,0,0,0,4,38.6,92
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,214.9 221.2 214.7 213.8 214.1 213.7 213.7 213.9 213.6 214.5,69.08,69.08,69.08,0,0,0,9,42.4,84
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,212.8 212.9 212.5 212.3 213.2 213 212.4 212.3 213.1 212,68.99,69,69,0,0,0,10,35,70
CompilationBenchmarksSmallWeekly,findRef,150,1,134.2 133.5 133.9 138.3 133.7 134.2 133.4 134 132.3 134.1,47.02,47.02,47.02,0,0,0,4,35.7,81
CompilationBenchmarksSmallWeekly,i1535,150,1,243.5 243.9 242.8 242.8 243.2 242 241.8 242.8 243.2 243,72.66,72.67,72.67,0,0,0,11,59.4,163
CompilationBenchmarksSmallWeekly,i1687,150,1,139.1 139.3 139.2 142.6 139.5 139.5 138.8 139.3 142.1 145.2,49.94,49.94,49.95,0,0,0,0,17.3,50
CompilationBenchmarksSmallWeekly,implicitCache,150,1,151.3 150.9 150.7 150.5 150.3 150.5 150.4 150.1 151.5 150.6,52.51,52.51,52.51,0,0,0,0,11.9,48
CompilationBenchmarksSmallWeekly,implicitNums,150,1,378 378.6 377.8 377.9 377.6 377.4 375.4 377.3 376.7 378.5,108.8,108.8,108.8,0,0,0,3,40.4,149
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,152.6 153.6 152.8 152.7 152.4 153.2 152.5 153 151.9 153.4,52.97,52.97,52.98,0,0,0,0,35,100
CompilationBenchmarksSmallWeekly,tuple,150,1,242.3 242.2 241.9 242.3 241.5 241.3 241.4 241.2 242.1 241.4,75.49,75.49,75.5,0,0,0,8,27.3,51
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,180.4 179.9 178.1 179.3 179.5 179 179 177.1 179.1 179.5,62.8,62.81,62.81,0,0,0,3,46.5,126
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,227.4 227.5 227.6 227.5 228.4 226.9 226 227.2 227.7 226.7,79.46,79.47,79.47,0,0,0,0,40.5,128
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,169.8 170.5 169.7 170.4 170.1 169.9 169 169.1 170.2 169.8,61.61,61.61,61.61,0,0,0,1,13.2,41
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,173.8 172.7 172.3 172.1 172 171.9 170.4 172.3 171.4 170.6,59.35,59.35,59.35,0,0,0,2,71.7,177
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,233.8 233.7 234.2 234.1 233.5 233.6 233.7 233.5 231.1 234.1,75.11,75.12,75.12,0,0,0,1,35.9,136
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,139.7 140.1 139.5 139.4 139.9 139.8 139.2 140.2 140 139.6,51.11,51.11,51.12,0,0,0,0,19.8,45
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5451 5379 5366 5391 5387 5378 5360 5378 5378 5378,782.6,782.6,782.7,0,0,0,54,238.2,652
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.65 21.64 21.6 21.76 21.62 21.63 21.62 21.67 21.88 21.47,3.623,3.623,3.623,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,12.6 12.63 12.63 12.59 12.6 12.63 12.62 12.61 12.61 12.59,1.813,1.813,1.813,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,cd,20,1,25.56 25.6 25.54 25.53 25.54 25.63 25.66 25.51 25.53 25.5,31.11,31.11,31.11,0,0,0,0,1.6,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,22.44 22.42 22.46 22.3 22.24 22.22 22.24 22.23 22.24 22.24,16.26,16.26,16.27,0,0,0,0,0.8,3
RuntimeBenchmarksAwfyWeekly,gcbench,30,1,139.8 140.3 140.2 140.2 140 139.8 140.4 141.4 139.9 140.1,490.4,490.4,490.4,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,json,10,10,14.67 14.68 14.73 14.69 14.67 14.71 14.7 14.69 14.69 14.71,16.53,16.53,16.53,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,157.7 154.7 154.4 154.5 155 154.3 154.4 154.2 154.2 154.2,23.26,23.26,23.26,0,0,0,0,1.6,6
