suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,25931 26596 26727 25748 25503 25493 25934 26553 26687 26353,4342,4342,4342,0,0,0,942,1163,1371
CompilationBenchmarksBigNightly,caskApp,130,1,621 618.7 623 625.9 632.7 629.3 628.4 631.8 627.5 627.8,164.2,164.3,164.3,0,0,0,14,113.5,238
CompilationBenchmarksBigNightly,dottyUtils,170,1,1171 1176 1178 1173 1157 1158 1160 1160 1172 1176,210.1,210.1,210.1,0,0,0,8,74.3,210
CompilationBenchmarksBigNightly,fansi,140,1,1214 1220 1217 1213 1212 1240 1306 1273 1248 1245,231,231,231,0,0,0,298,444.6,808
CompilationBenchmarksBigNightly,parallelCollections,100,1,4701 4700 4705 4705 4787 4725 4703 4918 4700 4893,684.8,684.8,684.8,0,0,0,8,89.2,305
CompilationBenchmarksBigNightly,re2s,60,1,1973 1973 2002 2113 2004 1922 1919 1936 1937 1934,334.2,334.2,334.2,0,0,0,59,171.8,341
CompilationBenchmarksBigNightly,scalaToday,130,1,3512 3388 3276 3268 3277 3284 3272 3295 3274 3271,590.2,590.2,590.2,0,0,0,33,210,442
CompilationBenchmarksBigNightly,scalaYaml,40,1,4441 4823 4478 4421 4430 4412 4412 4553 4768 4405,628,628.1,628.2,0,0,0,115,459.2,812
CompilationBenchmarksBigNightly,sourcecode,100,1,986.7 987.6 986.5 979.8 981.6 978.9 979.4 982.6 980.3 978.2,207.2,207.2,207.2,0,0,0,14,101,357
CompilationBenchmarksBigNightly,tastyQuery,60,1,5158 5158 5156 5181 5354 5517 5157 5166 5152 5523,747.8,747.8,747.8,0,0,0,28,265.7,677
CompilationBenchmarksBigNightly,tictactoe,130,1,1307 1297 1302 1296 1306 1310 1275 1275 1270 1352,325.3,325.4,325.5,0,0,0,88,255.3,467
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1261 1260 1262 1263 1270 1259 1259 1259 1259 1258,443.9,444,444,0,0,0,23,134.2,392
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1623 1623 1624 1622 1622 1621 1607 1603 1604 1605,291.6,291.6,291.6,0,0,0,37,170.3,496
CompilationBenchmarksBigWeekly,scalaz,25,1,28219 28627 28597 28139 27991 27925 29244 28530 28045 28387,4195,4199,4202,3,3,3,144,444.7,1121
CompilationBenchmarksSmallNightly,helloWorld,150,1,168.9 168.3 167.7 167.7 167.9 168 168.3 168 168.5 167.1,65,65,65.01,0,0,0,4,26.8,61
CompilationBenchmarksSmallNightly,implicitInductive,150,1,924.8 924.6 925 924.9 923.7 924.6 923.1 923.2 926.4 924,106.7,106.7,106.7,0,0,0,1,53,140
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,641.7 642.5 641.9 641.6 641.3 641.4 640.8 641.7 640.9 640.4,147.2,147.2,147.2,0,0,0,8,45.8,158
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,394.3 402.8 395.7 392.9 392.4 390.6 390.6 390.1 391.7 391,110.6,110.6,110.6,0,0,0,7,152,549
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,293.9 292.8 292.4 292.2 292.4 292.4 292.2 292.5 292.7 293.2,100.4,100.4,100.4,0,0,0,0,40.9,158
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,216.8 216.4 216 217.4 216.7 216.3 216.1 216.1 217.6 219.1,78.49,78.49,78.49,0,0,0,2,31.6,126
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,201.9 195.1 203.1 194.4 194.1 194 193.8 194.4 205.3 194.5,72.28,72.29,72.29,0,0,0,3,33.3,135
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,198.8 198.5 197.4 197.7 197.8 197.1 197.7 197.4 197.4 197,72.27,72.27,72.27,0,0,0,0,20.6,42
