suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,28193 27550 27855 27307 27753 28489 26833 26440 26442 27024,4570,4571,4571,0,0,0,1020,1300,1663
CompilationBenchmarksBigNightly,caskApp,130,1,659.6 659.5 658.5 656.2 659 657.3 656 665.8 654.2 653.3,159,159,159,0,0,0,7,146.2,668
CompilationBenchmarksBigNightly,dottyUtils,170,1,1163 1161 1162 1160 1161 1159 1160 1162 1159 1162,205.2,205.2,205.3,0,0,0,4,59.4,137
CompilationBenchmarksBigNightly,fansi,140,1,1126 1130 1128 1125 1125 1132 1182 1205 1193 1257,213.9,213.9,213.9,0,0,0,467,584.3,863
CompilationBenchmarksBigNightly,parallelCollections,100,1,4854 4856 4860 4855 4854 4851 4852 4854 4852 4856,720.7,720.7,720.8,0,0,0,10,98.4,211
CompilationBenchmarksBigNightly,re2s,60,1,2160 2153 2161 2145 2136 2130 2148 2152 2152 2368,368.7,368.7,368.8,0,0,0,52,184.6,546
CompilationBenchmarksBigNightly,scalaToday,130,1,3335 3336 3335 3334 3329 3328 3326 3326 3370 3369,615.3,615.3,615.3,0,0,0,25,188.3,567
CompilationBenchmarksBigNightly,scalaYaml,40,1,4794 4781 4769 4764 4766 4751 4505 4510 4501 4502,654.2,654.3,654.8,0,0,0,75,402.8,616
CompilationBenchmarksBigNightly,sourcecode,100,1,983.1 997.5 995 992.2 994.1 995.9 996.5 995.7 1008 995.5,207.3,207.3,207.3,0,0,0,19,145.9,602
CompilationBenchmarksBigNightly,tastyQuery,60,1,5412 5413 5411 5361 5354 5347 5482 5362 5493 5506,782.9,783,783,0,0,0,14,285.9,542
CompilationBenchmarksBigNightly,tictactoe,130,1,1323 1326 1322 1326 1405 1375 1403 1412 1384 1353,322.9,323,323.1,0,0,0,66,243.5,533
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1343 1343 1342 1343 1341 1341 1341 1340 1342 1340,459.1,459.2,459.2,0,0,0,8,64.6,139
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1678 1686 1680 1678 1680 1685 1677 1698 1676 1675,288.5,288.5,288.6,0,0,0,38,186.3,841
CompilationBenchmarksBigWeekly,scalaz,25,1,30260 29981 31606 30145 29802 29826 29676 29995 29867 32158,4481,4485,4487,2,2.2,3,148,424.3,783
CompilationBenchmarksSmallNightly,helloWorld,150,1,138.4 139.1 137.8 138.1 137.9 137 137.5 137 138.2 137.7,51.23,51.23,51.23,0,0,0,2,20.3,61
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1026 1025 1025 1026 1024 1029 1028 1027 1029 1028,91.45,91.45,91.45,0,0,0,11,37.2,88
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,676.1 676.4 676.9 677 675 676.1 677.3 674.7 675.1 674.5,158.4,158.4,158.4,0,0,0,12,64.8,254
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,384.8 384.5 384.2 383.7 381 381.5 380.5 380.4 380.9 380.4,97.08,97.09,97.13,0,0,0,12,105.2,362
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,280.9 282.1 280.5 280.6 281.7 283.6 282.8 282.3 283.7 284.9,87.1,87.1,87.1,0,0,0,3,47.5,176
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,231.4 231.6 231.3 221.7 230.2 232.2 230.2 225.9 226.1 216.6,74.29,74.29,74.29,0,0,0,7,34.4,91
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,212.2 223.7 233.6 217.1 213.5 211.2 211.8 218 216.3 212,69.29,69.29,69.3,0,0,0,1,31.6,78
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,217.9 224.9 225.9 226.5 213.2 224.5 225.3 225.3 224.9 215.1,69.09,69.09,69.09,0,0,0,3,39.2,89
