suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26254 26056 26344 26801 26891 27193 26387 26059 25970 25813 26437 26540 26654 26622 26240 26687 26988 27602 26682 26105,4226,4226,4227,0,0,0,930,1065,1436
CompilationBenchmarksBigNightly,caskApp,150,1,576.3 567.7 565.8 566.8 564.5 566 566.6 566.1 567.6 565.7 565.9 566 566.3 568 564.5 556.5 562.8 559.4 557.4 559.8,111.3,111.3,111.3,0,0,0,11,127,336
CompilationBenchmarksBigNightly,dottyUtils,170,1,1086 1093 1083 1085 1083 1082 1086 1085 1083 1086 1083 1081 1083 1085 1082 1084 1081 1083 1125 1189,151.2,151.2,151.2,0,0,0,0,84.6,549
CompilationBenchmarksBigNightly,fansi,150,1,1275 1309 1272 1272 1272 1271 1275 1276 1271 1273 1271 1270 1278 1274 1274 1270 1270 1277 1272 1269,201.1,201.1,201.1,0,0,0,308,402.4,772
CompilationBenchmarksBigNightly,parallelCollections,100,1,4568 4567 4568 4566 4565 4565 4566 4566 4566 4568 4575 4567 4566 4565 4566 4564 4564 4564 4563 4562,562.6,562.6,562.7,0,0,0,1,82.9,281
CompilationBenchmarksBigNightly,re2s,120,1,1798 1847 1831 1829 1813 1795 1822 1842 1827 2058 1803 1832 1954 1898 1806 1787 1784 1782 1781 1782,247.6,247.6,247.7,0,0,0,4,164.8,699
CompilationBenchmarksBigNightly,scalaToday,150,1,3333 3308 3304 3305 3304 3303 3304 3304 3305 3304 3303 3304 3302 3302 3303 3302 3302 3301 3302 3300,504.7,504.8,504.8,0,0,0,13,120.9,290
CompilationBenchmarksBigNightly,scalaYaml,80,1,4452 4447 4540 4528 4438 4611 4404 4377 4378 4377 4376 4428 4426 4434 4444 4433 4430 4422 4426 4431,534.4,534.5,534.7,0,0,0,15,184.6,614
CompilationBenchmarksBigNightly,sourcecode,170,1,925 935.9 926.3 925.9 924.1 925 925 929 924.4 924.7 922.1 924.3 927.3 927.1 922.8 923.6 933.5 932.7 933.5 935.1,151.7,151.7,151.9,0,0,0,0,100,411
CompilationBenchmarksBigNightly,tastyQuery,60,1,4990 4958 4950 5036 5160 5100 5171 5142 5160 5147 4994 4988 5012 4987 4983 4983 4982 4980 4976 4975,637.1,637.1,637.3,0,0,0,10,219.9,789
CompilationBenchmarksBigNightly,tictactoe,150,1,1136 1138 1136 1135 1136 1135 1135 1135 1190 1218 1166 1134 1132 1132 1129 1126 1135 1133 1144 1128,213.2,213.3,213.3,0,0,0,75,283.2,1396
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,775.1 776.1 774.8 774.5 774.1 773.1 773 772.3 773 773.2 772.9 772.3 772.2 772.6 772.5 772.3 772.1 771.7 772.8 771.7,125.4,125.4,125.4,0,0,0,0,55.95,167
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1569 1567 1568 1567 1567 1568 1568 1563 1567 1566 1564 1563 1565 1565 1563 1564 1563 1563 1563 1564,220.5,220.5,220.5,0,0,0,17,147,412
CompilationBenchmarksBigWeekly,scalaz,60,1,27922 27823 27835 27842 27669 27831 28863 28327 27846 27790 27910 27756 27737 27649 27600 27680 28384 28958 27698 27811,3687,3690,3693,2,2.75,3,32,181.6,793
CompilationBenchmarksSmallNightly,helloWorld,150,1,126.6 141 125.8 125.6 126.1 126.2 125.8 126 126.1 126.6 126.6 125.8 124.6 125.4 126.6 126 125.9 126.4 125.7 125.5,36.32,36.33,36.33,0,0,0,0,21.9,97
CompilationBenchmarksSmallNightly,implicitInductive,150,1,874.6 874.2 874.6 874.5 873.7 873.9 873.6 873.9 873.6 874.8 872.4 873.5 873 873.1 872.5 873.1 873.1 871.5 873 872.1,67.26,67.27,67.27,0,0,0,0,45.1,161
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,585 585.8 586.3 584.9 586.1 586.5 584.8 585.9 585.6 585.6 584.9 585.4 582.5 586.6 585.1 585.2 584.6 583.7 584.8 583.8,106.9,106.9,106.9,0,0,0,0,56.5,150
