suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,26558 27081 26862 26996 27035 26768 26269 26490 26708 26254,4531,4533,4538,0,0,0,1033,1283,1585
CompilationBenchmarksBigNightly,caskApp,130,1,679.5 681.1 688.5 681.1 680.9 680 679.5 685.4 676.4 676.7,159.8,159.8,159.8,0,0,0,5,135,441
CompilationBenchmarksBigNightly,dottyUtils,170,1,1211 1200 1198 1337 1199 1201 1199 1201 1214 1218,205.7,205.7,205.7,0,0,0,3,62.2,202
CompilationBenchmarksBigNightly,fansi,140,1,1396 1246 1232 1226 1232 1227 1230 1230 1231 1249,213.7,213.7,213.7,0,0,0,327,463.9,647
CompilationBenchmarksBigNightly,parallelCollections,100,1,4934 4932 4946 4939 4934 4932 4931 4932 4929 4932,723.8,723.8,723.8,0,0,0,15,100,221
CompilationBenchmarksBigNightly,re2s,60,1,2356 2182 2177 2189 2182 2179 2187 2180 2176 2178,367.6,367.6,367.7,0,0,0,55,157,475
CompilationBenchmarksBigNightly,scalaToday,130,1,3379 3381 3380 3376 3378 3382 3374 3380 3377 3372,608.9,608.9,608.9,0,0,0,14,166.6,412
CompilationBenchmarksBigNightly,scalaYaml,40,1,4657 4745 4777 4798 4768 4646 4657 4644 4634 4636,652.9,653,653.2,0,0,0,121,452.3,806
CompilationBenchmarksBigNightly,sourcecode,100,1,1069 1034 1035 1008 1007 1008 1009 1008 1013 1008,206.2,206.2,206.2,0,0,0,19,143.8,479
CompilationBenchmarksBigNightly,tastyQuery,60,1,5322 5347 5467 5389 5395 5566 5394 5324 5323 5333,778.8,778.8,778.9,0,0,0,97,272.9,515
CompilationBenchmarksBigNightly,tictactoe,130,1,1370 1374 1367 1371 1384 1513 1416 1366 1363 1365,323.9,323.9,324,0,0,0,26,222.6,403
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1300 1295 1335 1364 1348 1343 1313 1296 1294 1299,425.1,425.2,425.3,0,0,0,9,107.8,339
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1689 1691 1702 1752 1738 1695 1694 1797 1732 1754,289.7,289.7,289.8,0,0,0,39,182.1,799
