suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27397 27244 27361 27207 27369 27256 27538 27048 27007 27014,4605,4606,4612,0,0,0,857,987.5,1158
CompilationBenchmarksBigNightly,caskApp,150,1,649 686.9 645.3 619.8 618.1 619.1 619.5 617.6 614.4 618.5,165.7,165.8,165.8,0,0,0,3,69.4,203
CompilationBenchmarksBigNightly,dottyUtils,170,1,1152 1156 1153 1152 1153 1152 1162 1156 1151 1160,209.1,209.1,209.1,0,0,0,3,57.4,162
CompilationBenchmarksBigNightly,fansi,150,1,1340 1332 1335 1332 1327 1328 1327 1331 1329 1349,243.7,243.7,243.7,0,0,0,319,401,566
CompilationBenchmarksBigNightly,parallelCollections,100,1,4771 4773 4771 4773 4769 4770 4770 4772 4769 4772,689.7,689.7,689.7,0,0,0,16,88.4,274
CompilationBenchmarksBigNightly,re2s,120,1,1922 1928 1933 1931 1935 1931 1919 1946 1942 1936,333.8,333.8,333.9,0,0,0,16,136.4,427
CompilationBenchmarksBigNightly,scalaToday,150,1,3448 3449 3449 3447 3448 3446 3448 3446 3448 3503,609.9,609.9,609.9,0,0,0,27,125.2,416
CompilationBenchmarksBigNightly,scalaYaml,80,1,4596 4608 4597 4594 4588 4600 4590 4591 4591 4591,649.3,649.4,649.5,0,0,0,86,247.9,694
CompilationBenchmarksBigNightly,sourcecode,170,1,963.5 965.2 963.1 963.9 962.2 962.2 963.6 966.5 961.1 960.8,211.2,211.2,211.2,0,0,0,14,111.6,370
CompilationBenchmarksBigNightly,tastyQuery,60,1,5279 5278 5277 5287 5282 5276 5277 5277 5339 5338,765.1,765.1,765.1,0,0,0,67,218.5,645
CompilationBenchmarksBigNightly,tictactoe,150,1,1256 1256 1254 1254 1254 1252 1253 1253 1252 1252,325.1,325.1,325.1,0,0,0,79,164.4,344
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1241 1241 1240 1240 1248 1238 1235 1236 1238 1238,430.4,430.5,430.6,0,0,0,12,106.9,188
