suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27442 27202 28012 28417 27413 27959 28301 27866 26963 27384,4630,4631,4636,0,0,0,920,1050,1189
CompilationBenchmarksBigNightly,caskApp,150,1,609.3 609.7 608 605.5 605.8 607 605.6 606.2 604.9 607.3,165.6,165.6,165.6,0,0,0,4,66.1,175
CompilationBenchmarksBigNightly,dottyUtils,170,1,1162 1163 1163 1160 1160 1160 1159 1160 1161 1216,208.9,208.9,208.9,0,0,0,10,58.9,158
CompilationBenchmarksBigNightly,fansi,150,1,1356 1354 1353 1355 1353 1354 1354 1354 1358 1353,244.6,244.6,244.6,0,0,0,390,442.7,526
CompilationBenchmarksBigNightly,parallelCollections,100,1,4782 4779 4776 4776 4834 4765 4761 4763 4761 4832,686.4,686.5,686.5,0,0,0,14,85.2,234
CompilationBenchmarksBigNightly,re2s,120,1,1941 1940 1941 1939 1938 1940 1942 1949 1941 1942,334.6,334.6,334.7,0,0,0,16,180.9,762
CompilationBenchmarksBigNightly,scalaToday,150,1,3501 3503 3502 3503 3501 3499 3641 3664 3554 3627,609,609,609.1,0,0,0,31,113.9,288
CompilationBenchmarksBigNightly,scalaYaml,80,1,4599 4599 4597 4593 4590 4597 4590 4591 4592 4589,647.3,647.3,647.3,0,0,0,69,234.3,626
CompilationBenchmarksBigNightly,sourcecode,170,1,984.4 986.2 983.3 985.2 982.9 982.3 983.5 987.2 981.9 982,210.7,210.7,210.7,0,0,0,4,105.8,346
CompilationBenchmarksBigNightly,tastyQuery,60,1,5349 5351 5351 5286 5280 5272 5271 5273 5269 5274,766.1,766.1,766.1,0,0,0,14,240.4,632
CompilationBenchmarksBigNightly,tictactoe,150,1,1258 1254 1255 1256 1254 1253 1253 1254 1256 1252,325.9,325.9,325.9,0,0,0,89,209.5,486
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1260 1279 1260 1277 1265 1260 1260 1260 1258 1259,430.7,430.8,430.9,0,0,0,14,83.5,198
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1600 1603 1601 1598 1606 1602 1598 1613 1599 1598,290.9,290.9,291,0,0,0,37,175.7,557
CompilationBenchmarksBigWeekly,scalaz,60,1,29794 29292 28556 28227 28587 28025 28508 28456 28618 28624,4260,4264,4268,2,2.8,3,46,186.2,392
CompilationBenchmarksSmallNightly,helloWorld,150,1,166.9 167.3 166.8 165.4 165.3 165.2 166 165.1 166 165.9,65.41,65.41,65.41,0,0,0,2,19,59
CompilationBenchmarksSmallNightly,implicitInductive,150,1,965.6 950.9 949.9 960.5 951.5 950.1 948.6 948.7 950.6 949.8,107.6,107.6,107.6,0,0,0,2,61.8,139
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,645.6 654.4 655.2 658.7 653.4 652 644.3 641.3 642.1 644.9,147.2,147.3,147.3,0,0,0,13,72.9,226
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,397.6 407.7 396.5 397.5 395.3 396.8 398.3 397 399.2 396.4,109.6,109.6,109.6,0,0,0,13,137.2,616
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,299.5 300.3 298.5 298.8 298 298.6 298.7 297.6 298.6 300,102.2,102.2,102.2,0,0,0,1,47.9,175
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,219.4 219 217.8 218.2 223.7 219.4 218.8 217.5 217.9 217.3,79.29,79.3,79.3,0,0,0,1,36.2,118
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,197.9 197.8 197.9 197 197.5 196.8 196.9 197 197.9 196.8,72.73,72.73,72.74,0,0,0,3,33.5,136
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,194.7 194.4 193.9 193.9 194 193.9 193.6 192.2 191.9 193.1,72.83,72.83,72.83,0,0,0,1,20.8,65
CompilationBenchmarksSmallWeekly,findRef,150,1,162.9 162.7 162.4 161.6 161.4 162.7 161 161.7 161.7 162.1,61.86,61.86,61.86,0,0,0,5,19.7,55
CompilationBenchmarksSmallWeekly,i1535,150,1,245.7 245.2 245.1 243.8 244.7 244.9 244.4 259.5 243.2 244,85.44,85.45,85.45,0,0,0,14,52.2,169
CompilationBenchmarksSmallWeekly,i1687,150,1,159.2 159.3 158.4 158.6 158.5 158.5 157.9 158.3 162 159.1,63.9,63.9,63.9,0,0,0,0,18.9,59
CompilationBenchmarksSmallWeekly,implicitCache,150,1,215.5 215 217.5 214.7 214.6 214.6 214.6 214.6 213.8 214.8,83.25,83.25,83.26,0,0,0,1,23.8,82
CompilationBenchmarksSmallWeekly,implicitNums,150,1,419.3 419.2 419.1 419.3 419.7 419.2 419.4 419.4 417.2 419.5,130.5,130.5,130.5,0,0,0,0,31.6,149
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,242.7 242.2 241.7 241 241.8 241.3 229.3 226.7 229.9 228.3,83.87,83.87,83.87,0,0,0,5,25.9,116
CompilationBenchmarksSmallWeekly,tuple,150,1,237.3 237.6 236.7 237 237.2 237.4 237.5 237.6 237.9 237.9,86.45,86.45,86.46,0,0,0,3,20.9,50
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,211.4 211.1 210.3 210.2 197.6 209 208.5 198.6 197 226.7,73.22,73.22,73.23,0,0,0,1,32.1,119
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,229.9 227.5 228.5 228 228.9 229.1 228.8 228.2 227.5 228.3,77.94,77.94,77.95,0,0,0,2,20,117
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,175.3 167 165.7 175 199.8 176.4 165.5 172.2 171.4 175.3,65.62,65.62,65.62,0,0,0,0,13,37
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,186.3 185.7 186 186.2 185.4 186 185.2 185.4 185.5 185.6,70.89,70.89,70.89,0,0,0,2,25.8,85
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,242.7 243.6 234.9 243.2 238.2 243.3 243.6 242.5 235.4 241.8,84.17,84.17,84.18,0,0,0,0,28.6,85
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,163.9 163.5 163.1 164.7 164.3 164.1 164.2 164 163 164.4,65.87,65.87,65.88,0,0,0,2,19.8,64
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5347 5346 5376 5342 5337 5333 5333 5496 5474 5426,758.4,758.4,758.4,0,0,0,40,209.2,565
