suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksSmallNightly,helloWorld,150,1,121.6 120.9 120.4 120.9 120.6 120.8 120.7 120.6 121.7 121,43.82,43.82,43.82,0,0,0,1,16.8,44
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1020 1021 1020 1022 1020 1021 1020 1020 1020 1020,84.49,84.49,84.49,0,0,0,7,37.8,155
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,672.9 672.6 672.7 672.9 672.6 672.3 671.9 671.1 673.3 682.8,151.7,151.7,151.7,0,0,0,15,63.3,164
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,370.7 378.4 368.3 457.1 378.5 369.5 383.3 365.6 363.5 363.3,91.31,91.34,91.45,0,0,0,3,78.7,355
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,266.2 267.7 266 266.9 265.8 266.7 265.9 266.1 266.4 268.2,80.18,80.18,80.19,0,0,0,4,46.6,171
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,209.7 210.3 210.2 210.1 210 209.4 221.2 209.7 208.2 209.4,67.04,67.04,67.05,0,0,0,6,49.4,126
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,200.6 199.9 200.4 200.8 199.9 200.1 199.6 200.2 199.2 200.1,61.85,61.85,61.86,0,0,0,0,34.9,83
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,192 192.3 192.3 192.3 192.6 192.3 191.8 191.5 191.3 191.7,61.82,61.82,61.82,0,0,0,5,44.7,94
CompilationBenchmarksSmallWeekly,findRef,150,1,122.8 121.8 121.3 122.4 121.4 122.1 121.6 121.1 122 121.1,42.69,42.69,42.69,0,0,0,4,39.6,90
CompilationBenchmarksSmallWeekly,i1535,150,1,227.1 227.6 227.7 226.3 227.4 224.6 223.8 224.8 224.1 224.8,65.64,65.65,65.65,0,0,0,18,75.7,182
CompilationBenchmarksSmallWeekly,i1687,150,1,121 121.9 121.1 121.5 120.8 120.8 121.7 120.5 121.2 121,43.4,43.4,43.4,0,0,0,1,22.9,70
CompilationBenchmarksSmallWeekly,implicitCache,150,1,134.9 134.5 134.8 134.6 134.6 134.4 134.1 133.5 134.3 134,45.12,45.13,45.13,0,0,0,2,25.4,40
CompilationBenchmarksSmallWeekly,implicitNums,150,1,364.1 364.2 364 364.3 364.5 364.4 363.2 363.4 365.2 363.6,100.4,100.4,100.4,0,0,0,2,44,183
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,138 137.5 136.8 136.7 137.1 136.8 136.9 137 137 137.6,45.5,45.5,45.5,0,0,0,0,19.1,41
CompilationBenchmarksSmallWeekly,tuple,150,1,217.6 219.1 219.4 219.6 218.6 218.8 218.7 218.2 218.9 219.1,68.24,68.24,68.25,0,0,0,16,34.9,57
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,182.6 173.5 173.1 174.1 171.3 171.2 172.7 172 171.6 171.7,58.88,58.88,58.89,0,0,0,1,36.4,121
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,213.8 213.6 213.7 213.3 213.7 213.2 213.3 213 212.8 213.4,75.41,75.41,75.41,0,0,0,0,46,121
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,162.5 162.7 162.6 162.6 162.8 162.3 161.6 161.8 162.2 162.1,57.51,57.51,57.51,0,0,0,3,12.3,33
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,159 162.2 160.8 159.7 160.7 160 159.6 159.1 159.7 158.9,55.19,55.19,55.19,0,0,0,1,76,185
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,216.5 217.1 216.8 217.4 215.9 215.9 215.7 215.2 216.3 216,70.84,70.84,70.84,0,0,0,6,43.9,111
