suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26987 27439 28076 26642 26117 26717 27218 27524 27149 27670 27145 26466 27621 28256 27250 27196 27414 26801 26355 26128,4360,4360,4361,0,0,0,899,1076,1634
CompilationBenchmarksBigNightly,caskApp,150,1,573.8 580.9 576.2 575.3 575.5 575.7 574.1 575 573.3 590.3 573.6 571.8 570.9 573.6 571.2 573.7 572.4 574.3 571.6 572.3,110.3,110.3,110.3,0,0,0,1,93.3,237
CompilationBenchmarksBigNightly,dottyUtils,170,1,1092 1090 1089 1089 1090 1090 1089 1089 1089 1089 1088 1088 1087 1088 1089 1088 1086 1088 1096 1088,158.8,158.8,158.8,0,0,0,0,78.7,349
CompilationBenchmarksBigNightly,fansi,150,1,1295 1320 1295 1293 1292 1298 1293 1297 1291 1292 1293 1292 1294 1292 1290 1292 1291 1300 1294 1307,206.7,206.7,207.1,0,0,0,373,488.4,822
CompilationBenchmarksBigNightly,parallelCollections,100,1,4578 4578 4579 4617 4711 4671 4710 4577 4575 4577 4590 4572 4571 4571 4573 4570 4571 4571 4569 4569,603.6,603.6,603.7,0,0,0,4,94.9,319
CompilationBenchmarksBigNightly,re2s,120,1,1812 1813 1816 1815 1821 1818 1810 1830 1827 1814 1812 1820 1813 1812 1844 1808 2005 1821 1808 1808,260.3,260.4,260.4,0,0,0,5,188.4,968
CompilationBenchmarksBigNightly,scalaToday,150,1,3288 3291 3290 3289 3288 3286 3324 3288 3286 3285 3286 3285 3285 3284 3284 3283 3284 3292 3285 3283,493.6,493.6,493.6,0,0,0,11,97.5,288
CompilationBenchmarksBigNightly,scalaYaml,80,1,4463 4462 4458 4459 4456 4462 4458 4455 4453 4453 4451 4453 4453 4451 4452 4454 4453 4449 4448 4450,570.5,570.6,570.8,0,0,0,22,161.8,492
CompilationBenchmarksBigNightly,sourcecode,170,1,950 969.4 1024 947.5 944.2 944.7 946.6 944.4 946.2 942 940.8 941.5 938.8 940.7 940.4 940.3 940 939.4 940.8 939.9,167.3,167.3,167.3,0,0,0,0,88.1,370
CompilationBenchmarksBigNightly,tastyQuery,60,1,5055 5057 5060 4988 4982 4972 4972 4974 4977 4973 5001 5017 4989 5163 4982 5164 4970 4985 4980 4987,660.6,660.6,660.7,0,0,0,14,203.5,513
CompilationBenchmarksBigNightly,tictactoe,150,1,1144 1144 1143 1146 1143 1142 1142 1141 1145 1144 1145 1140 1141 1140 1140 1143 1142 1140 1147 1138,216.2,216.2,216.2,0,0,0,58,230.5,1045
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,782 783.2 781.8 785 781.3 780.5 781.9 780 780.8 790.2 789.9 789.4 789.7 789.8 789 788.6 788.8 787.9 788.7 788.5,141.3,141.3,141.3,0,0,0,1,60.1,156
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1590 1588 1593 1589 1588 1588 1588 1722 1624 1635 1583 1579 1582 1576 1562 1564 1561 1561 1561 1562,240.2,240.2,240.2,0,0,0,28,168,535
CompilationBenchmarksBigWeekly,scalaz,60,1,27855 29447 28490 27852 27659 27912 27803 27730 27605 27888 27695 27620 28984 28010 27551 27543 27546 27725 27536 27525,4066,4068,4076,3,3,3,13,199.7,943
CompilationBenchmarksSmallNightly,helloWorld,150,1,125.1 124.6 124.4 124.6 124.2 124.1 124 124.4 125.2 125.2 123.9 123.8 123.9 124.2 123.2 123.5 123.4 124.7 123.1 122.9,34.59,34.59,34.6,0,0,0,0,30.45,93
CompilationBenchmarksSmallNightly,implicitInductive,150,1,888 887.7 887.8 887.4 886.9 888.6 886.8 888 890.2 889.5 889.1 887.1 888.3 886.5 888 886.6 887.1 887.6 886.5 887.2,67.55,67.56,67.56,0,0,0,1,49.75,159
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,575 575.4 575.7 575.5 575.7 575.8 576.7 583.4 576.7 575.2 575.6 574.7 577.4 573.9 573.4 573.7 573.9 574.6 573.4 571.6,106.1,106.1,106.1,0,0,0,1,69,286
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,359.6 371.5 356.5 354.6 353.6 352.9 352.9 353 351.9 350.5 351 351.9 352.1 352.7 349.7 351.7 351.5 348.9 352.4 350.4,70.63,70.65,70.84,0,0,0,2,88.65,718
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,244.8 245 244.9 244.3 244.7 244.3 243.7 244.2 244.1 243 243.7 243.7 242.3 243.1 242.8 241.2 242.7 240.8 242.5 245.9,61.45,61.47,61.48,0,0,0,1,59.75,217
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,163.8 164.6 163.5 163.8 163.4 163.2 163.8 163.7 164.3 164.8 164.9 163.2 163.6 163.6 183.8 164.5 162.6 164.4 162.5 162.1,44.99,45,45,0,0,0,0,39.95,171
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.6 149.2 149.1 148.7 148.9 149.3 148.5 148.5 146.9 148.6 147.7 147.8 147.2 147.7 147.8 148.1 148.5 146.9 147.9 147.4,39.96,39.96,39.97,0,0,0,3,29.05,100
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,150.3 149.6 148.6 149.2 149.3 148.3 148.6 148.8 148.8 148.9 149.5 148.3 149.5 148.9 149.3 148.5 147.9 149.3 148.3 146.9,40.06,40.07,40.07,0,0,0,0,33.4,95
CompilationBenchmarksSmallWeekly,findRef,150,1,118.7 117.9 117.3 117.4 118.5 117.6 117.8 116.7 117.3 117 117.1 116.9 130.7 117.8 117.8 116.3 116.2 117 116.3 115.5,30.71,30.72,30.72,0,0,0,3,35.35,113
