suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27019 27017 27073 26997 26782 26678 26642 26747 27309 26444 26633 26815 26864 26653 26808 26785 26804 27042 26777 27281,4384,4385,4391,0,0,0,868,1010,1345
CompilationBenchmarksBigNightly,caskApp,150,1,572 577.8 577.2 569.1 574.9 574.7 572.8 575.1 574 574.6 573.5 574.1 568.5 569.2 571.5 573.7 568.4 570.2 571.7 573,124.8,124.8,124.8,0,0,0,11,129.5,305
CompilationBenchmarksBigNightly,dottyUtils,170,1,1118 1119 1117 1116 1120 1115 1115 1117 1116 1115 1114 1114 1112 1114 1113 1114 1114 1114 1112 1115,166.8,166.8,166.8,0,0,0,5,90.95,586
CompilationBenchmarksBigNightly,fansi,150,1,1305 1297 1297 1296 1295 1294 1295 1299 1294 1295 1293 1294 1293 1295 1294 1294 1293 1303 1295 1293,215.2,215.3,215.3,0,0,0,369,482.9,845
CompilationBenchmarksBigNightly,parallelCollections,100,1,4648 4641 4649 4641 4641 4640 4648 4640 4657 4638 4639 4645 4645 4642 4691 4644 4811 4680 4704 4741,609.3,609.3,609.3,0,0,0,1,79.9,279
CompilationBenchmarksBigNightly,re2s,120,1,1813 1803 1801 1805 1804 1804 1812 2031 1815 1808 1806 1823 1807 1808 1817 1848 1850 1824 1806 1801,265.4,265.5,265.5,0,0,0,5,186.6,927
CompilationBenchmarksBigNightly,scalaToday,150,1,3337 3336 3331 3335 3333 3338 3333 3332 3338 3530 3336 3423 3408 3338 3331 3362 3332 3363 3329 3334,531.6,531.6,532,0,0,0,27,144.8,347
CompilationBenchmarksBigNightly,scalaYaml,80,1,4548 4540 4543 4539 4535 4540 4533 4531 4528 4527 4526 4480 4481 4479 4481 4483 4483 4481 4478 4480,582,582.1,582.4,0,0,0,15,169.2,450
CompilationBenchmarksBigNightly,sourcecode,170,1,945.1 944.8 970.9 941 939.3 938.2 938 941.3 937.4 937.4 935.5 947.9 939.2 940.2 935.6 935.1 934.6 933.9 933.7 938.3,173.4,173.4,173.6,0,0,0,0,96.3,386
CompilationBenchmarksBigNightly,tastyQuery,60,1,5136 5137 5140 5150 5141 5131 5258 5341 5289 5356 5329 5337 5175 5127 5128 5129 5126 5122 5119 5121,670.1,670.2,670.3,0,0,0,15,212.2,560
CompilationBenchmarksBigNightly,tictactoe,150,1,1200 1164 1159 1162 1157 1157 1156 1156 1166 1160 1166 1156 1155 1155 1156 1162 1155 1157 1149 1151,238.1,238.1,238.2,0,0,0,48,251.6,1250
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,788.6 789.2 787.7 788.6 787.8 787 878.9 785.6 793.5 795 792 786.3 785.9 786.7 786.4 785.7 786 785.1 786.5 785.8,148.3,148.3,148.3,0,0,0,4,58.55,179
