suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27876 26784 27660 27997 27507 27916 28106 27117 26904 27830 28919 27349 27778 27856 26868 26520 26510 27147 27463 27659,4308,4309,4315,0,0,0,915,1051,1362
CompilationBenchmarksBigNightly,caskApp,150,1,578.6 577.5 576.6 576.7 576.2 575.5 576.1 581.2 582.2 583 582 582.4 579.3 578.2 580.6 581.6 663.3 580 580 603.4,129.7,129.7,129.8,0,0,0,6,131.4,390
CompilationBenchmarksBigNightly,dottyUtils,170,1,1157 1152 1155 1155 1155 1154 1166 1170 1237 1193 1244 1249 1169 1159 1170 1170 1173 1169 1169 1450,171.4,171.4,171.4,0,0,0,0,64.85,258
CompilationBenchmarksBigNightly,fansi,150,1,1392 1359 1359 1365 1357 1355 1362 1359 1373 1358 1349 1322 1322 1322 1446 1368 1369 1353 1360 1357,219.9,220,220,0,0,0,348,483.1,769
CompilationBenchmarksBigNightly,parallelCollections,100,1,4824 4686 4693 4665 4657 4655 4657 4669 4661 4658 4657 4663 4656 4661 4661 4654 4656 4711 4654 4702,618.8,618.8,618.8,0,0,0,0,91.55,254
CompilationBenchmarksBigNightly,re2s,120,1,1871 1870 1879 1874 1877 1873 1869 1886 1886 1871 1866 1876 1867 1866 1899 1864 1868 1896 1864 1863,270.5,270.5,270.5,0,0,0,4,200.4,979
CompilationBenchmarksBigNightly,scalaToday,150,1,3433 3432 3429 3430 3429 3436 3427 3425 3431 3426 3428 3426 3431 3424 3425 3429 3427 3430 3422 3423,536,536,536,0,0,0,28,144.6,354
CompilationBenchmarksBigNightly,scalaYaml,80,1,4683 4674 4655 4703 4675 4561 4550 4550 4543 4543 4543 4544 4546 4546 4539 4542 4553 4542 4538 4539,582.4,582.4,582.5,0,0,0,13,181.4,547
CompilationBenchmarksBigNightly,sourcecode,170,1,950.4 950.6 947.5 949.9 947.1 946.6 947 950.4 946.4 950.2 945.3 947.2 949.7 944.9 944.3 945.4 945.6 944.9 945.5 945.5,178.8,178.8,178.8,0,0,0,0,93.65,387
CompilationBenchmarksBigNightly,tastyQuery,60,1,5127 5132 5044 5055 5047 5036 5054 5045 5047 5036 5042 5041 5038 5033 5036 5038 5033 5031 5112 5110,673.2,673.2,673.3,0,0,0,18,247.7,725
CompilationBenchmarksBigNightly,tictactoe,150,1,1156 1158 1157 1156 1156 1156 1157 1157 1155 1153 1154 1154 1154 1153 1152 1150 1150 1146 1151 1152,245,245,245,0,0,0,65,270.6,1206
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,840.2 841 840.7 837.6 1050 952 817.2 889.9 805.5 798.9 798 814.3 833.1 825.1 823.6 825.8 822.9 831.4 824.6 826.4,153,153,153,0,0,0,5,60.8,176
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1775 1638 1625 1615 1625 1658 1623 1635 1620 1617 1616 1617 1617 1611 1620 1623 1619 1618 1611 1612,253.1,253.2,253.3,0,0,0,15,168.8,492
CompilationBenchmarksBigWeekly,scalaz,60,1,28117 28457 29361 28079 28195 30603 29167 28206 28475 28454 28589 28769 28440 28505 29308 29028 29600 28291 28537 28413,4054,4058,4064,2,2.95,3,15,192.5,804
CompilationBenchmarksSmallNightly,helloWorld,150,1,138.7 133.7 134.1 133.4 132.9 132.9 133.9 133.7 135.3 135.3 133.7 133 135.8 134 132.7 132.6 132.9 133.8 132.1 132.3,41.82,41.83,41.83,0,0,0,0,22.75,82
CompilationBenchmarksSmallNightly,implicitInductive,150,1,890.5 890.2 890.7 890.3 888.9 890.1 888.6 889.1 892.8 890.2 890.3 891.3 892.3 890.8 891.5 892 891.1 892.3 890.8 891.5,77.65,77.66,77.67,0,0,0,2,58,184
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,592.5 587.6 586.6 587.7 588.2 587.4 585.6 588.5 586.7 587.1 586.5 586.9 584.5 584.9 584.4 584.3 583.5 583.5 584.4 583.7,115.5,115.5,115.5,0,0,0,0,67.3,276
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,366.8 369 366.6 367.3 363.9 363.5 363.6 375.6 362.6 359.3 360.5 360.8 361 361.2 360 359.8 359.9 356.8 398.5 359.4,81.57,81.58,81.62,0,0,0,0,108.8,765
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,250.5 249.4 248.9 249.3 248.6 249.5 249.3 248.8 249.8 251.7 250.5 248.9 249.9 249.4 247.8 251 251.2 250.5 250.2 249.2,70.42,70.44,70.45,0,0,0,0,65.1,329
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,177.8 178 178.1 176.5 178.6 177.5 177.2 177.5 176.1 176.1 176.1 177.5 176.4 177.6 177.7 177.1 177.2 174.3 176.7 176.8,52.21,52.21,52.21,0,0,0,0,32.15,96
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,157.3 160.5 157.2 157.2 157.3 156.7 156 156.9 155.6 156.5 156 156 155 156.2 155.8 158.4 157 155 158 157.5,47.15,47.16,47.16,0,0,0,1,25.55,121
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,159.1 159.1 157.4 159.8 158.3 158.6 158.3 158 158.5 158.6 157.8 157.7 157.6 157.4 157 157.6 156.9 154.5 156.8 157.1,47.22,47.23,47.23,0,0,0,0,41.75,148
CompilationBenchmarksSmallWeekly,findRef,150,1,122.6 123.7 121.2 121.1 123 122 120.5 121.8 121.2 122.3 120.9 121.3 120.5 118.8 121.6 121.3 119.5 119 121 120,36.84,36.84,36.84,0,0,0,3,33.55,80
CompilationBenchmarksSmallWeekly,i1535,150,1,196.5 195.1 195.1 199.1 197.5 197 199.7 197.7 196.7 196.1 196.6 197.6 195.9 195.4 195.2 194.8 199.9 196.9 195.3 194.3,54.12,54.12,54.13,0,0,0,6,61.75,268
