suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27593 27679 26940 27001 27258 26137 26058 26564 27174 27275 26781 27730 27368 26065 26095 26904 27287 27222 27139 27391,4359,4360,4360,0,0,0,915,1102,1505
CompilationBenchmarksBigNightly,caskApp,150,1,572.3 570.2 569.1 569.6 562.3 568.6 568.8 569.4 569.1 568.9 565 563.3 564.7 566.2 567.5 566 571.1 569.8 566.6 567.6,113.9,114,114,0,0,0,12,121.2,331
CompilationBenchmarksBigNightly,dottyUtils,170,1,1123 1123 1123 1123 1122 1122 1122 1122 1122 1121 1121 1121 1121 1121 1120 1121 1119 1119 1118 1122,161,161,161,0,0,0,0,88.45,597
CompilationBenchmarksBigNightly,fansi,150,1,1299 1336 1321 1331 1326 1316 1293 1334 1318 1316 1320 1324 1311 1384 1705 1642 1338 1323 1282 1276,207.8,207.8,207.8,0,0,0,375,483.8,856
CompilationBenchmarksBigNightly,parallelCollections,100,1,4643 4655 4678 4701 4640 4639 4640 4642 4640 4645 4643 4651 4641 4640 4638 4636 4642 4636 4686 4635,602.4,602.4,602.5,0,0,0,0,82.5,273
CompilationBenchmarksBigNightly,re2s,120,1,1829 1829 1831 1826 1824 1826 1825 1839 1831 1826 1823 1823 1821 1819 1817 1820 1820 1815 1818 1816,260.9,261,261.1,0,0,0,6,162.9,685
CompilationBenchmarksBigNightly,scalaToday,150,1,3362 3360 3387 3488 3482 3452 3489 3482 3427 3353 3358 3493 3459 3495 3416 3359 3383 3388 3392 3354,516.3,516.3,516.4,0,0,0,16,159.3,420
CompilationBenchmarksBigNightly,scalaYaml,80,1,4498 4480 4459 4455 4461 4519 4507 4508 4522 4519 4454 4510 4510 4513 4592 4505 4454 4493 4497 4501,570.8,570.9,571.2,0,0,0,13,188,540
CompilationBenchmarksBigNightly,sourcecode,170,1,919.8 923.7 919.5 922.3 997.2 949.3 936.4 959.1 969.5 928.3 918.4 919.4 923.2 918.3 918.4 918.3 917.6 917.7 918.6 919.7,166.6,166.6,166.7,0,0,0,0,112.8,585
CompilationBenchmarksBigNightly,tastyQuery,60,1,5222 5223 5226 5236 5226 5218 5219 5220 5221 5219 5215 5214 5218 5213 5212 5216 5218 5221 5212 5218,661.9,661.9,662,0,0,0,21,223.8,791
CompilationBenchmarksBigNightly,tictactoe,150,1,1242 1220 1211 1209 1213 1210 1212 1212 1206 1207 1204 1209 1209 1209 1207 1201 1206 1201 1207 1205,219.9,219.9,220,0,0,0,61,248.5,1359
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,786.6 787 785.9 786.6 785.3 785 783.6 784.2 785.4 863.4 796.8 787.9 784.5 785.2 824.6 780.6 776.6 775.4 777.3 776.3,143.5,143.5,143.5,0,0,0,2,61.25,217
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1644 1623 1619 1585 1584 1585 1583 1580 1582 1581 1581 1579 1580 1580 1579 1579 1580 1580 1579 1579,241.5,241.5,241.7,0,0,0,11,150.4,501
CompilationBenchmarksBigWeekly,scalaz,60,1,28116 27990 28011 28038 27921 27975 27968 29121 28797 27950 28126 28168 27999 27845 28023 27977 27952 27960 29222 28220,4069,4072,4077,2,2.8,3,21,177.8,790
CompilationBenchmarksSmallNightly,helloWorld,150,1,131.3 131 130.5 130.4 131.2 129.9 129.8 129.6 131.8 132.1 129.9 130.1 135.3 130.9 129.8 129.7 129.6 131.5 129.1 129.1,36.67,36.67,36.67,0,0,0,0,25.05,97
CompilationBenchmarksSmallNightly,implicitInductive,150,1,876.2 875.9 882.9 877.1 875.2 876.2 874.8 875.2 878.5 875.9 876.4 874.7 875.2 874.4 874.7 875.5 874.9 875.4 874.3 874.8,68.33,68.34,68.34,0,0,0,0,53.55,168
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,585.9 585.9 586.1 585.7 585.9 586.1 584.9 585.1 585.8 586.1 584.3 585.6 584.7 585.4 584.5 584.6 585 583.3 583.4 582.4,108.8,108.8,108.8,0,0,0,1,59.75,159
