suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,27947 26864 26639 27505 27559 28324 29498 29513 29579 27875,4458,4458,4458,0,0,0,1001,1239,1622
CompilationBenchmarksBigNightly,caskApp,130,1,561.8 560.8 560.1 561.4 560.5 561 561 558.1 559.9 559.3,135,135,135,0,0,0,34,147.4,361
CompilationBenchmarksBigNightly,dottyUtils,170,1,1108 1127 1110 1125 1129 1123 1120 1123 1118 1121,179.2,179.2,179.2,0,0,0,14,62.9,156
CompilationBenchmarksBigNightly,fansi,140,1,1300 1302 1297 1296 1293 1297 1292 1293 1293 1299,224,224.1,224.3,0,0,0,306,478.3,695
CompilationBenchmarksBigNightly,parallelCollections,100,1,4547 4548 4549 4547 4546 4547 4546 4546 4546 4545,639.5,639.5,639.5,0,0,0,7,83.9,249
CompilationBenchmarksBigNightly,re2s,60,1,1830 1830 1814 1839 1835 1827 1831 1830 1830 1827,292.8,292.8,292.8,0,0,0,63,223.3,444
CompilationBenchmarksBigNightly,scalaToday,130,1,3319 3325 3338 3322 3326 3350 3442 3464 3725 3575,559.2,559.3,559.3,0,0,0,16,154.6,411
CompilationBenchmarksBigNightly,scalaYaml,40,1,4663 4523 4578 4513 4512 4551 4626 4589 4598 4577,604.5,604.6,604.6,0,0,0,117,459.7,760
CompilationBenchmarksBigNightly,sourcecode,100,1,929.8 915.1 907.2 914.7 908 908.7 908.5 907.9 908.3 906.8,182.3,182.3,182.3,0,0,0,13,115,395
CompilationBenchmarksBigNightly,tastyQuery,60,1,5194 5242 5209 5122 5275 5314 5172 5104 5096 5036,709.6,709.7,709.7,0,0,0,79,216.6,623
CompilationBenchmarksBigNightly,tictactoe,130,1,1125 1129 1264 1149 1128 1121 1120 1122 1133 1157,260.3,260.3,260.4,0,0,0,67,232.4,478
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1168 1165 1165 1168 1163 1163 1164 1164 1164 1168,399,399.1,399.2,0,0,0,10,124.7,241
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1530 1531 1531 1529 1529 1527 1528 1529 1526 1527,252,252.1,252.1,0,0,0,32,180.3,484
CompilationBenchmarksBigWeekly,scalaz,25,1,26974 28242 27277 27153 27118 28174 27294 27006 27151 27360,3988,3991,3995,2,2.9,3,134,417.8,850
CompilationBenchmarksSmallNightly,helloWorld,150,1,115.9 115.4 114.6 115.5 114.7 114.5 114.9 114.8 115.4 115.4,38.74,38.74,38.74,0,0,0,1,19.7,43
CompilationBenchmarksSmallNightly,implicitInductive,150,1,895.4 889.8 899 896.6 894.4 894 888 886.8 884.4 884.6,76.69,76.7,76.7,0,0,0,3,70.4,206
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,583 583.3 582.9 583.9 582.4 582.6 583.7 582.3 582.9 582.9,115.2,115.2,115.2,0,0,0,13,49.9,146
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,377.5 372.1 372.8 372.4 364.3 367 365.1 364.1 362.1 365.3,80.9,80.91,80.94,0,0,0,7,155.6,644
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,247.2 246.5 246.1 233.2 245 246.2 245.4 247.4 234.8 253.2,68.91,68.91,68.91,0,0,0,4,20.5,52
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,149.2 149 148.2 149.3 148.9 148.2 148.1 149.4 149.2 149.4,49.1,49.1,49.1,0,0,0,0,36.8,120
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,149.8 143.3 147.9 149.4 148.9 149.5 148.6 147.7 143.1 149.3,44.17,44.18,44.18,0,0,0,4,20.8,68
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,139.2 138.7 158 139.1 137.9 137.7 138.6 150.4 138 152,44.19,44.19,44.19,0,0,0,0,19.4,44
CompilationBenchmarksSmallWeekly,findRef,150,1,123.7 122.5 122.7 123.3 118.7 123.3 124.3 122.5 122 122,33.64,33.64,33.64,0,0,0,3,29.2,97
CompilationBenchmarksSmallWeekly,i1535,150,1,186.7 192.6 177.7 178.5 178 177.7 179.4 178 187.4 178.7,53,53.01,53.01,0,0,0,24,66.9,276
CompilationBenchmarksSmallWeekly,i1687,150,1,109 109.4 109.2 109.6 109.1 108.5 108.9 108.6 109.4 109.2,36.47,36.47,36.47,0,0,0,0,16.5,34
CompilationBenchmarksSmallWeekly,implicitCache,150,1,135.5 135 135.1 135.5 134.6 135 134.2 134.3 135.6 134.9,44.05,44.05,44.06,0,0,0,1,25.2,75
CompilationBenchmarksSmallWeekly,implicitNums,150,1,344 342.7 342.1 342.5 342.2 342.7 342.3 343.4 347.2 342.7,89.15,89.15,89.15,0,0,0,3,26.1,166
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,140.3 140.2 140.6 140.7 139.9 139.1 140.3 140.2 140.4 140.4,44.54,44.54,44.54,0,0,0,1,21.8,54
CompilationBenchmarksSmallWeekly,tuple,150,1,177.1 176.5 176.6 176.5 176.2 175.6 175.6 175.5 176.8 176.7,55.36,55.36,55.37,0,0,0,7,26.8,65
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,139.9 138.1 137.3 137.3 136.8 136.8 137.4 137.3 137.4 136.9,44.38,44.38,44.38,0,0,0,1,30.3,118
