suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,24149 24494 24640 24624 24152 23899 24368 24454 24463 24562 24529 24112 23850 23862 24011 26416 26188 25196 24965 25243,3749,3750,3756,0,0,0,895,1031,1418
CompilationBenchmarksBigNightly,caskApp,150,1,564.6 572.5 571.3 570.6 570.1 570.7 568.1 569.6 602.4 607.2 573.3 618.4 567.8 568.2 566.8 569.8 564.8 566.7 568.3 580.7,113.5,113.5,113.5,0,0,0,9,114.6,299
CompilationBenchmarksBigNightly,dottyUtils,170,1,1094 1085 1079 1081 1101 1088 1093 1092 1088 1095 1088 1087 1090 1091 1091 1150 1155 1091 1121 1104,159.6,159.6,159.6,0,0,0,0,108.4,845
CompilationBenchmarksBigNightly,fansi,150,1,1073 1073 1073 1073 1073 1071 1068 1070 1067 1070 1072 1071 1068 1072 1068 1128 1115 1094 1117 1098,162.9,163,163.4,0,0,0,386,487.3,723
CompilationBenchmarksBigNightly,parallelCollections,100,1,4542 4595 4593 4609 4675 4736 4728 4719 4653 4756 4741 4711 4672 4591 4799 4589 4633 4592 4586 4536,603.1,603.1,603.1,0,0,0,0,86.45,276
CompilationBenchmarksBigNightly,re2s,120,1,1783 1782 1789 1785 1790 1785 1781 1816 1797 1800 1800 1801 1807 1798 1819 1799 1794 1814 1793 1791,260.7,260.8,261,0,0,0,2,170.1,841
CompilationBenchmarksBigNightly,scalaToday,150,1,3011 3018 2975 2972 2972 2996 2972 2970 2974 2970 2969 2967 2973 2969 3213 2977 2949 2943 2998 2971,476.4,476.5,476.5,0,0,0,31,152.7,447
CompilationBenchmarksBigNightly,scalaYaml,80,1,4219 4293 4216 4215 4217 4225 4210 4214 4217 4213 4210 4210 4210 4208 4318 4616 4275 4257 4258 4264,551.6,551.7,552.1,0,0,0,13,189.8,530
CompilationBenchmarksBigNightly,sourcecode,170,1,921.2 917.8 921.1 919.8 919.5 919.2 919.5 919.2 919.2 919.9 917.9 918.3 916.3 921.9 916.5 916.6 916.9 916.7 916.9 916.7,161.8,161.9,162,0,0,0,0,95.35,390
CompilationBenchmarksBigNightly,tastyQuery,60,1,5181 4951 4988 4975 4853 4862 4839 4890 4888 4886 4888 4889 4886 4885 4885 4884 4883 4885 4885 4884,640.3,640.3,640.4,0,0,0,11,215.2,756
CompilationBenchmarksBigNightly,tictactoe,150,1,1149 1274 1166 1149 1143 1147 1144 1144 1154 1159 1153 1132 1127 1124 1129 1131 1236 1168 1136 1123,218.4,218.4,218.4,0,0,0,67,241.1,823
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,784 782.5 858.2 850 789.2 782.8 781.9 896.3 798 779.9 779 777.5 777.5 778.5 778 778.8 791.3 776.3 778.5 777.9,143.5,143.5,143.5,0,0,0,3,59.4,198
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1576 1578 1580 1575 1595 1580 1576 1592 1580 1575 1574 1576 1593 1572 1577 1575 1574 1570 1569 1570,241.2,241.3,241.3,0,0,0,23,170.7,540
