suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,23.88 23.86 23.58 23.89 23.71 23.86 23.71 23.81 23.63 23.64,4.439,4.439,4.439,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,12.7 12.72 12.74 12.66 12.69 12.71 12.69 12.7 12.69 12.7,1.813,1.813,1.813,0,0,0,0,0.9,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,28.13 28.12 28.1 28.04 28.19 28.16 28.23 28.29 27.04 26.95,31.17,31.17,31.17,0,0,0,0,1.2,4
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,22.34 22.32 22.35 22.15 22.14 22.14 22.11 22.11 22.15 22.12,16.26,16.26,16.27,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,gcbench,30,1,142 144 139.4 139.5 139.3 139.3 139.4 139.4 138.9 139.3,490.4,490.4,490.4,0,0,0,0,0.6,3
RuntimeBenchmarksAwfyWeekly,json,10,10,14.56 14.56 14.58 14.55 14.56 14.56 14.54 14.58 14.54 14.67,16.53,16.53,16.53,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,48.61 48.66 48.42 48.63 48.89 48.46 48.74 48.75 48.52 48.04,10.46,10.46,10.46,0,0,0,0,1.4,5
RuntimeBenchmarksAwfyWeekly,list,10,1000,70.61 70.02 69.87 71.09 70.52 70.18 70.48 70.21 70.04 70.05,0.7268,0.7268,0.7268,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 151 150.6 150.6 150.6 150.6,0.006784,0.006784,0.006784,0,0,0,0,0.9,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,392.4 392.4 392.5 392.5 392.4 392.9 392.5 392.4 392.4 392.4,0.01174,0.01174,0.01174,0,0,0,0,0.4,2
RuntimeBenchmarksAwfyWeekly,permute,10,1000,81.45 81.49 81.45 81.4 81.49 81.33 81.44 81.42 81.41 103.5,134.1,134.1,134.1,0,0,0,0,0.7,1
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.82 29.4 29.25 29.26 29.4 29.28 29.46 29.4 29.75 29.38,1.367,1.367,1.367,0,0,0,0,0.7,3
RuntimeBenchmarksAwfyWeekly,richards,10,1000,109.9 109.9 109.9 110 109.9 110 109.9 112.7 110 110,0.9828,0.9828,0.9828,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,tracer,20,100,104.7 104.7 104.7 104.6 104.6 104.7 104.9 109.5 80.77 78.35,165.2,165.2,165.2,0,0,0,0,0.9,5
RuntimeBenchmarksLibsWeekly,fansiFormat,40,1,26.37 26.59 30.9 26.32 26.42 26.41 26.41 26.38 26.57 26.34,37.36,37.36,37.36,0,0,0,0,0.2,2
RuntimeBenchmarksLibsWeekly,wordFreqParser,40,1,42.66 43.12 42.61 42.39 42.49 42.69 42.43 42.46 42.15 42.49,71.2,71.2,71.2,0,0,0,0,0.6,4
RuntimeBenchmarksLibsWeekly,yamlDecode,40,1,172.5 172.5 172.6 172.6 172.9 174.1 172.7 172.6 172.6 172.7,383.2,383.2,383.2,0,0,0,0,0.7,4
RuntimeBenchmarksLibsWeekly,yamlEncode,40,1,60.21 60.35 60.23 60.22 60.17 60.35 60.18 60.17 60.26 60.23,80.58,80.58,80.58,0,0,0,0,0.7,5
RuntimeBenchmarksOptimizerSmallWeekly,ary,40,10,8.518 8.524 8.546 8.538 8.557 8.529 8.543 8.516 8.518 8.52,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallWeekly,ary2,30,10,129.7 129.7 129.7 129.8 129.8 130.6 129.9 129.7 129.8 129.7,350.4,350.4,350.4,0,0,0,0,0.6,3
RuntimeBenchmarksOptimizerSmallWeekly,matMul,30,10,22.29 22.29 22.31 22.26 22.27 22.31 22.28 22.26 22.26 22.62,6.568,6.568,6.568,0,0,0,0,0.5,1
RuntimeBenchmarksOptimizerSmallWeekly,meteor,40,1,409.2 409.1 409.1 409.1 409.1 409.2 409 443.2 461.7 408.9,222.2,222.2,222.2,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallWeekly,nestedLoop,30,10,25.51 25.51 25.51 25.55 25.55 25.51 25.52 25.52 25.53 25.54,5.613,5.613,5.613,0,0,0,0,0.3,1
RuntimeBenchmarksOptimizerSmallWeekly,nestedLoop2,30,10,75.6 75.53 75.66 75.47 75.56 75.54 75.66 79.15 98.51 75.04,96.1,96.1,96.1,0,0,0,0,0.8,4
