suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,30077 29457 28758 28678 27086 27820 28177 28621 27587 27950 28248 27288 26925 26923 26949 27617 28020 28228 27637 27971,4699,4700,4700,0,0,0,924,1073,1371
CompilationBenchmarksBigNightly,caskApp,150,1,620.6 621.8 621 652.2 632.9 655.5 652 620.3 620.2 653.9 619.2 658.5 632.2 632 639.1 634.2 656.5 625.2 641.9 616.2,164.4,164.4,164.4,0,0,0,3,114.3,457
CompilationBenchmarksBigNightly,dottyUtils,170,1,1168 1167 1168 1303 1173 1171 1186 1173 1181 1183 1184 1183 1182 1186 1184 1183 1182 1183 1180 1202,211.1,211.1,211.1,0,0,0,0,74.45,355
CompilationBenchmarksBigNightly,fansi,150,1,1385 1387 1373 1387 1386 1385 1389 1384 1380 1383 1384 1384 1385 1384 1382 1384 1384 1384 1382 1382,244.6,244.6,244.8,0,0,0,289,394,719
CompilationBenchmarksBigNightly,parallelCollections,100,1,4714 4714 4716 4714 4715 4713 4714 4713 4713 4713 4713 4712 4712 4711 4711 4711 4714 4761 4762 4767,689.4,689.4,689.4,0,0,0,0,78.75,244
CompilationBenchmarksBigNightly,re2s,120,1,1930 1925 1924 1926 1923 1924 1909 1918 1927 1926 1922 1923 1922 1921 1918 1921 1918 1918 1917 1917,334,334,334.1,0,0,0,1,180.1,785
CompilationBenchmarksBigNightly,scalaToday,150,1,3489 3489 3490 3489 3488 3487 3489 3444 3443 3444 3443 3444 3442 3487 3487 3487 3486 3485 3487 3483,609.6,609.6,609.6,0,0,0,13,128.7,280
CompilationBenchmarksBigNightly,scalaYaml,80,1,4708 4709 4708 4678 4649 4657 4653 4655 4700 4698 4651 4649 4650 4686 4951 4835 4649 4648 4648 4647,648.6,648.6,648.8,0,0,0,10,185.9,745
CompilationBenchmarksBigNightly,sourcecode,170,1,1036 1022 1028 1036 1015 1033 976.9 1039 1011 1028 1030 1009 1026 972.9 1010 1029 994.1 1022 1027 1007,211,211,211,0,0,0,0,79.3,336
CompilationBenchmarksBigNightly,tastyQuery,60,1,5310 5312 5343 5320 5325 5459 5665 5352 5502 5523 5297 5223 5245 5462 5435 5292 5228 5234 5219 5219,761.2,761.2,761.3,0,0,0,36,215.8,810
CompilationBenchmarksBigNightly,tictactoe,150,1,1258 1296 1312 1308 1315 1287 1287 1278 1311 1296 1333 1288 1284 1253 1313 1298 1313 1315 1285 1248,326.7,326.7,326.7,0,0,0,0,175.1,999
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,865 850.3 857.1 882.6 844.7 870.6 871.7 858.2 871.3 828 832.7 876 872.1 860.8 867.5 877.5 839.1 853.1 829.2 935.1,187.8,187.9,187.9,0,0,0,2,91.75,288
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1696 1633 1716 1670 1632 1624 1630 1637 1625 1624 1619 1619 1624 1618 1627 1616 1614 1635 1615 1615,291.8,292,292,0,0,0,19,205.1,743
CompilationBenchmarksBigWeekly,scalaz,60,1,29526 29207 28934 29615 29605 30255 29323 28978 29791 28552 29073 28876 28941 29339 29877 30626 29477 29201 28818 28657,4229,4233,4239,2,2.95,3,29,224.9,835
CompilationBenchmarksSmallNightly,helloWorld,150,1,171.8 171.8 171.4 176 171.1 171.6 172 171.7 171.5 172.2 172.6 181.9 176.7 180.5 181.9 182.1 182.4 184.3 176.4 181.8,65.54,65.54,65.54,0,0,0,4,27.8,98
CompilationBenchmarksSmallNightly,implicitInductive,150,1,988.2 954.3 936.8 935.5 935.7 935.6 935.1 934.1 937.9 932 934.1 944.6 932.5 932.1 931.5 931.4 934.7 945.6 930 932.3,106.4,106.4,106.4,0,0,0,0,72.35,221
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,651.2 651.1 652.6 651.5 651.7 651.3 651.3 652.7 651.3 650.9 649.9 651.1 648.2 651.1 643.5 644.6 643.2 641.7 642.5 643.6,147.1,147.1,147.1,0,0,0,0,56.35,192
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,416.9 414.1 416.8 417.9 418 423.2 416.5 414.5 411.4 420.2 421.9 417.9 418.5 418.6 418.7 421.5 417.3 418.7 418.6 416.6,110.8,110.8,110.9,0,0,0,0,91.65,444
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,305.9 304.4 305.1 309.5 306.9 303.7 304 303 304.3 305.1 307.3 306 306.8 306.8 305.1 309.7 309 313.8 308.9 304.7,100.9,101,101,0,0,0,0,87.45,593
