suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27064 26659 26677 26692 27446 27509 27611 27595 27284 26956,4571,4572,4572,0,0,0,934,1031,1206
CompilationBenchmarksBigNightly,caskApp,150,1,611.6 608.3 613.3 604.9 600.8 601.9 607.3 603 604.3 617.3,164.7,164.7,164.7,0,0,0,12,88.1,273
CompilationBenchmarksBigNightly,dottyUtils,170,1,1267 1220 1208 1181 1169 1168 1174 1172 1169 1175,208.5,208.5,208.5,0,0,0,1,75.7,213
CompilationBenchmarksBigNightly,fansi,150,1,1344 1344 1343 1345 1344 1448 1402 1390 1349 1343,257.2,257.2,257.4,0,0,0,323,410.7,481
CompilationBenchmarksBigNightly,parallelCollections,100,1,4734 4694 4687 4690 4687 4690 4687 4690 4687 4705,689.3,689.4,689.4,0,0,0,7,86.8,270
CompilationBenchmarksBigNightly,re2s,120,1,1891 1946 2087 1904 1888 1891 1889 1898 2028 1975,332.7,332.7,332.9,0,0,0,14,157.1,482
CompilationBenchmarksBigNightly,scalaToday,150,1,3509 3510 3511 3508 3508 3507 3509 3509 3508 3510,608.4,608.5,608.5,0,0,0,20,130,332
CompilationBenchmarksBigNightly,scalaYaml,80,1,4619 4617 4616 4613 4611 4620 4611 4616 4613 4769,645.6,645.6,645.8,0,0,0,66,233.8,688
CompilationBenchmarksBigNightly,sourcecode,170,1,970.9 973.9 968.4 968.6 977.7 968.1 967.6 971.7 967.5 967,210.1,210.1,210.2,0,0,0,8,106.3,417
CompilationBenchmarksBigNightly,tastyQuery,60,1,5147 5146 5192 5300 5232 5293 5278 5302 5193 5138,759,759,759.1,0,0,0,19,201.7,667
CompilationBenchmarksBigNightly,tictactoe,150,1,1262 1261 1260 1261 1262 1259 1259 1260 1262 1259,326.5,326.5,326.5,0,0,0,13,121.9,422
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1235 1235 1314 1233 1275 1342 1229 1241 1235 1243,430,430,430.1,0,0,0,12,101,320
