suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,28257 28363 28041 27100 27972 27736 27899 28430 28060 28275,4551,4552,4557,0,0,0,1030,1244,1425
CompilationBenchmarksBigNightly,caskApp,130,1,614.8 612.2 620.2 620.3 618.8 621.1 620.8 619.1 619.9 620.3,165.6,165.6,165.6,0,0,0,11,110.6,272
CompilationBenchmarksBigNightly,dottyUtils,170,1,1145 1156 1142 1141 1139 1137 1142 1141 1138 1144,208.6,208.6,208.7,0,0,0,9,85.1,290
CompilationBenchmarksBigNightly,fansi,140,1,1359 1357 1367 1357 1367 1365 1391 1369 1367 1385,259.8,259.8,259.8,0,0,0,379,552.1,957
CompilationBenchmarksBigNightly,parallelCollections,100,1,4686 4688 4682 4685 4685 4682 4682 4684 4682 4687,687,687,687,0,0,0,9,87,291
CompilationBenchmarksBigNightly,re2s,60,1,1961 1960 1959 1972 1962 1956 1957 1981 1951 1939,332.8,332.8,332.8,0,0,0,56,192.8,455
CompilationBenchmarksBigNightly,scalaToday,130,1,3534 3541 3535 3534 3645 3698 3651 3541 3562 3529,606.2,606.3,606.7,0,0,0,14,168.1,400
CompilationBenchmarksBigNightly,scalaYaml,40,1,4710 4706 4723 4699 4740 4737 4736 4734 4732 4721,642.8,642.9,642.9,0,0,0,73,432.1,819
CompilationBenchmarksBigNightly,sourcecode,100,1,981.7 977.3 1080 1051 988.3 987.4 977.9 975.3 975.6 975.5,209.9,209.9,210,0,0,0,12,142.3,445
CompilationBenchmarksBigNightly,tastyQuery,60,1,5315 5303 5302 5254 5250 5245 5245 5244 5257 5249,760.6,760.6,760.7,0,0,0,66,238.1,719
CompilationBenchmarksBigNightly,tictactoe,130,1,1293 1286 1289 1292 1267 1271 1272 1265 1269 1272,327.1,327.2,327.3,0,0,0,94,239.1,543
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1245 1246 1244 1248 1247 1246 1243 1245 1247 1245,444.1,444.2,444.2,0,0,0,20,94.5,186
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1609 1608 1631 1630 1630 1629 1631 1627 1628 1629,290.5,290.5,290.6,0,0,0,11,177.4,538
CompilationBenchmarksBigWeekly,scalaz,25,1,30042 29880 28338 29018 29478 29201 29244 29600 28860 29158,4272,4272,4272,0,0,0,153,457.9,1247
CompilationBenchmarksSmallNightly,helloWorld,150,1,165.6 165.5 164.9 164.8 164.4 164.4 164.8 164.3 164.5 164.5,65.13,65.13,65.13,0,0,0,4,17.8,45
CompilationBenchmarksSmallNightly,implicitInductive,150,1,923.3 923.3 923.3 923 981.1 922.9 922.7 922.6 920.9 922.2,106.6,106.7,106.7,0,0,0,0,78.6,185
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,641.6 655.5 657.2 653.8 647.8 655.8 641.7 674.2 653.8 647.7,146.8,146.8,146.8,0,0,0,7,50.5,150
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,396.7 401 396.5 391.1 394.1 392.6 391.6 388.4 390.6 392.2,109.5,109.6,109.8,0,0,0,6,130.6,560
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,301.6 301.5 300.1 300.7 299.5 299.7 299.5 299.5 299.8 301.8,101.5,101.5,101.5,0,0,0,4,35,100
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,210.7 210.6 210.2 210.9 210.4 209.9 210.4 210 210.8 211,78.43,78.43,78.43,0,0,0,3,32.5,114
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,200.5 201.1 200 199.7 199.6 200.3 199.3 199 200.5 199.7,73.46,73.47,73.47,0,0,0,3,34.3,133
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,201.2 201.9 201 200.7 201.2 201 200.8 200.4 201.1 200.9,72.32,72.32,72.32,0,0,0,1,16.8,55
CompilationBenchmarksSmallWeekly,findRef,150,1,160.5 159.9 158.9 159.8 160.3 159.8 159.5 158.7 159.1 158.8,60.6,60.61,60.61,0,0,0,2,26,69
CompilationBenchmarksSmallWeekly,i1535,150,1,240.4 240.1 239.9 238.9 239.8 239.4 238.9 239 238.9 239.1,86.01,86.01,86.02,0,0,0,15,39.3,104
CompilationBenchmarksSmallWeekly,i1687,150,1,162.6 164.2 163.2 163.2 164.3 163.7 163.1 163.6 163 164.4,64.58,64.58,64.58,0,0,0,2,22.9,54
CompilationBenchmarksSmallWeekly,implicitCache,150,1,220.3 220.3 220.3 220 220.3 219.9 220.2 256.3 240.5 238.5,83.49,83.49,83.49,0,0,0,3,22,90
CompilationBenchmarksSmallWeekly,implicitNums,150,1,427.6 425.6 425.6 425.9 426.4 426 425 425.4 427 425.5,132,132,132,0,0,0,5,38.5,158
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,236.3 240.8 243.1 229.4 227.4 229.2 229.6 228 229.8 228.4,83.86,83.86,83.86,0,0,0,1,25.5,80
CompilationBenchmarksSmallWeekly,tuple,150,1,236.4 235.7 235.8 235.5 235.5 235.8 235.1 235.5 236.3 235.8,87.03,87.03,87.04,0,0,0,6,25.2,51
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,201.3 203.6 202.8 203.5 197.4 202.2 199.3 205.1 202.1 204.3,71.73,71.74,71.74,0,0,0,1,30.5,80
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,221.4 223 222.5 222.4 221.2 220.5 219.9 220.7 220.2 220,77.72,77.72,77.72,0,0,0,1,34,115
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,167.2 167.6 166.3 167 166 177.7 165.5 165.8 165.8 165.7,66.25,66.25,66.25,0,0,0,0,20,114
