suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,27642 27186 27320 27656 27283 27546 27880 27551 27722 28301,4460,4460,4461,0,0,0,1005,1229,1536
CompilationBenchmarksBigNightly,caskApp,130,1,562.5 565.5 563.3 565.3 563.2 560.8 559.1 561.8 560.8 560.1,134.4,134.4,134.4,0,0,0,45,162.9,322
CompilationBenchmarksBigNightly,dottyUtils,170,1,1092 1096 1085 1083 1096 1095 1131 1235 1162 1143,179.8,179.8,179.8,0,0,0,1,77.5,198
CompilationBenchmarksBigNightly,fansi,140,1,1268 1268 1271 1273 1269 1266 1268 1269 1297 1294,209.3,209.4,209.5,0,0,0,315,431.7,667
CompilationBenchmarksBigNightly,parallelCollections,100,1,4616 4562 4621 4686 4655 4687 4547 4544 4539 4546,634.5,634.5,634.6,0,0,0,9,75.5,168
CompilationBenchmarksBigNightly,re2s,60,1,1905 1876 1873 1914 1898 1890 1882 1883 1889 1887,293.2,293.2,293.2,0,0,0,65,217.4,375
CompilationBenchmarksBigNightly,scalaToday,130,1,3382 3383 3455 3550 3519 3341 3364 3340 3340 3337,544.5,544.5,544.5,0,0,0,17,174.3,442
CompilationBenchmarksBigNightly,scalaYaml,40,1,4593 4593 4603 4590 4589 4930 4545 4528 4526 4528,600,600.5,600.6,0,0,0,151,466.4,721
CompilationBenchmarksBigNightly,sourcecode,100,1,934.3 929.3 933.6 932.8 932.7 931.5 932 932.4 929 929.9,183,183,183,0,0,0,11,91.8,353
CompilationBenchmarksBigNightly,tastyQuery,60,1,5356 5200 5135 5111 5115 5109 5105 5102 5099 5042,714.7,714.7,714.7,0,0,0,60,256.4,617
CompilationBenchmarksBigNightly,tictactoe,130,1,1205 1209 1202 1212 1162 1147 1156 1293 1140 1145,258.4,258.4,258.4,0,0,0,87,266,616
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1182 1182 1179 1185 1181 1182 1179 1182 1180 1179,400.8,400.8,400.9,0,0,0,1,69.3,183
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1531 1535 1532 1530 1532 1532 1528 1544 1535 1530,250.1,250.3,250.3,0,0,0,31,187.3,547
CompilationBenchmarksBigWeekly,scalaz,25,1,28092 28632 29260 27857 27975 27878 29104 27932 28109 27932,3990,3992,3996,2,2.5,3,122,398.7,838
CompilationBenchmarksSmallNightly,helloWorld,150,1,119.3 118.2 118.2 118.1 118.5 117.8 118.1 117.6 118.5 118.7,40.12,40.12,40.12,0,0,0,2,19.8,57
CompilationBenchmarksSmallNightly,implicitInductive,150,1,903.5 896.6 896.6 896.7 895.7 897.1 895.2 931.6 925.1 909,74.65,74.66,74.66,0,0,0,2,57,167
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,597.3 598.3 597 596.8 595.5 596.3 599 596.9 596.4 595.5,114.5,114.5,114.5,0,0,0,13,61.2,159
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,346.9 355.9 342.1 342.2 341.9 339.2 338.4 338.2 340.3 338,82.61,82.62,82.65,0,0,0,20,166,695
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,257.2 257.6 245.4 255.3 241.3 242.6 242 251.4 256.4 258.6,70.49,70.49,70.49,0,0,0,8,44.1,126
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,153 154.4 153.1 153.6 153.9 154.2 153.5 151.8 153.3 152.4,50.49,50.49,50.49,0,0,0,1,41.2,118
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,139.8 139.4 139.8 139.5 139.4 141 140.4 140 140.1 141.7,45.53,45.53,45.53,0,0,0,1,29.1,73
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,142.1 143.9 143.1 142.5 143.1 143.2 142.7 142.3 143 143.1,45.53,45.53,45.54,0,0,0,0,24,60
CompilationBenchmarksSmallWeekly,findRef,150,1,110 108.8 108.1 108.3 109.3 108.7 109.6 107.9 107.9 107.8,35.12,35.12,35.13,0,0,0,1,26.7,99
CompilationBenchmarksSmallWeekly,i1535,150,1,185.2 185.6 184.7 186.5 185.9 186.3 186.2 184.8 184.5 184.3,54.19,54.2,54.2,0,0,0,24,58.8,161
