suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,26622 27602 27799 27735 27441 27656 27671 26566 26563 27556,4552,4553,4559,0,0,0,1057,1377,1876
CompilationBenchmarksBigNightly,caskApp,130,1,565.9 561.8 564.6 565.9 564.3 565.7 564.8 559.2 562.2 562.7,133.6,133.6,133.6,0,0,0,11,127.9,342
CompilationBenchmarksBigNightly,dottyUtils,170,1,1066 1074 1068 1065 1065 1066 1065 1066 1066 1064,177.5,177.5,177.5,0,0,0,0,57,120
CompilationBenchmarksBigNightly,fansi,140,1,1265 1263 1264 1258 1259 1264 1259 1261 1256 1257,223.6,223.7,223.8,0,0,0,380,505.6,808
CompilationBenchmarksBigNightly,parallelCollections,100,1,4446 4447 4442 4510 4445 4444 4852 4447 4451 4447,632.7,632.7,632.8,0,0,0,7,83.4,171
CompilationBenchmarksBigNightly,re2s,60,1,1788 1788 1787 1792 1791 1809 1796 1790 1792 1784,286.3,286.4,286.4,0,0,0,49,193.8,514
CompilationBenchmarksBigNightly,scalaToday,130,1,3367 3362 3355 3355 3359 3363 3356 3364 3357 3357,551.7,551.7,552,0,0,0,15,222.1,569
CompilationBenchmarksBigNightly,scalaYaml,40,1,4386 4421 4621 4563 4418 4434 4436 4417 4412 4406,594.3,594.7,594.9,0,0,0,171,447.6,758
CompilationBenchmarksBigNightly,sourcecode,100,1,903.3 908.4 901.9 903.1 901 903 902.8 902.7 903.3 901,180.7,180.7,180.7,0,0,0,11,106.8,356
CompilationBenchmarksBigNightly,tastyQuery,60,1,4999 4997 4998 5009 5000 4993 5054 5045 4994 4993,702.4,702.4,702.5,0,0,0,40,246.6,659
CompilationBenchmarksBigNightly,tictactoe,130,1,1166 1162 1165 1161 1185 1165 1162 1159 1162 1161,260.5,260.6,260.7,0,0,0,20,149.9,428
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1179 1246 1178 1340 1189 1188 1183 1180 1180 1177,396.9,397,397.1,0,0,0,2,93.7,209
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1494 1499 1497 1497 1503 1500 1498 1509 1494 1497,250,250,250,0,0,0,4,156.1,423
CompilationBenchmarksBigWeekly,scalaz,25,1,26790 27797 27835 26966 27138 27765 27594 26905 27024 26616,3975,3975,3975,0,0,0,201,408.6,898
CompilationBenchmarksSmallNightly,helloWorld,150,1,111.7 112.3 110.9 111.3 110.2 110.8 110.3 110.8 110.5 111.4,38.51,38.51,38.51,0,0,0,3,25,50
CompilationBenchmarksSmallNightly,implicitInductive,150,1,884.1 884.2 882.9 884.3 881.9 883.6 881.6 882.2 883.7 882,75.41,75.41,75.41,0,0,0,2,49.5,108
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,564.8 571.4 566.3 565.9 564.6 564.7 565.5 563.5 563.5 564.3,113.4,113.4,113.4,0,0,0,32,65.5,164
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,330.6 330 331.2 327.5 330.6 328.3 327.9 406.4 328.7 326.9,80.47,80.49,80.6,0,0,0,4,123.4,798
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,233.6 232.2 233 232.6 250 249.3 241.1 233.1 231.5 229.9,68.55,68.55,68.56,0,0,0,3,27.6,72
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,156.1 157.9 155.9 157 157.2 157.4 156.7 154.6 156.3 157.1,48.85,48.85,48.85,0,0,0,2,24.4,75
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,139.2 139.8 139.1 138.8 138.6 139.8 139 138.3 139.4 139.6,43.8,43.8,43.81,0,0,0,0,19.7,76
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,137.3 136.8 136.2 137.2 136.2 135.2 136.9 135.9 136.1 136.1,43.8,43.81,43.81,0,0,0,0,23.8,53
CompilationBenchmarksSmallWeekly,findRef,150,1,107.8 107.5 106.7 106.4 107.2 107 106.7 105.6 105.9 106,33.69,33.69,33.69,0,0,0,3,30.6,77
CompilationBenchmarksSmallWeekly,i1535,150,1,186.7 187.9 188.5 185.5 188.4 185.6 185.1 187.6 186.8 187.4,52.78,52.78,52.78,0,0,0,10,50.6,204
CompilationBenchmarksSmallWeekly,i1687,150,1,109.6 106.6 105.9 106.5 105.7 104.9 106 105.3 106.1 106,36.31,36.31,36.31,0,0,0,0,17.5,47
CompilationBenchmarksSmallWeekly,implicitCache,150,1,134.2 133.4 133.6 134.1 133.6 133.8 133.1 132.4 133.7 132.9,43.85,43.85,43.85,0,0,0,5,26.5,67
CompilationBenchmarksSmallWeekly,implicitNums,150,1,339 339.2 339.4 338.9 338.7 338.8 338.4 338.6 340.6 339.8,89.46,89.47,89.47,0,0,0,0,24.2,160
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,142.3 142.2 142.3 142.4 141.6 141.7 142.7 141.5 140.9 142.1,44.24,44.24,44.24,0,0,0,2,21.6,42
CompilationBenchmarksSmallWeekly,tuple,150,1,171.8 173 172.3 172.7 172.3 172.5 171.5 172.4 172.3 173.1,54.95,54.95,54.96,0,0,0,6,26.7,60
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,145.4 143.7 143.2 143 142.7 143.1 142.7 142.5 143.3 142.7,44.06,44.06,44.07,0,0,0,6,32,120
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,171.8 170.7 169.9 169.5 171.7 170.9 171.4 171.8 171.2 171.1,50.65,50.65,50.66,0,0,0,1,19.9,125
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,107.1 108.3 106.5 106.4 105.9 105.8 105.5 106.4 106.6 105.7,36.79,36.79,36.79,0,0,0,1,23.6,105
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,132.9 134.4 135.1 132.1 140.6 133.8 136.8 135.8 132.9 134.9,41.7,41.7,41.7,0,0,0,2,30.5,90
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,165.9 165.8 165.7 164.9 164.8 164.9 164.9 164.4 165.6 165.8,52.66,52.66,52.66,0,0,0,0,45.6,130
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,116.9 116.8 116.7 116.9 122.9 123.1 124.6 120.5 116.1 123.1,38.66,38.67,38.67,0,0,0,2,14.3,30
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5051 5051 5052 5438 5185 5047 5133 5088 5052 5423,708,708,708.1,0,0,0,39,203.3,569
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,23.53 23.38 23.48 23.42 23.5 23.36 23.49 23.43 23.27 23.62,4.439,4.439,4.439,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,12.64 12.64 12.76 12.62 12.65 12.62 12.63 12.64 12.62 12.62,1.813,1.813,1.813,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,cd,20,1,25.67 25.69 25.66 25.62 25.64 25.73 25.77 25.55 25.59 26.31,31.17,31.17,31.17,0,0,0,0,1.6,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.19 23.12 23.29 22.94 22.89 22.89 22.72 22.87 22.92 22.89,16.26,16.26,16.27,0,0,0,0,0.8,3
RuntimeBenchmarksAwfyWeekly,gcbench,30,1,165.4 170.8 164.6 164.2 164 164 164 164.1 164.8 164.4,490.4,490.4,490.4,0,0,0,0,0.6,4
RuntimeBenchmarksAwfyWeekly,json,10,10,14.58 14.59 14.59 14.61 14.56 14.57 14.6 14.54 14.59 14.6,16.53,16.53,16.53,0,0,0,0,0.3,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,48.34 48.32 48.4 48.51 48.39 48.29 48.53 48.42 48.22 48.32,10.46,10.46,10.46,0,0,0,0,1.1,4
RuntimeBenchmarksAwfyWeekly,list,10,1000,74.26 74.26 74.45 74.66 74.16 74.25 74.39 74.23 74.08 74.42,0.7268,0.7268,0.7268,0,0,0,0,0.2,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.7 150.8 150.7 150.6 150.7 150.6 150.7 150.6 151.2,0.006784,0.006784,0.006784,0,0,0,0,1.1,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,394.1 394.4 394.4 394.3 393.8 394.8 394 393.7 394.5 394.1,0.01174,0.01174,0.01174,0,0,0,0,0.3,1
RuntimeBenchmarksAwfyWeekly,permute,10,1000,79.41 79.45 79.44 79.42 79.48 79.39 79.43 79.45 79.36 79.45,134.1,134.1,134.1,0,0,0,0,0.9,3
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.4 29.46 29.46 29.52 29.51 29.36 29.64 29.36 29.41 29.77,1.367,1.367,1.367,0,0,0,0,1,4
RuntimeBenchmarksAwfyWeekly,richards,10,1000,103.9 103.8 103.9 103.8 103.9 103.9 103.9 103.8 106.4 104.1,0.9828,0.9828,0.9828,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,tracer,20,100,144.6 87.34 87.31 87.1 87.29 87.17 87.3 87.14 87.19 86.99,165.2,165.2,165.2,0,0,0,0,1.3,5
RuntimeBenchmarksLibsWeekly,fansiFormat,40,1,26.5 26.5 26.57 26.49 26.45 26.57 26.44 30.41 26.49 26.62,37.36,37.36,37.36,0,0,0,0,0.3,2
RuntimeBenchmarksLibsWeekly,wordFreqParser,40,1,41.44 41.29 42.28 41.52 41.31 41.33 41.34 41.32 41.56 41.47,71.2,71.2,71.2,0,0,0,0,0.6,5
RuntimeBenchmarksLibsWeekly,yamlDecode,40,1,174.7 175.3 175 174.7 174.7 174.8 174.6 174.7 176.5 174.8,383.2,383.2,383.2,0,0,0,0,0.6,4
RuntimeBenchmarksLibsWeekly,yamlEncode,40,1,51.61 51.71 51.82 51.62 59.76 51.72 51.55 51.6 51.59 51.48,80.58,80.58,80.58,0,0,0,0,0.5,4
RuntimeBenchmarksOptimizerSmallWeekly,ary,40,10,8.542 8.528 8.521 8.543 8.525 8.541 8.53 8.516 8.553 8.52,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallWeekly,ary2,30,10,129.4 129.4 129.4 129.5 129.5 254.9 127.7 127.4 127.4 150.8,350.4,350.4,350.4,0,0,0,0,0.8,4
RuntimeBenchmarksOptimizerSmallWeekly,matMul,30,10,22.28 22.36 22.34 22.29 22.28 22.3 22.26 22.32 22.4 23.02,6.568,6.568,6.568,0,0,0,0,0.4,2
RuntimeBenchmarksOptimizerSmallWeekly,meteor,40,1,410.5 411.3 410.4 410.5 410.3 410.2 410.4 410.3 410.7 410.2,222.2,222.2,222.2,0,0,0,0,0.2,1
RuntimeBenchmarksOptimizerSmallWeekly,nestedLoop,30,10,25.72 25.72 25.52 25.77 25.62 25.61 25.77 25.6 26.06 25.53,5.613,5.613,5.613,0,0,0,0,0.4,2
RuntimeBenchmarksOptimizerSmallWeekly,nestedLoop2,30,10,74.87 74.84 74.84 74.82 74.81 74.86 74.94 77.62 79.68 74.82,96.1,96.1,96.1,0,0,0,0,0.9,4
