suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.57 21.6 21.52 21.89 21.76 21.85 21.58 21.85 21.48 21.56,3.623,3.623,3.623,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,12.59 12.66 12.64 12.62 12.59 12.61 12.6 12.57 12.61 12.59,1.813,1.813,1.813,0,0,0,0,0.7,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,25.49 25.39 25.42 25.47 25.44 25.52 25.56 25.48 25.42 25.44,31.11,31.11,31.11,0,0,0,0,1.5,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,22.59 22.53 22.55 22.36 22.3 22.31 22.34 22.29 22.3 22.43,16.26,16.26,16.27,0,0,0,0,0.8,3
RuntimeBenchmarksAwfyWeekly,gcbench,30,1,140.3 139.1 138.9 139.3 139.1 139 139.3 139.1 139.2 139.6,490.4,490.4,490.4,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,json,10,10,14.71 14.72 14.74 14.71 14.82 14.72 14.71 14.71 14.73 14.75,16.53,16.53,16.53,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,159.1 155.8 155.6 155.5 155.5 155.8 155.4 155.4 155.8 155.5,23.26,23.26,23.26,0,0,0,0,1.2,5
RuntimeBenchmarksAwfyWeekly,list,10,1000,69.89 69.89 69.92 70.95 69.87 69.67 69.75 69.94 69.63 70.15,0.7268,0.7268,0.7268,0,0,0,0,0.8,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 151 150.6 150.7 150.6 150.6,0.006784,0.006784,0.006784,0,0,0,0,0.9,4
RuntimeBenchmarksAwfyWeekly,nbody,10,10,382.6 383.1 382.9 382.8 382.6 384.6 382.8 382.9 382.7 382.7,0.01078,0.01078,0.01078,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,permute,10,1000,77.27 77.28 77.25 77.32 77.27 77.29 77.29 77.29 77.28 77.3,134.1,134.1,134.1,0,0,0,0,1.1,4
RuntimeBenchmarksAwfyWeekly,queens,10,10000,30.41 29.26 29.23 29.22 29.47 29.13 29.36 29.1 29.27 29.19,1.367,1.367,1.367,0,0,0,0,1.1,4
RuntimeBenchmarksAwfyWeekly,richards,10,1000,106.5 106.5 106.5 106.6 106.5 106.5 106.6 109.1 107 106.5,0.9828,0.9828,0.9828,0,0,0,0,0.4,2
RuntimeBenchmarksAwfyWeekly,tracer,20,100,61.3 61.29 61.36 61.24 61.59 61.29 61.78 61.41 61.23 103.4,139.3,139.3,139.3,0,0,0,0,0.9,5
RuntimeBenchmarksLibsWeekly,fansiFormat,40,1,21.19 21.28 21.06 20.75 21.06 21.1 20.53 20.71 20.76 20.33,37.36,37.36,37.36,0,0,0,0,0.3,2
RuntimeBenchmarksLibsWeekly,wordFreqParser,40,1,38.97 38.91 38.84 38.89 38.83 38.84 38.88 38.84 39.06 38.86,71.2,71.2,71.2,0,0,0,0,0.8,6
RuntimeBenchmarksLibsWeekly,yamlDecode,40,1,240.7 175 175 175 175 174.9 179.7 179.4 174.9 175,383.3,383.3,383.3,0,0,0,0,0.1,1
RuntimeBenchmarksLibsWeekly,yamlEncode,40,1,49.55 49.97 49.55 49.53 49.55 49.62 60.13 49.62 49.62 49.51,80.58,80.58,80.58,0,0,0,0,0.6,5
RuntimeBenchmarksOptimizerSmallWeekly,ary,40,10,8.525 8.54 8.528 8.528 8.555 8.524 8.518 8.543 8.532 8.536,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallWeekly,ary2,30,10,126.9 126.8 126.7 126.8 126.9 126.9 126.9 126.9 127.3 126.8,350.4,350.4,350.4,0,0,0,0,0.7,4
RuntimeBenchmarksOptimizerSmallWeekly,matMul,30,10,22.21 22.22 22.27 22.2 22.31 22.28 22.27 22.27 22.29 22.26,6.568,6.568,6.568,0,0,0,0,0.5,2
RuntimeBenchmarksOptimizerSmallWeekly,meteor,40,1,408.6 408.7 408.6 408.6 408.6 408.6 408.6 408.6 409.5 408.7,222.2,222.2,222.2,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallWeekly,nestedLoop,30,10,26.01 26.04 26.05 26.04 26.02 26.02 26.03 26.11 26.02 26.04,5.613,5.613,5.613,0,0,0,0,0.6,2
RuntimeBenchmarksOptimizerSmallWeekly,nestedLoop2,30,10,74.89 74.82 74.83 74.76 74.77 74.82 74.89 77.81 79.69 74.75,96.1,96.1,96.1,0,0,0,0,1.2,4
