suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,28310 28318 27128 26920 27953 27912 27409 27383 27464 27097,4581,4582,4582,0,0,0,1053,1244,1481
CompilationBenchmarksBigNightly,caskApp,130,1,597.7 602.6 599.4 571.9 603.3 563.4 566.3 563.1 561.2 561.8,134.3,134.4,134.4,0,0,0,36,134,249
CompilationBenchmarksBigNightly,dottyUtils,170,1,1117 1116 1115 1116 1114 1114 1118 1117 1113 1119,181.1,181.1,181.1,0,0,0,4,68.2,205
CompilationBenchmarksBigNightly,fansi,140,1,1407 1351 1314 1302 1300 1319 1301 1299 1288 1299,227.6,227.6,227.8,0,0,0,369,508.4,884
CompilationBenchmarksBigNightly,parallelCollections,100,1,4697 4694 4694 4693 4691 4692 4691 4692 4689 4692,659.3,659.3,659.3,0,0,0,10,75.8,227
CompilationBenchmarksBigNightly,re2s,60,1,1863 1864 1862 1895 1888 1884 1884 1883 1881 1879,304.3,304.4,304.4,0,0,0,64,178.7,387
CompilationBenchmarksBigNightly,scalaToday,130,1,3385 3386 3381 3384 3381 3395 3554 3414 3382 3381,558.2,558.2,558.2,0,0,0,16,181.5,451
CompilationBenchmarksBigNightly,scalaYaml,40,1,4617 4613 4624 4609 4604 4598 4596 4596 4590 4587,616.9,617.4,617.5,0,0,0,145,443.8,751
CompilationBenchmarksBigNightly,sourcecode,100,1,940.6 934.9 927.5 927.2 926.4 926.9 926.8 927.1 927.6 925.7,183.8,183.8,183.9,0,0,0,32,112.7,404
CompilationBenchmarksBigNightly,tastyQuery,60,1,5170 5168 5168 5235 5227 5221 5222 5365 5164 5550,734.4,734.4,734.5,0,0,0,31,205.4,579
CompilationBenchmarksBigNightly,tictactoe,130,1,1136 1148 1151 1135 1125 1129 1125 1125 1126 1125,261.2,261.2,261.3,0,0,0,6,186.4,491
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1195 1194 1194 1194 1193 1193 1191 1195 1193 1193,401.4,401.6,401.7,0,0,0,9,115.6,255
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1652 1651 1653 1652 2009 1908 1579 1575 1574 1573,264.2,264.2,264.2,0,0,0,31,181.7,458
CompilationBenchmarksBigWeekly,scalaz,25,1,29529 30226 29054 28398 28667 30586 29547 29041 29584 29392,4270,4270,4270,0,0,0,159,432.6,1009
CompilationBenchmarksSmallNightly,helloWorld,150,1,116.8 117.2 116.8 116.3 116.9 116.6 116.4 117 116.5 116.2,38.75,38.75,38.75,0,0,0,3,21.4,44
CompilationBenchmarksSmallNightly,implicitInductive,150,1,885 884.9 884.7 884.3 884.4 908.2 900.2 895.7 899.7 886.3,79.87,79.87,79.88,0,0,0,9,55.5,143
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,586.8 587 586.8 586.8 589.3 586.9 588.6 587.7 587.6 586.6,115.1,115.1,115.1,0,0,0,13,57.9,147
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,343.7 343.4 344 346.2 344.6 341.5 341.3 341.4 343.3 341.3,81.85,81.86,81.89,0,0,0,7,113.2,364
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,237.3 235.9 236.6 236.1 236.4 236 238.7 238.3 238 244.7,69.38,69.38,69.39,0,0,0,1,26.5,111
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,155 155 153.8 154.8 154.5 154.7 154 153.3 154.3 153.7,49.14,49.14,49.14,0,0,0,2,33.6,119
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,141.3 140.4 141.1 140.7 140.5 140 140.1 140.6 139 140.7,44.03,44.04,44.04,0,0,0,2,20.9,67
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,148.5 148.1 147.5 148.2 147.4 146.9 148.2 147.9 147.9 147.6,44.15,44.15,44.15,0,0,0,0,16.4,35
CompilationBenchmarksSmallWeekly,findRef,150,1,110.7 110.2 109.4 109.7 110.7 110.2 110.5 109.3 109.4 109,34.81,34.81,34.81,0,0,0,6,32.5,96
CompilationBenchmarksSmallWeekly,i1535,150,1,178.7 178.4 178.1 178.6 178.4 177.5 178.7 178.3 177.3 177.5,53.08,53.09,53.09,0,0,0,16,47.7,114
CompilationBenchmarksSmallWeekly,i1687,150,1,110.3 110.7 110.8 111 110.6 110.1 110.1 110 111 111.3,36.51,36.51,36.51,0,0,0,2,15.5,35
CompilationBenchmarksSmallWeekly,implicitCache,150,1,158.4 160.6 164.2 165.4 165.2 166.6 161.1 160.7 159.5 166.8,51.93,51.93,51.93,0,0,0,2,24.8,87
CompilationBenchmarksSmallWeekly,implicitNums,150,1,365.8 366.5 365.8 365.2 366.2 365.5 365.8 365.6 364.4 366.6,99.91,99.91,99.91,0,0,0,1,32.8,152
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,164.1 165.8 165.7 165.9 165 165.5 165.4 165.1 164.3 165.9,52.36,52.36,52.36,0,0,0,2,33.1,89
CompilationBenchmarksSmallWeekly,tuple,150,1,183.9 182.6 182.6 182.5 181.8 182.3 181.5 181.7 183.2 181.9,56.5,56.51,56.51,0,0,0,3,23.7,65
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,146 145.4 146.3 146.4 145.6 145.5 143.6 145.6 144 146.1,44.18,44.18,44.18,0,0,0,2,29,101
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,171.4 170.1 173.6 173 170.5 170.4 170.6 170.4 169.8 170.4,50.93,50.93,50.93,0,0,0,1,22,118
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,113.3 138.4 111 109.7 113.8 113.2 111.1 112.7 111.9 110.6,37.08,37.08,37.08,0,0,0,1,20,70
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,127.1 128.6 127.6 127.3 127.9 126.5 127.6 127.7 126.6 127.6,42.04,42.04,42.04,0,0,0,1,33.1,88
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,168.3 168.6 168.1 168.7 166.8 178.4 178.5 178.4 173.6 175.6,52.76,52.76,52.76,0,0,0,0,29.1,101
