suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,27683 28301 27962 26957 27409 27601 27551 27525 26808 26956,4496,4496,4496,0,0,0,982,1249,1603
CompilationBenchmarksBigNightly,caskApp,130,1,554 555.9 555.9 553.9 556.3 552.7 551.7 557 553.2 551.4,134.8,134.8,134.8,0,0,0,19,141.7,373
CompilationBenchmarksBigNightly,dottyUtils,170,1,1090 1074 1072 1073 1072 1070 1076 1072 1071 1074,178.8,178.8,178.8,0,0,0,1,57.1,138
CompilationBenchmarksBigNightly,fansi,140,1,1293 1297 1292 1292 1291 1307 1291 1290 1298 1297,212.3,212.3,212.5,0,0,0,347,459.7,662
CompilationBenchmarksBigNightly,parallelCollections,100,1,4455 4538 4541 4458 4456 4454 4454 4474 4468 4456,639,639,639.1,0,0,0,8,85.9,264
CompilationBenchmarksBigNightly,re2s,60,1,1977 1872 1827 1832 1844 1830 1823 1849 1841 1834,292.4,292.4,292.4,0,0,0,65,198.4,470
CompilationBenchmarksBigNightly,scalaToday,130,1,3357 3362 3360 3359 3357 3361 3354 3360 3357 3354,564.3,564.4,564.4,0,0,0,14,150.7,417
CompilationBenchmarksBigNightly,scalaYaml,40,1,4564 4562 4571 4559 4547 4554 4543 4548 4549 4540,609.5,610,610.1,0,0,0,132,470.7,646
CompilationBenchmarksBigNightly,sourcecode,100,1,907.2 905.2 908.3 904.9 904.8 904.7 904.4 905.4 903.6 902.9,182.7,182.7,182.8,0,0,0,25,116.3,536
CompilationBenchmarksBigNightly,tastyQuery,60,1,5128 5130 5129 5147 5144 5135 5133 5134 5133 5131,718.9,718.9,718.9,0,0,0,30,233.9,741
CompilationBenchmarksBigNightly,tictactoe,130,1,1155 1159 1153 1171 1155 1148 1147 1152 1147 1146,262.5,262.6,262.6,0,0,0,110,263,486
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1185 1185 1184 1189 1189 1198 1186 1182 1184 1183,398.9,399,399.1,0,0,0,10,72.2,213
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1499 1504 1500 1499 1504 1502 1500 1514 1500 1498,252.2,252.2,252.3,0,0,0,11,138.5,465
