suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26637 26643 26646 26642 26664 26690 26840 26949 27549 27110 27015 26857 27012 27062 27971 28493 27677 27945 27144 27826,4376,4376,4377,0,0,0,940,1093,1478
CompilationBenchmarksBigNightly,caskApp,150,1,570.7 572.6 572.2 571 570.4 567.3 569.6 571.1 568.1 572.4 568.7 570.7 567 586.8 612.8 593 564.1 566.5 566.1 565.8,110,110,110,0,0,0,1,122.8,427
CompilationBenchmarksBigNightly,dottyUtils,170,1,1108 1106 1094 1091 1091 1090 1094 1091 1093 1092 1089 1090 1089 1089 1089 1090 1100 1101 1102 1102,158,158,158,0,0,0,0,89,552
CompilationBenchmarksBigNightly,fansi,150,1,1308 1312 1311 1311 1312 1313 1312 1317 1308 1311 1308 1310 1311 1308 1309 1307 1295 1298 1295 1294,199.9,200,200,0,0,0,306,402.9,750
CompilationBenchmarksBigNightly,parallelCollections,100,1,4562 4576 4560 4592 4565 4561 4564 4563 4563 4565 4559 4560 4557 4558 4557 4554 4562 4557 4557 4557,600.7,600.7,600.7,0,0,0,2,100.1,298
CompilationBenchmarksBigNightly,re2s,120,1,1817 1816 1822 1995 1835 1818 1816 1838 1833 1818 1812 1844 1810 1813 1845 1813 1806 1826 1805 1843,258.8,258.8,258.8,0,0,0,5,169.6,624
CompilationBenchmarksBigNightly,scalaToday,150,1,3358 3303 3300 3353 3302 3348 3341 3340 3343 3341 3339 3338 3343 3339 3337 3341 3297 3301 3314 3301,493.5,493.6,493.9,0,0,0,19,149.4,324
CompilationBenchmarksBigNightly,scalaYaml,80,1,4582 4593 4557 4480 4573 4596 4479 4675 4479 4501 4476 4500 4479 4483 4479 4479 4482 4477 4477 4477,564.9,565,565.2,0,0,0,13,157.9,487
CompilationBenchmarksBigNightly,sourcecode,170,1,929.4 932.2 928.5 930.1 925.8 926.5 929.3 944.2 924.1 923 923.8 923.4 920.7 922.4 921.2 921.1 922.9 931.9 931.9 930.7,163.7,163.8,163.8,0,0,0,0,122.9,555
CompilationBenchmarksBigNightly,tastyQuery,60,1,5003 5001 5000 5004 5002 5000 4999 5011 5088 5124 5115 5138 5111 5124 4994 4993 4991 4989 4988 5061,655.8,655.8,655.9,0,0,0,25,201.5,522
CompilationBenchmarksBigNightly,tictactoe,150,1,1145 1142 1149 1145 1141 1142 1141 1140 1147 1143 1146 1140 1139 1138 1140 1144 1141 1139 1148 1136,216.3,216.3,216.3,0,0,0,73,256.4,1117
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,785.5 857.2 828.2 794.8 789.3 787 783.2 784 782.1 781.3 782.6 783.1 781.9 782.4 781 781.4 780.7 785.2 813.1 826.8,140.7,140.7,140.8,0,0,0,1,57.7,185
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1698 1636 1606 1602 1606 1605 1598 1745 1636 1615 1606 1603 1604 1596 1607 1595 1603 1597 1604 1596,239.1,239.2,239.2,0,0,0,13,176.4,525
CompilationBenchmarksBigWeekly,scalaz,60,1,28366 29063 28217 27581 28410 29474 28534 28460 28942 28027 27552 28218 28939 28437 28738 29338 28213 27589 28538 28863,4112,4112,4112,0,0,0,30,216.9,838
CompilationBenchmarksSmallNightly,helloWorld,150,1,124.2 126.6 125.2 125.4 125.6 125.5 125.1 126.2 124.7 126.7 125.7 125.2 124.7 125 125.2 125.2 125.5 124.7 125.2 125.1,35.4,35.4,35.41,0,0,0,0,22.65,59
CompilationBenchmarksSmallNightly,implicitInductive,150,1,903.4 906.3 898.6 898.1 896.9 897.9 896.2 897.5 900.5 897.6 898.3 897.4 896.3 895.4 895.8 895.8 895.8 897.1 896.3 895.9,67.5,67.5,67.51,0,0,0,1,63.85,177
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,598.6 593.1 592.7 591.9 592.8 592.8 590.7 591.8 592 590.6 590.1 592 589.3 592.7 590.6 591 591.2 590 666.7 590.4,106.4,106.4,106.4,0,0,0,0,62.55,260
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,361.7 382 362.4 358.6 358.7 354.7 354.4 358.1 358.8 354.2 356.2 355.1 354.1 353 360.4 355.6 352.2 354.2 352.5 352.6,70.55,70.57,70.7,0,0,0,0,120.9,930
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,244.5 243.4 243.8 243.7 243.9 243.7 243.2 243.3 243.3 241.3 243 242.6 241.8 242.3 241.5 239.6 242 240.4 241.8 237.9,62.29,62.31,62.34,0,0,0,0,70.85,365
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,163.1 163.6 163.1 162.9 162.9 163.3 162.9 162.4 163.5 161.9 161.8 162.2 162.3 162.6 161.4 161.8 161.7 161.5 161.8 161.8,45.73,45.74,45.74,0,0,0,0,37,128
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,163.7 162.2 163.5 163.2 162.5 161.6 162.3 162.7 161 161.6 161.4 162.6 161.6 168 163.3 162.3 161.7 174.4 163.2 161.2,40.75,40.75,40.75,0,0,0,3,32.5,135
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,149.9 151.8 150.5 151.9 151 149.7 150.8 150.7 150.6 150 151.1 149.5 150.4 151.7 152.3 149.7 149.1 151.7 166.1 148.5,40.73,40.74,40.74,0,0,0,0,37.8,159
CompilationBenchmarksSmallWeekly,findRef,150,1,118.4 117.7 117.1 117.1 116.5 119.4 117.2 118 117.2 118.1 118.2 117.2 116.8 117.3 117.7 117.5 116.6 115.7 117.3 116.8,31.58,31.59,31.59,0,0,0,2,31.85,87
CompilationBenchmarksSmallWeekly,i1535,150,1,187.2 188.9 187.1 187 189.3 187.7 185.7 187.4 187.5 187.5 185.2 185.7 185.9 194.3 186.7 186.4 187 187.6 187.4 186,45.39,45.39,45.4,0,0,0,4,58,159
CompilationBenchmarksSmallWeekly,i1687,150,1,120.1 121.3 121 121.2 120 119.5 119.8 119.3 119.8 119.8 119.4 119.4 118.6 118.5 118.9 118.9 119.2 118.1 118 119.4,34.01,34.01,34.02,0,0,0,0,26.05,89
CompilationBenchmarksSmallWeekly,implicitCache,150,1,171.4 171.3 170.7 170.7 171.2 170.7 171.3 170.8 170 170.7 170.7 170.6 170.7 170.9 169.9 169.8 169.9 168.6 170.9 171.4,44.98,44.98,44.99,0,0,0,2,30.3,119
CompilationBenchmarksSmallWeekly,implicitNums,150,1,382.6 386.5 379 380.4 368.4 381.5 379.6 378.3 387.3 369.2 379 365.7 380 378.6 379.2 368.7 379.9 381.8 377.6 378.6,87.82,87.83,87.83,0,0,0,0,39.5,198
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,183.3 182.6 204.9 182.8 182.1 181.1 192.3 186.1 183.4 183.4 183.7 181.1 181.8 181.6 182.5 180.9 180.7 182.6 180.6 179.9,45.41,45.42,45.42,0,0,0,0,26.05,111
CompilationBenchmarksSmallWeekly,tuple,150,1,190.1 189.5 189.7 189.4 186.9 187 186.9 186.3 188 187.5 188.7 186.7 187.1 187.7 187.1 186.9 186.6 189.5 186.9 187.7,47.78,47.78,47.79,0,0,0,0,25.65,96
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,157.6 152.8 152.5 152.9 151.5 151.7 153.2 154 152.4 151.8 152.3 151.6 151.7 153 151.5 150.4 151.4 153.3 151.7 150.6,39.61,39.61,39.61,0,0,0,0,30.9,115
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,182.5 181 182.6 181.5 181.8 182.1 181.6 182.2 182.2 182 180.5 181.8 181.6 181 180.9 181 181.2 180 181.5 181.1,45.63,45.63,45.64,0,0,0,0,21.4,93
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,117.3 116.6 116.6 115.8 115.4 115.9 115.5 115 115.1 116.4 116.3 115.5 115.3 116.1 115.4 115.5 115.5 113.8 115.3 116,33.82,33.83,33.83,0,0,0,0,25.45,97
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,145.7 144.7 144.6 146.1 144.8 144.8 146.1 146.1 146.3 145.4 145 144.2 144.2 144.9 144.1 143.6 144.7 146 144.1 143.7,37.51,37.52,37.52,0,0,0,0,21.15,65
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,177.4 176.9 173.9 176.1 175.3 175.5 175 175.1 174.9 175 175.3 175 175 173.4 174.8 175 175 173.8 174.5 174.7,45.07,45.07,45.08,0,0,0,7,38.75,118
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,126.2 131.6 125.1 124.6 124.2 123.8 123.6 124.3 125.1 124.3 124.2 123.9 128.9 138.7 124.3 125.2 123.8 125 123.2 123.3,35.76,35.76,35.76,0,0,0,1,30.9,120
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5078 5089 5078 5089 5078 5075 5056 5148 5070 5267 5086 5161 5134 5072 5069 5091 5071 5079 5064 5062,654.8,654.9,655.1,0,0,0,22,191,551
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.7 21.56 21.47 21.58 21.31 21.46 21.37 21.59 21.5 21.72,4.439,4.439,4.439,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.23 15.31 15.25 15.23 15.19 15.21 15.23 15.2 15.18 15.24,16.82,16.82,16.82,0,0,0,0,1,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.37 29.53 29.42 29.38 29.31 30.19 29.93 27.94 28.12 27.93 27.99 27.77 27.8 27.97 27.85 28 28.24 27.98 27.84 27.74,36.4,36.44,36.52,0,0,0,0,1.05,9
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.26 22.74 22.85 23.12 22.56 22.43 22.82 22.42 22.42 22.36,15.8,15.81,15.83,0,0,0,0,1,5
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,142 140.2 139.8 139.6 140.3 140.3 142.5 145.1 139.8 139.8 139.6 140.2 139.7 139.8 139.7 139.8 140.1 141.2 139.6 139.9,490.4,490.4,490.4,0,0,0,0,0.7,6
RuntimeBenchmarksAwfyWeekly,json,10,10,14.64 14.67 14.68 14.66 14.64 14.61 14.69 14.64 14.64 14.74,16.53,16.53,16.53,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,97.12 96.95 97.29 96.84 96.91 96.97 96.83 96.84 97.25 101.4 100.2 96.43 96.76 96.65 96.56 96.95 96.44 96.62 96.65 96.37,23.26,23.26,23.26,0,0,0,0,1.2,5
RuntimeBenchmarksAwfyWeekly,list,10,1000,69.94 69.77 69.88 70.42 69.94 69.81 70.02 69.98 69.93 69.9,0.7268,0.7268,0.7268,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 151.1 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 152.8,0.006784,0.006784,0.006784,0,0,0,0,1.1,9
RuntimeBenchmarksAwfyWeekly,nbody,10,10,410.8 407.1 407.1 407.5 411.9 407.4 407.9 407.3 407.5 407.4,60.01,60.01,60.01,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,permute,10,1000,79.56 79.52 79.45 79.71 79.53 79.66 79.53 79.48 79.56 79.53,134.1,134.1,134.1,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,queens,10,10000,30.3 29.65 29.78 29.78 29.78 29.58 29.78 29.81 29.66 29.66,1.367,1.367,1.367,0,0,0,0,1,4
RuntimeBenchmarksAwfyWeekly,richards,10,1000,103.6 103.6 103.5 103.7 103.5 103.5 103.6 106.5 104 103.5,0.9828,0.9828,0.9828,0,0,0,0,0.9,2
RuntimeBenchmarksAwfyWeekly,tracer,10,100,103.3 103.1 246.6 147.3 78.66 78.6 78.54 78.64 81.78 84.22,172.6,172.6,172.6,0,0,0,0,0.6,1
RuntimeBenchmarksLibsWeekly,fansiFormat,20,1,20.64 20.67 20.67 20.97 20.7 20.66 20.77 20.8 20.86 20.82 20.76 20.82 20.81 20.81 20.83 20.8 20.77 20.82 20.79 20.79,37.36,37.36,37.36,0,0,0,0,0.55,5
