suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,27000 26958 26956 27161 27001 26861 27210 27253 27105 26539,4463,4463,4464,0,0,0,1072,1228,1430
CompilationBenchmarksBigNightly,caskApp,130,1,547.2 532.4 532.5 538.3 536.8 538.3 536.5 536.1 530 530,99.81,99.82,99.83,0,0,0,11,89.1,243
CompilationBenchmarksBigNightly,dottyUtils,170,1,1093 1093 1090 1099 1089 1090 1094 1093 1088 1095,149.5,149.5,149.6,0,0,0,4,69.2,214
CompilationBenchmarksBigNightly,fansi,140,1,1292 1298 1299 1290 1290 1316 1290 1292 1289 1289,193.6,193.6,193.6,0,0,0,364,492.7,605
CompilationBenchmarksBigNightly,parallelCollections,100,1,4550 4551 4547 4552 4548 4549 4551 4548 4545 4548,595.5,595.5,595.5,0,0,0,8,78.9,226
CompilationBenchmarksBigNightly,re2s,60,1,1827 1824 1822 1828 1830 1818 1839 1808 1802 1806,255.2,255.2,255.2,0,0,0,75,206,528
CompilationBenchmarksBigNightly,scalaToday,130,1,3341 3351 3347 3343 3362 3347 3341 3353 3341 3340,487.8,487.8,487.9,0,0,0,30,181.2,543
CompilationBenchmarksBigNightly,scalaYaml,40,1,4565 4562 4571 4551 4554 4689 4629 4743 4541 4546,558.8,558.9,559.2,0,0,0,89,438.1,746
CompilationBenchmarksBigNightly,sourcecode,100,1,968.2 964.3 967.5 969.4 956 945.7 971.1 939 965 965.6,155.6,155.6,155.6,0,0,0,10,102.8,262
CompilationBenchmarksBigNightly,tastyQuery,60,1,5068 5079 5069 5064 5013 5004 5003 5408 5110 5066,656.8,656.8,656.8,0,0,0,15,271.9,860
CompilationBenchmarksBigNightly,tictactoe,130,1,1184 1134 1134 1133 1142 1134 1135 1134 1136 1144,201.7,201.7,201.8,0,0,0,88,240.7,499
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1195 1195 1194 1199 1194 1199 1195 1195 1194 1194,383.8,383.8,383.9,0,0,0,7,86.1,214
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1571 1570 1572 1569 1569 1570 1569 1575 1569 1569,233.4,233.4,233.4,0,0,0,8,158.1,455
CompilationBenchmarksBigWeekly,scalaz,25,1,28342 27976 28022 27879 28917 28909 28632 28521 28969 28977,4123,4123,4123,0,0,0,110,358.7,813
CompilationBenchmarksSmallNightly,helloWorld,150,1,101.5 101.7 101.1 101.1 100.7 100.6 100.7 100 101.1 102.3,25.2,25.2,25.2,0,0,0,1,22.4,46
CompilationBenchmarksSmallNightly,implicitInductive,150,1,917.5 917.4 917.5 918.1 917.4 917.3 915.4 937.5 919.5 916.2,57.83,57.83,57.84,0,0,0,0,65.7,132
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,576.9 576.3 575.8 575.9 575.7 576.1 575.6 575.7 576.2 576.3,98.13,98.13,98.13,0,0,0,11,61.7,144
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,325.5 335 350.6 342.1 345.7 345.6 349.6 348.2 347.1 344.8,61.48,61.49,61.5,0,0,0,3,110.7,407
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,222.5 222.3 222.4 222 221.8 222.2 221.6 221.5 221.3 221.4,54.68,54.68,54.68,0,0,0,1,55.3,154
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,138.2 138.2 138.5 137.9 138.3 136.3 137.4 137.3 138.2 137.8,35.75,35.75,35.75,0,0,0,0,24.8,52
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,125.7 126.4 126.3 126 125.3 126.3 125.1 125.6 126.1 125.7,30.64,30.64,30.64,0,0,0,1,29,88
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,124.4 125.6 125.4 124.9 124.8 124.6 123.9 124.4 124.9 125.2,30.7,30.7,30.7,0,0,0,0,27.5,78
CompilationBenchmarksSmallWeekly,findRef,150,1,99.88 99.38 99.08 99.09 112.3 101.8 98.76 98.14 98.39 98.22,24.49,24.49,24.5,0,0,0,5,30.4,59
CompilationBenchmarksSmallWeekly,i1535,150,1,170.9 169.9 169 169.8 168.8 169.8 171.8 169.8 168.8 167.9,37.24,37.25,37.25,0,0,0,0,47.7,226
