suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,25511 26506 26866 26523 26296 26708 26806 26011 26650 26559,4043,4043,4043,0,0,0,1082,1257,1407
CompilationBenchmarksBigNightly,caskApp,130,1,569.8 572.3 570.1 568 570.7 568.3 567.8 572.6 567.4 567.2,113.9,113.9,114,0,0,0,13,138,333
CompilationBenchmarksBigNightly,dottyUtils,170,1,1138 1149 1113 1226 1199 1134 1094 1148 1119 1142,159.7,159.7,159.7,0,0,0,6,80.9,226
CompilationBenchmarksBigNightly,fansi,140,1,1306 1304 1303 1301 1303 1302 1312 1315 1314 1308,198.4,198.4,198.4,0,0,0,306,401.1,518
CompilationBenchmarksBigNightly,parallelCollections,100,1,4457 4459 4454 4457 4456 4456 4456 4473 4479 4476,598.9,598.9,598.9,0,0,0,9,80.6,286
CompilationBenchmarksBigNightly,re2s,60,1,1833 1832 1833 1845 1839 1839 1832 1831 1831 1827,261.7,261.7,261.7,0,0,0,85,178.2,537
CompilationBenchmarksBigNightly,scalaToday,130,1,3365 3372 3368 3365 3367 3367 3360 3378 3365 3373,497.1,497.1,497.1,0,0,0,27,182.7,394
CompilationBenchmarksBigNightly,scalaYaml,40,1,4629 4753 4482 4486 4455 4474 4540 4594 4590 4585,560,560,560.4,0,0,0,83,433.2,821
CompilationBenchmarksBigNightly,sourcecode,100,1,926.6 925 936.3 935.2 934.6 934.7 934.7 935 938.7 933.1,163,163,163,0,0,0,22,129.5,438
CompilationBenchmarksBigNightly,tastyQuery,60,1,5138 5131 5136 5005 4934 4924 4927 4925 5005 5209,649.2,649.2,649.2,0,0,0,11,262.4,779
CompilationBenchmarksBigNightly,tictactoe,130,1,1126 1123 1119 1118 1125 1118 1120 1123 1119 1128,217.7,217.8,217.9,0,0,0,43,237.6,537
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1191 1190 1188 1197 1189 1194 1191 1189 1189 1188,393,393.1,393.2,0,0,0,5,92.8,235
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1569 1573 1573 1568 1576 1725 1591 1584 1573 1569,242.7,242.7,242.7,0,0,0,18,161.5,472
CompilationBenchmarksBigWeekly,scalaz,25,1,28350 28885 30023 30284 28914 28073 28945 28841 28536 28606,4115,4115,4115,0,0,0,113,391.2,908
CompilationBenchmarksSmallNightly,helloWorld,150,1,122.1 121.4 121.7 121.4 121.1 120.9 121 120.9 122.6 122.8,36.82,36.82,36.82,0,0,0,3,20,57
CompilationBenchmarksSmallNightly,implicitInductive,150,1,876.5 876.4 875.9 876.3 875.2 876.9 875.8 875.9 875.9 876.3,69.2,69.2,69.21,0,0,0,2,60.7,134
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,600.6 589.8 599.2 600.1 598.6 590.2 600.9 600.6 601.2 592.3,107.9,107.9,107.9,0,0,0,11,57.9,143
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,382.2 370.4 368.5 364 364.5 362.9 361.7 363 368.1 369.6,72.13,72.14,72.18,0,0,0,2,149.8,691
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,242.7 242.4 242 242 241.7 241.7 241.7 241.6 241.7 241,63.87,63.88,63.88,0,0,0,0,21.9,85
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,159.7 158.9 158.1 158.7 159.1 157.8 158.3 159.1 159.1 159.4,47.21,47.21,47.21,0,0,0,0,44.2,128
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,145.3 146 145.2 145 145.5 145.8 144.8 145.2 146.4 145.7,41.96,41.96,41.96,0,0,0,3,22.6,65
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,144.3 144.4 143.3 144.6 144.1 143.1 143.7 143.9 143.8 143.8,42.04,42.04,42.04,0,0,0,0,29.1,63
