suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,28595 27784 27176 28014 27803 28168 27019 26879 27703 28446,4901,4902,4903,0,0,0,975,1193,1334
CompilationBenchmarksBigNightly,caskApp,130,1,600 599.6 599.8 600.5 598.1 599.1 599.1 596.9 599.2 598.3,164.2,164.3,164.3,0,0,0,28,111.2,222
CompilationBenchmarksBigNightly,dottyUtils,170,1,1146 1171 1143 1144 1143 1142 1142 1143 1141 1142,210,210,210,0,0,0,7,95.7,226
CompilationBenchmarksBigNightly,fansi,140,1,1347 1352 1349 1346 1346 1414 1445 1354 1331 1336,244.1,244.1,244.1,0,0,0,370,524.5,867
CompilationBenchmarksBigNightly,parallelCollections,100,1,4677 4674 4670 4674 4673 4777 5053 4851 4690 4680,686.8,686.8,686.9,0,0,0,6,79.8,269
CompilationBenchmarksBigNightly,re2s,60,1,1903 1904 1901 1907 1902 1899 1895 1897 1895 1895,332.5,332.5,332.5,0,0,0,76,193.5,533
CompilationBenchmarksBigNightly,scalaToday,130,1,3463 3469 3465 3461 3467 3468 3459 3468 3459 3458,615.1,615.1,615.1,0,0,0,30,222.7,553
CompilationBenchmarksBigNightly,scalaYaml,40,1,4639 4636 4646 4627 4623 4620 4620 4618 4615 4625,646.4,646.5,646.6,0,0,0,134,463,894
CompilationBenchmarksBigNightly,sourcecode,100,1,996.8 994.3 1086 1063 994.4 995.3 994.4 994.6 994.7 995.2,210,210,210.1,0,0,0,17,111.3,352
CompilationBenchmarksBigNightly,tastyQuery,60,1,5298 5314 5541 5520 5304 5282 5173 5166 5163 5162,754.8,754.8,754.9,0,0,0,27,251.5,607
CompilationBenchmarksBigNightly,tictactoe,130,1,1237 1241 1235 1238 1235 1230 1228 1231 1230 1229,326.8,326.8,326.8,0,0,0,77,243.5,520
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1238 1238 1238 1237 1237 1236 1238 1237 1236 1236,444,444.1,444.2,0,0,0,4,67.3,201
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1615 1622 1619 1618 1624 1620 1617 1633 1620 1618,292.1,292.1,292.1,0,0,0,39,170.2,554
CompilationBenchmarksBigWeekly,scalaz,25,1,28015 29269 29231 28565 28004 29449 28869 29121 29298 28391,4244,4244,4245,0,0,0,176,432.5,891
CompilationBenchmarksSmallNightly,helloWorld,150,1,164.3 164.7 164.4 164.1 164.3 163.9 163.8 164 164.3 164.2,65.14,65.14,65.14,0,0,0,4,21.7,59
CompilationBenchmarksSmallNightly,implicitInductive,150,1,919.8 919.9 920.1 919.6 919 947.6 949.9 919.9 925.8 920.1,106.5,106.5,106.6,0,0,0,0,53.7,133
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,635.7 636.3 635.2 635.6 635.1 635.3 636.3 634.9 635.2 636.1,146.5,146.5,146.5,0,0,0,7,52.6,154
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,395.7 407.7 428.5 416.3 419.4 426.2 419.6 424.8 422.1 425.2,109.4,109.4,109.4,0,0,0,7,147,681
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,295.3 294.4 294.3 294.1 294.2 294.2 297.7 293.3 294.5 296.8,101.4,101.4,101.6,0,0,0,2,24.5,59
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,203.4 203.2 202.5 203.2 202.3 203.2 204 203.8 204.5 204.9,77.35,77.35,77.35,0,0,0,0,36.4,113
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,217.5 217.5 219.7 218.6 218.8 215.8 217.7 218.9 213.9 218.1,73.46,73.46,73.47,0,0,0,2,31.4,113
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,195.1 194.7 193.7 194.6 193.6 196.2 194.4 194.1 194.4 194,73.35,73.35,73.35,0,0,0,1,29.3,71
CompilationBenchmarksSmallWeekly,findRef,150,1,156.5 156.5 155.8 155.7 158.4 156.3 155.1 156 155.5 156,61.39,61.39,61.39,0,0,0,3,24.5,76
CompilationBenchmarksSmallWeekly,i1535,150,1,238.2 239.1 238.8 238.2 239.3 238.4 237.4 238.8 237.6 240.5,86.05,86.05,86.05,0,0,0,11,49.7,171
CompilationBenchmarksSmallWeekly,i1687,150,1,158.6 158.7 158.4 159.2 158.4 158.3 158.7 158 159.1 159,64.37,64.38,64.38,0,0,0,0,17.3,55
CompilationBenchmarksSmallWeekly,implicitCache,150,1,215.7 215.3 218.1 214.8 215 215.4 215 214.8 214.7 214.9,83.5,83.5,83.5,0,0,0,4,23.9,87
CompilationBenchmarksSmallWeekly,implicitNums,150,1,435.8 434.7 434.7 434.7 435 434.8 434.1 434 434.8 433.8,133.2,133.2,133.2,0,0,0,2,38.1,155
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,218 218.2 218.7 219 217.2 217.1 218.1 216.6 218 217.7,84.98,84.99,84.99,0,0,0,1,35.5,161
CompilationBenchmarksSmallWeekly,tuple,150,1,234.9 234.8 234.6 234.1 238.4 234.3 234.3 234.7 246.8 235.2,85.78,85.78,85.78,0,0,0,5,20.9,52
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,191 190.6 190.6 190.7 189.9 190.1 189.5 190.1 190.2 191,71.78,71.78,71.78,0,0,0,0,40,125
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,216.6 218 217.2 217.3 216.5 215.6 215.4 215.7 215.6 228.7,77.32,77.32,77.33,0,0,0,1,39.2,129
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,160.3 160.1 160 160.1 159.9 159.2 159.3 159.9 159.5 159.7,65.25,65.25,65.25,0,0,0,0,14.7,33
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,178.4 179.4 178.4 178.4 178.8 178.2 179 178.9 178.6 178.7,69.42,69.42,69.42,0,0,0,3,34.9,107
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,221 221.2 221 220.3 219.9 219.8 220 219.6 221.4 219.7,82.59,82.59,82.59,0,0,0,0,38.1,152
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,163.5 163.7 163.2 163.2 162.6 163.4 163.7 163.3 162.8 163.4,66.71,66.71,66.73,0,0,0,1,14.8,30
