suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27180 27223 27732 27124 27498 27748 26647 26434 26774 27679 28022 27311 27599 28021 27331 26650 28142 27876 27603 27610,4467,4467,4467,0,0,0,932,1095,1498
CompilationBenchmarksBigNightly,caskApp,150,1,568.5 570.5 569.5 570 567.8 568.8 567.9 569 567.9 568.8 567.9 613.8 586.8 572.6 567.4 565.1 581.1 561.9 562 560.6,113.9,113.9,113.9,0,0,0,9,120.7,310
CompilationBenchmarksBigNightly,dottyUtils,170,1,1092 1094 1093 1094 1091 1091 1096 1094 1091 1096 1088 1091 1092 1094 1092 1092 1089 1088 1112 1101,160.3,160.3,160.3,0,0,0,1,87.85,609
CompilationBenchmarksBigNightly,fansi,150,1,1298 1296 1297 1299 1296 1298 1308 1292 1301 1297 1295 1294 1296 1296 1296 1295 1293 1297 1299 1294,208,208.1,208.3,0,0,0,370,473,834
CompilationBenchmarksBigNightly,parallelCollections,100,1,4576 4578 4572 4579 4575 4575 4576 4578 4576 4581 4573 4575 4572 4619 4642 4703 4688 4668 4572 4577,603.9,603.9,603.9,0,0,0,1,89.25,305
CompilationBenchmarksBigNightly,re2s,120,1,1832 1832 1828 1829 1840 1837 1829 1842 1845 1832 1829 1837 1829 1829 1855 1825 2025 1837 1825 1823,261,261,261.1,0,0,0,8,169.8,764
CompilationBenchmarksBigNightly,scalaToday,150,1,3303 3302 3303 3301 3303 3300 3302 3301 3302 3302 3302 3301 3300 3301 3303 3299 3299 3299 3298 3297,509.2,509.2,509.3,0,0,0,30,139.4,346
CompilationBenchmarksBigNightly,scalaYaml,80,1,4474 4471 4473 4474 4468 4474 4469 4467 4470 4468 4467 4467 4467 4465 4465 4468 4469 4465 4464 4466,571.3,571.4,571.6,0,0,0,13,167.5,434
CompilationBenchmarksBigNightly,sourcecode,170,1,941.9 947.2 942.7 944.3 940.7 940.9 940.8 945.4 940.4 940.9 939.3 940.6 943 943.1 939.3 938.3 938.8 937.6 937.4 941.1,166.5,166.5,166.7,0,0,0,0,93.8,369
CompilationBenchmarksBigNightly,tastyQuery,60,1,5031 5029 5027 5016 5013 5004 5002 5002 5081 5021 5078 5079 5081 5076 5078 5082 5018 5077 5015 5018,662.3,662.3,662.5,0,0,0,50,241.6,845
