suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,28630 28149 29178 30132 28267 29081 29586 28556 29509 28616,4851,4852,4852,0,0,0,1100,1324,1691
CompilationBenchmarksBigNightly,caskApp,130,1,662 660.4 660.7 659.6 674 663.6 662.3 666.9 662.3 668.4,158.9,158.9,158.9,0,0,0,15,145.2,406
CompilationBenchmarksBigNightly,dottyUtils,170,1,1203 1253 1252 1231 1234 1250 1241 1187 1187 1192,205.1,205.1,205.1,0,0,0,8,64.7,247
CompilationBenchmarksBigNightly,fansi,140,1,1133 1136 1135 1131 1132 1172 1146 1145 1133 1138,213.9,214,214.2,0,0,0,454,603.5,1016
CompilationBenchmarksBigNightly,parallelCollections,100,1,4917 4917 4912 4914 4915 4911 4913 4915 4911 4914,726.1,726.1,726.2,0,0,0,8,106.9,216
CompilationBenchmarksBigNightly,re2s,60,1,2191 2176 2175 2207 2205 2186 2195 2179 2195 2185,368.8,368.8,368.8,0,0,0,69,167.5,459
CompilationBenchmarksBigNightly,scalaToday,130,1,3423 3444 3412 3438 3483 3350 3312 3310 3312 3311,615.9,615.9,615.9,0,0,0,23,189.1,541
CompilationBenchmarksBigNightly,scalaYaml,40,1,4730 4710 4639 4582 4576 4575 4625 4623 4619 4611,658.8,658.9,659.2,0,0,0,69,419.2,837
CompilationBenchmarksBigNightly,sourcecode,100,1,986 988.5 986.2 982.9 984 985 984.8 984.9 1013 1001,206.3,206.3,206.3,0,0,0,25,125.4,254
CompilationBenchmarksBigNightly,tastyQuery,60,1,5376 5367 5364 5370 5367 5362 5361 5360 5548 5359,782.7,782.7,782.8,0,0,0,86,223,495
CompilationBenchmarksBigNightly,tictactoe,130,1,1341 1346 1341 1345 1335 1326 1324 1327 1332 1371,322.5,322.5,322.5,0,0,0,66,275.5,782
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1359 1359 1359 1359 1453 1397 1475 1356 1357 1357,460.2,460.3,460.4,0,0,0,10,82.7,150
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1723 1714 1707 1704 1706 1706 1705 1697 1702 1700,290.6,290.6,290.6,0,0,0,33,150.4,771
CompilationBenchmarksBigWeekly,scalaz,25,1,30639 30066 32979 31224 31126 29755 29964 29848 30471 29824,4523,4531,4555,2,2.3,3,160,471.9,821
CompilationBenchmarksSmallNightly,helloWorld,150,1,137.8 137.5 137.9 137.2 137.4 136.8 137.2 137.2 136.5 137.8,50.8,50.8,50.8,0,0,0,3,21.5,48
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1042 1041 1040 1051 1040 1039 1039 1040 1039 1039,91.69,91.69,91.69,0,0,0,12,36.1,93
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,681.4 681.3 680.4 681.5 680.6 680.4 681.9 678.4 680.2 679.3,157.5,157.5,157.5,0,0,0,13,67,268
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,389 387.5 387.1 386.3 386.7 385.9 385.6 385.3 384.8 385.5,97.03,97.04,97.07,0,0,0,6,74.7,325
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,303.3 300.9 302.8 311.9 306.2 300.7 302.3 302.3 301.7 297.7,87,87,87,0,0,0,0,46.3,189
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,225.9 226.2 226.3 226.1 227.6 226.2 226.1 225 224.9 225.7,73.95,73.95,73.95,0,0,0,4,37.9,155
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,219.5 218.1 219.2 220 251.9 221.2 218.9 219.1 224.5 220.1,68.72,68.72,68.73,0,0,0,1,32.1,75
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,216 216.1 216 216.6 215.9 216.3 215.3 215.4 215.7 224.3,68.79,68.79,68.8,0,0,0,3,37.2,105
CompilationBenchmarksSmallWeekly,findRef,150,1,133.7 133.8 133.2 134.3 134.5 134.4 132.9 132.4 134.3 133,46.84,46.84,46.84,0,0,0,2,34.9,89
CompilationBenchmarksSmallWeekly,i1535,150,1,240.8 241.4 242 239.9 240.7 239.8 239 240.2 239.9 240.4,72.45,72.46,72.46,0,0,0,25,76.2,166
CompilationBenchmarksSmallWeekly,i1687,150,1,138 138.6 138.3 137.3 138.4 137.8 137.3 138 137.2 138.6,49.95,49.95,49.95,0,0,0,1,22.9,68
CompilationBenchmarksSmallWeekly,implicitCache,150,1,156.4 157 156.7 156.2 156.2 156.7 156.6 156.4 155.4 158.3,52.29,52.29,52.3,0,0,0,3,16.3,53
CompilationBenchmarksSmallWeekly,implicitNums,150,1,375.8 376.3 375.6 375.6 375.7 374.9 374 375.1 374.6 375.9,108.6,108.6,108.6,0,0,0,0,38.5,152
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,152.2 152.7 151.3 151.2 151.7 151.9 152.1 151.6 150.9 153.2,52.65,52.65,52.66,0,0,0,7,39.6,100
CompilationBenchmarksSmallWeekly,tuple,150,1,238 238.5 237.9 238 237.4 238.2 236.7 237.5 237.7 238.2,75.33,75.34,75.35,0,0,0,7,29,69
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,209.4 179.7 181.1 179.5 179.5 178.8 178.7 177.4 179.1 181.1,62.64,62.64,62.64,0,0,0,3,44.3,113
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,228.8 228 229.3 228.2 237.8 228.2 227.8 227.8 227.4 227.4,79.54,79.54,79.55,0,0,0,1,25.2,91
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,172.2 173.3 172.5 174 174.2 173.6 173.2 173.4 172.1 173.8,61.54,61.55,61.55,0,0,0,0,10.7,33
