suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,26621 26629 26619 26611 26652 26644 27157 26967 27478 26749,4594,4594,4594,0,0,0,1056,1280,1648
CompilationBenchmarksBigNightly,caskApp,130,1,719.9 716.2 716.9 717.1 716.8 716.5 715.1 706.7 723.7 687.8,159.6,159.7,159.7,0,0,0,8,176,528
CompilationBenchmarksBigNightly,dottyUtils,170,1,1204 1204 1205 1204 1202 1202 1204 1204 1201 1207,206.3,206.3,206.3,0,0,0,10,63.4,242
CompilationBenchmarksBigNightly,fansi,140,1,1142 1151 1149 1147 1145 1169 1161 1159 1158 1165,213.9,213.9,214.1,0,0,0,386,559.7,1040
CompilationBenchmarksBigNightly,parallelCollections,100,1,4951 5027 4955 5025 4899 4898 4905 4903 4895 4896,725.8,725.8,725.8,0,0,0,7,94.6,214
CompilationBenchmarksBigNightly,re2s,60,1,2182 2170 2169 2176 2171 2170 2168 2167 2166 2166,368.4,368.4,368.5,0,0,0,60,158.1,503
CompilationBenchmarksBigNightly,scalaToday,130,1,3420 3419 3418 3418 3418 3416 3417 3418 3418 3417,616.5,616.5,616.5,0,0,0,22,156.4,398
CompilationBenchmarksBigNightly,scalaYaml,40,1,4596 4651 4652 4587 4634 4634 4632 4630 4630 4623,659.6,660,660.3,0,0,0,70,393.3,598
CompilationBenchmarksBigNightly,sourcecode,100,1,990.9 994.5 990.2 990.5 993.2 991.2 991.5 992.6 1025 1044,206.9,206.9,207,0,0,0,35,153.3,496
CompilationBenchmarksBigNightly,tastyQuery,60,1,5519 5455 5460 5445 5438 5445 5432 5452 5427 5425,783.8,783.9,783.9,0,0,0,23,240.7,423
CompilationBenchmarksBigNightly,tictactoe,130,1,1346 1344 1360 1342 1341 1346 1342 1342 1342 1338,322.7,322.8,322.9,0,0,0,23,208.6,477
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1345 1346 1345 1345 1344 1344 1342 1342 1344 1343,459.3,459.4,459.4,0,0,0,17,76.4,145
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1782 1688 1688 1682 1682 1685 1682 1679 1680 1681,290.6,290.6,290.6,0,0,0,57,175,734
CompilationBenchmarksBigWeekly,scalaz,25,1,30480 31617 32530 31285 30841 30962 30759 30951 30482 30663,4536,4537,4539,2,2,2,110,394.3,735
CompilationBenchmarksSmallNightly,helloWorld,150,1,143.6 141.7 139.9 139.6 139.9 139.4 139.4 140 140.8 139.6,50.98,50.98,50.98,0,0,0,2,24.6,94
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1022 1024 1023 1023 1022 1024 1024 1022 1025 1022,91.86,91.86,91.86,0,0,0,9,31.8,96
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,690.4 690.2 690.5 691 689.7 692.5 690.6 689.9 691.6 692.2,158,158,158,0,0,0,13,61,236
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,397.9 393.1 396.4 386.3 387 386.1 386 385.6 385.2 386,97.09,97.1,97.14,0,0,0,7,145.9,784
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,291.8 291.7 290.8 291.5 290.8 291 291 296.9 291.2 291.5,87.02,87.02,87.03,0,0,0,4,48.8,178
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,225.8 226.2 225.9 226 225.6 225.7 226.5 224.4 223.6 223.6,74.1,74.1,74.1,0,0,0,6,35.1,126
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,223.1 222.8 221.8 223.4 222.2 220.9 221.2 221 222.3 221,68.65,68.65,68.65,0,0,0,10,36.7,95
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,214.1 213.6 214.1 213.4 214.1 213.5 213.7 213 214.2 213.6,68.8,68.8,68.8,0,0,0,8,28.8,73
CompilationBenchmarksSmallWeekly,findRef,150,1,142.8 138.1 136.9 137.8 139 137.7 136.7 136.5 138.1 136.9,46.83,46.83,46.83,0,0,0,2,38.7,79
CompilationBenchmarksSmallWeekly,i1535,150,1,252.2 254.5 255 253.5 253.6 251.9 261 255.8 255.3 254.7,72.53,72.54,72.54,0,0,0,16,74.9,204
CompilationBenchmarksSmallWeekly,i1687,150,1,140.1 139.7 140.3 139.5 140.1 139.9 138.7 141.6 139.8 140.8,50.06,50.06,50.07,0,0,0,0,21.3,74
