suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27503 28065 26856 26783 27043 27177 27263 27308 27288 27324 26881 27258 27391 26949 26996 27282 27582 27276 27294 27288,4515,4516,4516,0,0,0,932,1091,1529
CompilationBenchmarksBigNightly,caskApp,150,1,566.7 562.4 561.7 561.6 561.6 561.6 561.4 561.2 561.3 560.5 561.7 563.3 562.5 559 566.8 560.4 559.3 561.3 560.3 557.2,111,111.1,111.1,0,0,0,0,108.5,405
CompilationBenchmarksBigNightly,dottyUtils,170,1,1129 1130 1127 1147 1131 1128 1129 1128 1128 1127 1127 1127 1126 1125 1125 1128 1153 1127 1126 1131,163.8,163.9,163.9,0,0,0,0,93.9,373
CompilationBenchmarksBigNightly,fansi,150,1,1302 1317 1306 1318 1306 1317 1290 1326 1283 1280 1280 1289 1285 1277 1278 1278 1279 1290 1281 1277,209.6,209.6,209.8,0,0,0,335,480.8,977
CompilationBenchmarksBigNightly,parallelCollections,100,1,4746 4701 4769 4739 4766 4745 4638 4635 4625 4628 4625 4624 4624 4623 4687 4716 4730 4809 4676 4624,626.9,626.9,626.9,0,0,0,4,87.4,261
CompilationBenchmarksBigNightly,re2s,120,1,1819 1827 1829 1826 1826 1828 1819 1831 1829 1828 1825 1824 1825 1825 1818 1827 1841 1837 1821 1822,274.6,274.7,274.8,0,0,0,2,175.9,961
CompilationBenchmarksBigNightly,scalaToday,150,1,3398 3372 3374 3378 3370 3369 3407 3397 3369 3380 3400 3397 3409 3410 3398 3371 3397 3398 3396 3395,512.1,512.2,512.5,0,0,0,16,111.8,353
CompilationBenchmarksBigNightly,scalaYaml,80,1,4544 4550 4595 4595 4592 4603 4594 4591 4593 4536 4535 4534 4533 4533 4665 4715 4667 4692 4687 4694,593.2,593.3,593.6,0,0,0,13,187.9,589
CompilationBenchmarksBigNightly,sourcecode,170,1,945.8 941 943.5 942.3 941.6 942 942.1 941.6 942.1 940.8 939.3 937 938.9 939.7 939.4 939.2 938.6 938.8 938.8 938.4,172.1,172.1,172.1,0,0,0,0,82.9,379
CompilationBenchmarksBigNightly,tastyQuery,60,1,5118 5122 5119 5143 5124 5115 5113 5113 5112 5110 5109 5109 5109 5111 5109 5109 5146 5270 5106 5121,693.7,693.7,693.8,0,0,0,22,207.5,724
CompilationBenchmarksBigNightly,tictactoe,150,1,1161 1159 1151 1159 1148 1222 1210 1190 1153 1146 1152 1143 1144 1142 1149 1151 1146 1233 1274 1181,220.5,220.5,220.5,0,0,0,74,281.2,1274
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,824 835.8 824 822.6 822.8 859.9 876.2 830.5 857.3 822.6 830.4 821.5 820.5 820.8 821.4 820.8 820.3 818.7 821.4 820.3,144.6,144.6,144.6,0,0,0,1,57.45,171
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1631 1627 1626 1620 1626 1624 1619 1635 1620 1620 1619 1620 1621 1615 1625 1622 1625 1612 1613 1613,247.5,247.6,247.7,0,0,0,19,174.7,651
CompilationBenchmarksBigWeekly,scalaz,60,1,28795 28707 28597 28366 28549 28334 28690 28740 28755 28710 28587 28770 28747 28908 28836 29742 29371 28842 28751 28980,4226,4231,4235,2,2.65,3,8,194.9,935
CompilationBenchmarksSmallNightly,helloWorld,150,1,127.3 127.6 127.2 126.6 126.2 126.3 126.7 126.9 128.9 127.7 126.6 126.4 126.8 126.7 126 125.9 126.1 127.7 125.7 125.9,34.69,34.69,34.69,0,0,0,0,23.55,92
CompilationBenchmarksSmallNightly,implicitInductive,150,1,899.3 898.2 897.7 898.6 901.2 902.6 900.9 901.9 903.9 901.6 903.3 900.3 899.7 899.4 899.4 900 900.1 900.3 899.5 936.4,70.16,70.17,70.18,0,0,0,0,54,194
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,604.4 604.1 604.6 603.7 604.8 604.5 603.4 604.1 604.3 604.4 603.1 608.3 607.3 609.7 608.8 607.6 608.3 607.2 609.2 609.1,130.9,130.9,130.9,0,0,0,2,61.7,348
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,351.8 359.2 349.8 348.6 349.1 346.1 346 345.9 349 391 354.1 349.6 351.3 346.7 345.2 346.2 345.1 348.4 346.1 344.9,71.54,71.55,71.58,0,0,0,0,99.8,613
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,238.9 238.8 238.4 237.9 238.2 238.3 237.8 237.7 237.7 236.2 237.3 237.3 236.4 235.7 236.9 235 269.5 234.3 240 239.7,62.02,62.04,62.05,0,0,0,0,60.6,217
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,163.9 165 164.2 164.3 163.7 163.5 164.8 164.1 164.4 163.9 164.1 163 163.6 163.9 165 163.8 162.8 164.3 163.7 162.7,45.68,45.69,45.69,0,0,0,0,33.85,109
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,151.7 151.6 151 150.5 150.3 150.8 150.9 150.7 151.6 150.7 151.2 150.3 150.8 150.4 149.8 150.3 150.2 151.6 150.3 150,40.25,40.25,40.26,0,0,0,1,25.3,106
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,150.3 149.4 148.7 149.4 149.1 147.8 148.6 148.6 149.1 148.5 149 148.1 148.9 149.6 149.8 148.5 147.5 149 148.1 147,40.31,40.31,40.32,0,0,0,0,37.2,98
