suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27753 27571 27382 27186 27636 27181 26534 27393 27689 26916 27871 27871 26750 26314 26307 27072 27279 27484 26366 26948,4359,4360,4366,0,0,0,942,1115,1441
CompilationBenchmarksBigNightly,caskApp,150,1,569 566.1 566.6 566.4 566 566.5 566.7 565.1 568.8 566.9 567.5 565.8 569.5 566.3 568.9 566.9 564 566.3 564.8 563.4,123.6,123.6,123.6,0,0,0,7,104.9,372
CompilationBenchmarksBigNightly,dottyUtils,170,1,1104 1102 1103 1103 1103 1100 1104 1103 1100 1105 1100 1099 1102 1101 1203 1113 1099 1104 1144 1158,167.3,167.3,167.4,0,0,0,0,93.45,680
CompilationBenchmarksBigNightly,fansi,150,1,1323 1323 1321 1323 1477 1322 1323 1341 1315 1309 1307 1311 1332 1320 1321 1319 1320 1327 1320 1318,210.4,210.4,210.4,0,0,0,322,436.6,792
CompilationBenchmarksBigNightly,parallelCollections,100,1,4577 4577 4577 4575 4625 4574 4795 4582 4654 4663 4578 4580 4575 4602 4576 4590 4574 4572 4571 4572,613,613,613,0,0,0,1,86.85,264
CompilationBenchmarksBigNightly,re2s,120,1,1813 1816 1823 1818 1821 1819 1811 1999 1852 1822 1808 1835 1812 1809 1841 1809 1809 1825 1811 1804,265.4,265.5,265.7,0,0,0,1,226.2,1421
CompilationBenchmarksBigNightly,scalaToday,150,1,3426 3433 3335 3444 3450 3381 3428 3460 3387 3322 3319 3320 3319 3320 3320 3322 3319 3318 3319 3317,526.9,527,527,0,0,0,18,147,431
CompilationBenchmarksBigNightly,scalaYaml,80,1,4544 4547 4543 4542 4540 4549 4541 4540 4538 4542 4664 4568 4666 4645 4637 4639 4493 4483 4513 4575,583.3,583.4,583.7,0,0,0,18,186.1,496
CompilationBenchmarksBigNightly,sourcecode,170,1,917.4 923.6 955.6 918.7 918.3 916.5 929.1 921.5 915.1 917.3 913 914.5 918.5 913 913.1 913.7 912.6 912.8 912.5 919.6,173.3,173.3,173.3,0,0,0,0,90.55,364
CompilationBenchmarksBigNightly,tastyQuery,60,1,5076 5107 5102 5143 5137 5138 5127 5129 5127 5127 5123 5123 5119 5121 5153 5173 5168 5281 5173 5238,662,662,662.1,0,0,0,10,207.4,582
CompilationBenchmarksBigNightly,tictactoe,150,1,1219 1197 1218 1211 1209 1164 1155 1157 1162 1140 1147 1141 1141 1140 1139 1146 1141 1138 1147 1138,237.8,237.8,237.8,0,0,0,25,212.9,979
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,785.5 784.5 786.5 783.2 781.9 782.9 781.8 780.8 783 782 785.9 783.4 780.4 781.2 781 780.3 780.7 780.2 781.1 780.6,148.8,148.8,148.8,0,0,0,0,60.35,183
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1566 1561 1567 1561 1561 1711 1651 1608 1606 1605 1565 1558 1558 1559 1558 1559 1555 1557 1558 1557,248.5,248.7,248.7,0,0,0,12,158,523
CompilationBenchmarksBigWeekly,scalaz,60,1,28072 29101 29248 28649 29480 28894 28088 28005 27995 28882 29333 28555 29066 29250 28406 27957 27991 28833 29569 28660,4109,4109,4109,0,0,0,5,213.3,873
CompilationBenchmarksSmallNightly,helloWorld,150,1,128.6 124.4 124.1 124.1 124.4 123.5 123.9 123.4 125.6 126 124.3 123.7 124 124 123.1 123.5 123.5 124.7 122.9 122.6,39.05,39.05,39.06,0,0,0,0,22.7,95
CompilationBenchmarksSmallNightly,implicitInductive,150,1,882.4 882.1 882.5 882.1 881.6 881.6 881.8 881.7 881.5 882 880.3 881.7 880.8 880.9 881 881.1 880.6 879.5 880.5 879.9,74.37,74.38,74.38,0,0,0,2,53.95,165
