suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,27050 26930 26998 26875 26543 26501 26503 27056 26658 26488,4504,4505,4506,0,0,0,1031,1271,1589
CompilationBenchmarksBigNightly,caskApp,130,1,674.4 670.9 672.7 672.9 674.1 679.1 678.4 671.7 702.2 704.1,159.3,159.3,159.3,0,0,0,2,159.3,400
CompilationBenchmarksBigNightly,dottyUtils,170,1,1218 1215 1214 1216 1214 1215 1214 1214 1214 1211,206.2,206.2,206.2,0,0,0,2,76.9,239
CompilationBenchmarksBigNightly,fansi,140,1,1153 1152 1152 1151 1151 1152 1151 1151 1151 1152,213.8,213.8,213.8,0,0,0,271,374.2,574
CompilationBenchmarksBigNightly,parallelCollections,100,1,5026 5028 5025 5027 5023 5024 5025 5025 5023 5027,731,731,731,0,0,0,10,94.7,293
CompilationBenchmarksBigNightly,re2s,60,1,2209 2211 2206 2216 2289 2227 2380 2237 2207 2204,375.9,376,376,0,0,0,52,175,421
CompilationBenchmarksBigNightly,scalaToday,130,1,3423 3423 3423 3423 3422 3418 3419 3420 3420 3419,613.3,613.4,613.7,0,0,0,21,128.3,386
CompilationBenchmarksBigNightly,scalaYaml,40,1,4761 4762 4771 4756 4741 4746 4736 4741 4742 5127,660.5,660.5,660.6,0,0,0,79,479.8,959
CompilationBenchmarksBigNightly,sourcecode,100,1,1047 1058 1046 1046 1046 1047 1049 1047 1054 1047,207.9,207.9,208,0,0,0,10,113,335
CompilationBenchmarksBigNightly,tastyQuery,60,1,5516 5339 5341 5420 5415 5332 5330 5331 5332 5331,790.3,790.3,790.4,0,0,0,103,260.4,616
CompilationBenchmarksBigNightly,tictactoe,130,1,1411 1393 1388 1391 1389 1385 1383 1399 1392 1403,322.7,322.7,322.8,0,0,0,70,254.5,570
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1279 1279 1278 1278 1276 1276 1275 1274 1277 1277,427,427.1,427.2,0,0,0,10,102.5,274
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1726 1726 1727 1725 1724 1726 1725 1724 1740 1723,293.5,293.5,293.5,0,0,0,21,155,612
CompilationBenchmarksBigWeekly,scalaz,25,1,31488 30368 32095 32111 30720 30738 31211 30782 30590 31656,4562,4565,4566,2,2.2,3,88,489.6,1111
CompilationBenchmarksSmallNightly,helloWorld,150,1,148.5 147.9 147.6 146.6 147.4 147.6 147.1 147.2 146.4 147.8,53.2,53.2,53.2,0,0,0,0,24.2,74
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1027 1028 1027 1027 1035 1028 1027 1028 1026 1028,90.34,90.35,90.35,0,0,0,2,33,123
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,718.1 713.6 718.7 704.8 703.1 712.1 705.4 702.6 703 703.5,160.1,160.1,160.1,0,0,0,26,78.5,178
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,399.7 408.7 402.6 398.7 416.1 402.5 421.6 420.3 422.8 401.9,97.28,97.3,97.46,0,0,0,19,114.9,590
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,298.7 300 297.9 297.8 298.3 298.8 298.2 297.2 298.6 299.4,87.55,87.55,87.55,0,0,0,2,43.7,161
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,241.8 227.3 243.5 232.2 242.3 229.4 241.6 233 236.5 238.1,70.91,70.91,70.91,0,0,0,2,39.1,118
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,212.8 211.6 202.8 203.5 202.7 203.6 202.8 208.8 204 203.3,65.56,65.56,65.56,0,0,0,8,37.5,99
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,209 207.3 206.3 207.8 206.4 205.7 207.4 207.6 206.9 207.3,65.46,65.46,65.46,0,0,0,3,45.8,106
CompilationBenchmarksSmallWeekly,findRef,150,1,146.7 146.5 145.2 146.3 146.8 145.9 145.9 144.7 145.9 145.4,48.97,48.97,48.97,0,0,0,3,49.8,94
CompilationBenchmarksSmallWeekly,i1535,150,1,244.7 244.1 243.1 244 243.3 245 243.7 248.8 242.2 241.8,70.68,70.68,70.69,0,0,0,8,61.1,157
