suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,26819 26909 26765 26840 27377 26963 26644 26328 26313 26305,4546,4547,4547,0,0,0,911,1200,1608
CompilationBenchmarksBigNightly,caskApp,130,1,558.8 560.5 559.9 558.1 560.6 559.9 558.8 559.1 557.9 557.3,134.1,134.1,134.2,0,0,0,20,130.1,268
CompilationBenchmarksBigNightly,dottyUtils,170,1,1093 1091 1090 1092 1093 1091 1091 1091 1091 1090,179.3,179.3,179.3,0,0,0,7,68.9,180
CompilationBenchmarksBigNightly,fansi,140,1,1293 1293 1292 1293 1294 1293 1294 1293 1298 1293,213.4,213.4,213.4,0,0,0,357,501.1,742
CompilationBenchmarksBigNightly,parallelCollections,100,1,4586 4668 4829 4781 4586 4586 4586 4610 4584 4590,642,642,642,0,0,0,7,95.5,252
CompilationBenchmarksBigNightly,re2s,60,1,1941 1940 1938 1950 1942 1935 1939 1937 1935 1933,294.2,294.2,294.2,0,0,0,59,189.9,385
CompilationBenchmarksBigNightly,scalaToday,130,1,3380 3386 3382 3381 3424 3426 3418 3427 3438 3419,570.4,570.5,570.5,0,0,0,16,192.9,506
CompilationBenchmarksBigNightly,scalaYaml,40,1,4614 4613 4620 4604 4599 4599 4597 4595 4590 4584,608.2,608.7,608.8,0,0,0,112,454.9,701
CompilationBenchmarksBigNightly,sourcecode,100,1,959.4 939 957 961.1 960.6 951.7 919.3 915.6 915.1 912.8,184,184,184,0,0,0,10,92,349
CompilationBenchmarksBigNightly,tastyQuery,60,1,5108 5244 5106 5222 5181 5187 5163 5112 5099 5122,719.6,719.6,719.7,0,0,0,10,189.4,476
CompilationBenchmarksBigNightly,tictactoe,130,1,1154 1154 1152 1156 1153 1150 1146 1151 1147 1147,263.2,263.2,263.3,0,0,0,106,237.1,445
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1185 1188 1183 1187 1181 1183 1182 1183 1181 1176,399.6,399.7,399.7,0,0,0,18,96.7,202
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1538 1514 1515 1508 1512 1511 1508 1626 1553 1511,253.1,253.2,253.3,0,0,0,48,176.1,444
CompilationBenchmarksBigWeekly,scalaz,25,1,27103 27103 27079 26993 27136 27167 27353 27319 28706 27993,4006,4008,4013,2,2.8,3,161,498.1,1423
CompilationBenchmarksSmallNightly,helloWorld,150,1,113.3 114.6 112.5 114 113.6 113.6 113.3 113.9 113.1 113.9,38.58,38.58,38.58,0,0,0,4,19.1,43
CompilationBenchmarksSmallNightly,implicitInductive,150,1,899.3 898.2 897.9 898.1 897.8 898 896.6 896.7 917.6 916.2,76.01,76.01,76.02,0,0,0,2,70.6,178
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,668.9 588.5 587.2 586.4 609.9 588.5 585.2 585.9 598.9 586.8,116,116,116,0,0,0,12,50.6,157
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,338.5 338.7 338.6 339.9 337.1 335.1 335.1 334.7 336.6 334.1,81.42,81.43,81.46,0,0,0,20,116.7,361
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,239.9 238.6 239.7 239.7 239.2 238.8 238.6 239.1 237.7 236.4,69.08,69.09,69.09,0,0,0,3,40.7,155
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,153.7 154.8 154 154.4 154.7 153.8 153 153.9 152.9 153.8,49.09,49.09,49.09,0,0,0,1,41.9,109
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,140.7 145 141.1 141.1 140.8 140.5 140.5 141.3 140.1 146.4,44.1,44.1,44.1,0,0,0,1,19.9,85
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,146.5 145.5 145 146.4 145.7 144.5 148.6 145.3 145.2 145.8,44.11,44.11,44.11,0,0,0,0,27.9,65
