suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,60,1,27639 28063 27077 26730 26733 27045 28052 27828 27261 27271,4520,4520,4520,0,0,0,963,1068,1266
CompilationBenchmarksBigNightly,caskApp,150,1,609.1 606.5 606.4 607.7 605.4 606.2 607.7 605.9 607.9 607.5,165.3,165.3,165.3,0,0,0,12,72.2,175
CompilationBenchmarksBigNightly,dottyUtils,170,1,1156 1155 1155 1155 1154 1156 1154 1154 1154 1256,208.3,208.3,208.3,0,0,0,1,59.2,158
CompilationBenchmarksBigNightly,fansi,150,1,1375 1376 1373 1372 1374 1375 1373 1373 1379 1375,244.7,244.7,244.9,0,0,0,320,395.4,461
CompilationBenchmarksBigNightly,parallelCollections,100,1,4727 4722 4720 4722 4722 4720 4830 4720 4719 4721,687.8,687.9,687.9,0,0,0,17,79.3,231
CompilationBenchmarksBigNightly,re2s,120,1,1862 1874 1878 1877 1880 1920 1896 2003 1953 1917,332.1,332.1,332.3,0,0,0,17,155.7,512
CompilationBenchmarksBigNightly,scalaToday,150,1,3398 3398 3392 3398 3427 3427 3428 3428 3428 3428,611.7,611.8,611.8,0,0,0,24,111.9,348
CompilationBenchmarksBigNightly,scalaYaml,80,1,4628 4628 4622 4632 4623 4632 4615 4625 4619 4616,644.6,644.6,644.7,0,0,0,76,246.5,811
CompilationBenchmarksBigNightly,sourcecode,170,1,977.8 972.9 975.2 975.6 974.2 973.7 974.8 973.9 973.8 974.4,210.7,210.7,210.7,0,0,0,15,100.4,388
CompilationBenchmarksBigNightly,tastyQuery,60,1,5245 5236 5233 5243 5237 5232 5407 5230 5424 5231,759.8,759.9,760,0,0,0,25,207.5,654
CompilationBenchmarksBigNightly,tictactoe,150,1,1250 1251 1252 1305 1276 1301 1309 1292 1251 1247,326,326,326,0,0,0,67,146.1,356
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1232 1231 1230 1232 1230 1229 1229 1229 1228 1229,428.7,428.9,429,0,0,0,15,110.6,256
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1670 1647 1662 1640 1612 1602 1611 1616 1603 1601,290.9,290.9,291,0,0,0,5,173.3,505
CompilationBenchmarksBigWeekly,scalaz,60,1,29711 29346 29209 29281 28619 28799 29931 29313 28999 29928,4227,4231,4236,2,2.7,3,48,194.2,450
CompilationBenchmarksSmallNightly,helloWorld,150,1,166.9 167.2 166.5 166.3 166.6 166.5 166.2 166.8 166.5 167,65.46,65.46,65.46,0,0,0,3,16.1,40
CompilationBenchmarksSmallNightly,implicitInductive,150,1,940.9 939.2 938.2 939.2 939.2 942.5 938.5 938.6 965.8 938,106.4,106.4,106.4,0,0,0,3,52.7,137
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,649.5 649.2 651.1 649.2 650 649.5 647.6 649.8 648.7 649.2,146.3,146.3,146.3,0,0,0,5,54.1,147
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,406.4 411 404.4 407.6 405 401.2 402.4 457.8 412.4 405.1,111.1,111.1,111.1,0,0,0,9,119.4,486
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,306.5 307.4 306.5 305.7 306.3 306.5 305.2 306 305.1 301,100.9,100.9,100.9,0,0,0,0,22.6,53
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,207.1 207.4 207.4 207.3 206.4 206.6 206.7 206.8 207 207.5,79.07,79.07,79.07,0,0,0,2,36.3,116
