suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,28471 27573 27269 27087 27960 27897 27519 29037 28015 27264,4559,4560,4566,0,0,0,1100,1392,1711
CompilationBenchmarksBigNightly,caskApp,130,1,640.3 638.9 639.8 639.3 639.9 640 637.9 636.3 638.1 637.3,152.9,152.9,152.9,0,0,0,24,140.6,372
CompilationBenchmarksBigNightly,dottyUtils,170,1,1168 1167 1166 1166 1166 1165 1166 1166 1165 1306,199.8,199.9,199.9,0,0,0,0,62.7,257
CompilationBenchmarksBigNightly,fansi,140,1,1177 1169 1167 1215 1256 1174 1174 1175 1175 1171,204.5,204.5,204.5,0,0,0,360,472.6,667
CompilationBenchmarksBigNightly,parallelCollections,100,1,4831 4831 4831 4832 4829 4830 4830 4828 4839 4828,720.5,720.5,720.5,0,0,0,8,74.5,243
CompilationBenchmarksBigNightly,re2s,60,1,2156 2142 2148 2170 2160 2139 2140 2144 2144 2139,364.7,364.7,364.7,0,0,0,49,275.3,603
CompilationBenchmarksBigNightly,scalaToday,130,1,3532 3391 3387 3365 3363 3362 3358 3370 3359 3358,603.7,603.7,603.8,0,0,0,14,169.9,547
CompilationBenchmarksBigNightly,scalaYaml,40,1,4501 4495 4501 4744 4522 4683 4484 4482 4487 4472,636.3,636.8,636.9,0,0,0,102,453.4,694
CompilationBenchmarksBigNightly,sourcecode,100,1,968.2 972.3 965.6 965.8 966.2 966.5 967.5 967 968.7 967.6,200.9,200.9,200.9,0,0,0,24,125.9,309
CompilationBenchmarksBigNightly,tastyQuery,60,1,5248 5223 5233 5299 5295 5289 5288 5287 5286 5285,775.7,775.7,775.7,0,0,0,28,250.9,768
CompilationBenchmarksBigNightly,tictactoe,130,1,1283 1284 1283 1282 1282 1283 1280 1278 1279 1278,315,315,315.1,0,0,0,24,208.8,498
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1320 1318 1436 1395 1369 1561 1383 1393 1373 1403,453.6,453.7,453.7,0,0,0,1,64.1,151
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1635 1637 1702 1689 1713 1710 1848 1769 1696 1724,287.8,287.8,287.8,0,0,0,16,168.6,872
CompilationBenchmarksBigWeekly,scalaz,25,1,29479 30980 29692 29466 29918 30122 30050 29464 29492 29512,4532,4538,4563,2,2.2,3,126,451,947
CompilationBenchmarksSmallNightly,helloWorld,150,1,123.4 121.1 121.2 121.8 120.2 120.3 120.2 119.8 120.9 120.7,43.76,43.76,43.76,0,0,0,2,21.4,44
CompilationBenchmarksSmallNightly,implicitInductive,150,1,1008 1008 1007 1008 1007 1008 1013 1007 1007 1006,84.45,84.45,84.45,0,0,0,6,41.9,118
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,678.6 679.7 669.7 680.6 666.6 676.4 678.4 667.3 679.2 676.8,150.8,150.8,150.8,0,0,0,11,78.5,258
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,386.7 415.7 401.8 397.9 394.9 383 365.7 364.9 365.1 365.7,90.48,90.49,90.53,0,0,0,14,94.2,457
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,271.3 272.4 270.5 271.2 270.6 271.3 270.4 269.3 271.3 272.2,80.06,80.06,80.07,0,0,0,2,45.6,162
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,208.5 209.1 208.7 209 211.1 210.6 210.6 210.2 209.8 210.3,66.9,66.9,66.91,0,0,0,2,43.7,131
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,196.6 196.9 195.8 196.4 195.8 195.8 195.4 195.7 196.8 195.5,61.7,61.7,61.7,0,0,0,5,36.1,92
