suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigNightly,caskApp,130,1,624.7 623.9 623.9 624.6 623.5 624.2 623 619.7 622.5 619.4,153.6,153.6,153.6,0,0,0,17,137,344
CompilationBenchmarksBigNightly,dottyUtils,170,1,1160 1160 1160 1160 1159 1159 1159 1160 1159 1157,200.3,200.3,200.3,0,0,0,0,64.2,158
CompilationBenchmarksBigNightly,fansi,140,1,1119 1121 1139 1117 1117 1116 1118 1118 1116 1120,207.7,207.8,207.8,0,0,0,406,541.4,829
CompilationBenchmarksBigNightly,parallelCollections,100,1,4812 4813 4809 4813 4814 4810 4899 5119 4918 4831,720,720,720,0,0,0,11,87.4,206
CompilationBenchmarksBigNightly,re2s,60,1,2126 2108 2108 2138 2131 2156 2358 2131 2123 2131,365.1,365.1,365.1,0,0,0,61,190.2,560
CompilationBenchmarksBigNightly,scalaToday,130,1,3329 3333 3370 3361 3365 3366 3361 3346 3328 3322,611.2,611.2,611.2,0,0,0,28,205.3,622
CompilationBenchmarksBigNightly,scalaYaml,40,1,4651 4633 4580 4568 4562 4559 4594 5130 4524 4485,645.9,646,646,0,0,0,172,440.6,679
CompilationBenchmarksBigNightly,sourcecode,100,1,947.6 945.6 950.1 949.9 948 957.5 991.8 965.8 966.6 992.1,199.9,199.9,199.9,0,0,0,24,142.4,477
CompilationBenchmarksBigNightly,tastyQuery,60,1,5275 5268 5269 5269 5266 5255 5256 5253 5256 5256,775.3,775.3,775.4,0,0,0,57,252.3,610
CompilationBenchmarksBigNightly,tictactoe,130,1,1296 1301 1299 1308 1435 1360 1306 1291 1290 1291,314.3,314.3,314.4,0,0,0,27,209.2,529
CompilationBenchmarksSmallNightly,helloWorld,150,1,125.1 131.8 131 124.5 131.5 130.9 131.1 125 131.4 131.6,43.74,43.74,43.74,0,0,0,1,20.7,47
CompilationBenchmarksSmallNightly,implicitInductive,150,1,959.6 962.2 959.6 1006 956.9 954.6 965 958.7 955.6 960.1,84.62,84.62,84.62,0,0,0,7,31.7,72
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,647.3 652.7 650.8 652.6 650.6 651.1 652.9 649.3 649.9 649.1,151.8,151.8,151.8,0,0,0,13,72.4,222
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,372.7 382.2 371.2 375.5 372.1 369.8 370.4 369.1 370.8 369.2,90.51,90.52,90.55,0,0,0,17,95.6,352
