suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigNightly,caskApp,130,1,605.5 606.1 604.8 606.4 605.8 606.3 605.6 613.2 604.1 601.4,137.9,137.9,137.9,0,0,0,9,130.1,422
CompilationBenchmarksBigNightly,dottyUtils,170,1,1076 1078 1077 1077 1075 1075 1079 1079 1075 1082,171.6,171.6,171.6,0,0,0,2,63.9,220
CompilationBenchmarksBigNightly,fansi,140,1,1087 1090 1088 1087 1085 1083 1084 1085 1086 1089,184.2,184.2,184.2,0,0,0,404,524.6,844
CompilationBenchmarksBigNightly,parallelCollections,100,1,4556 4516 4541 4509 4509 4509 4510 4508 4514 4513,634.1,634.1,634.1,0,0,0,9,63.7,176
CompilationBenchmarksBigNightly,re2s,60,1,1784 1801 1793 1795 1790 1789 1784 1783 1782 1781,267.7,267.7,267.7,0,0,0,35,189.6,455
CompilationBenchmarksBigNightly,scalaToday,130,1,3228 3228 3225 3226 3262 3259 3262 3259 3261 3225,559.6,559.6,559.6,0,0,0,28,198.6,582
CompilationBenchmarksBigNightly,scalaYaml,40,1,4285 4282 4286 4279 4276 4272 4266 4267 4262 4260,571.5,571.6,571.7,0,0,0,148,443.3,619
CompilationBenchmarksBigNightly,sourcecode,100,1,894.2 883.9 892.6 894.7 893.7 893.9 892.2 890.3 889.9 889.1,170.3,170.3,170.3,0,0,0,2,97.7,325
CompilationBenchmarksBigNightly,tastyQuery,60,1,5101 5105 5094 5031 5026 5019 5018 5016 5016 5016,683.8,683.9,683.9,0,0,0,26,232,598
CompilationBenchmarksBigNightly,tictactoe,130,1,1090 1092 1092 1088 1088 1092 1089 1086 1089 1087,244.5,244.5,244.6,0,0,0,6,148,451
CompilationBenchmarksSmallNightly,helloWorld,150,1,82.73 86.66 81.07 83.41 85.81 86.27 84.18 87.23 84.48 95.56,23.76,23.76,23.76,0,0,0,1,23.3,53
CompilationBenchmarksSmallNightly,implicitInductive,150,1,977.1 981.3 981.4 986.3 972.1 969.9 980.4 976.4 982.3 980.2,66.16,66.17,66.17,0,0,0,9,46.2,132
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,634.4 633.7 633.7 635.2 634.1 633 633.1 634.3 634.7 633.4,144.4,144.4,144.4,0,0,0,20,74.8,255
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,312.3 323 314.5 315.2 312.1 311.7 311.4 310.8 312.6 311.5,70.52,70.53,70.57,0,0,0,11,126.7,754
