suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,25383 24882 24890 24899 25024 25425 25314 25400 25253 25415,4290,4291,4297,0,0,0,1121,1393,1627
CompilationBenchmarksBigNightly,caskApp,130,1,607 607.4 605.7 605.8 606.4 605.7 605.4 602.6 605.7 603.4,137.8,137.8,137.8,0,0,0,10,125.9,345
CompilationBenchmarksBigNightly,dottyUtils,170,1,1056 1056 1057 1057 1056 1056 1055 1055 1055 1056,171.4,171.4,171.4,0,0,0,5,61.5,204
CompilationBenchmarksBigNightly,fansi,140,1,1071 1075 1070 1070 1082 1072 1070 1070 1069 1068,185.8,185.9,186,0,0,0,360,465.6,634
CompilationBenchmarksBigNightly,parallelCollections,100,1,4569 4573 4570 4573 4571 4570 4570 4571 4567 4574,637.5,637.5,637.6,0,0,0,10,74.1,214
CompilationBenchmarksBigNightly,re2s,60,1,1830 1817 1816 1823 1823 1818 1818 1819 1817 1786,269.2,269.2,269.2,0,0,0,54,247.1,631
CompilationBenchmarksBigNightly,scalaToday,130,1,3183 3195 3428 3331 3198 3196 3181 3188 3181 3179,556.5,556.5,556.5,0,0,0,20,168.4,545
CompilationBenchmarksBigNightly,scalaYaml,40,1,4179 4168 4222 4209 4204 4203 4198 4197 4195 4192,574.1,574.2,574.3,0,0,0,143,416.4,624
CompilationBenchmarksBigNightly,sourcecode,100,1,867.9 872.1 866.6 866.1 865.4 866.6 866.1 866.6 868.5 865.5,170.1,170.1,170.1,0,0,0,34,106.1,365
CompilationBenchmarksBigNightly,tastyQuery,60,1,5021 5022 5019 5085 5078 5176 5072 5294 5155 5135,689.6,689.7,689.7,0,0,0,56,254,469
CompilationBenchmarksBigNightly,tictactoe,130,1,1112 1119 1112 1119 1118 1109 1109 1112 1107 1111,244.3,244.3,244.4,0,0,0,31,216,560
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1219 1217 1216 1220 1350 1343 1228 1217 1213 1213,422,422.2,422.3,0,0,0,13,83.7,189
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1514 1502 1499 1496 1504 1497 1496 1494 1496 1495,246.3,246.3,246.4,0,0,0,11,120.3,500
CompilationBenchmarksBigWeekly,scalaz,25,1,27451 27553 27502 27753 28182 27871 27569 27720 27915 27993,4109,4110,4112,2,2.7,3,138,367.7,703
CompilationBenchmarksSmallNightly,helloWorld,150,1,83.76 84.66 83.36 83.67 83.55 82.84 83.11 83.3 83.83 82.49,23.72,23.72,23.72,0,0,0,0,23.9,51
CompilationBenchmarksSmallNightly,implicitInductive,150,1,901.9 901.7 902.8 900.9 902.1 901.7 902.8 901.8 903.1 901,66,66,66,0,0,0,21,37.7,50
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,638.1 636.4 637.3 636.3 637.1 636.7 636.5 639.2 635 634.5,145.1,145.1,145.1,0,0,0,23,70.8,244
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,312.8 326.5 312.4 306.5 309 308.2 308 308.1 307.5 309.9,71.69,71.7,71.73,0,0,0,7,92.6,543
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,212.6 212.4 211.8 212.4 211.8 212.3 217.3 214 212.2 212.9,59.4,59.4,59.41,0,0,0,0,39.9,173
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,131.7 131.5 131 131.6 131 130.8 131.2 131.4 131.3 131.2,38.23,38.23,38.23,0,0,0,0,20,51
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,119.6 117.3 118.4 118.5 118.5 118 118.4 118 115.9 119.6,33.03,33.04,33.04,0,0,0,0,21.8,63
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,115.6 116.9 116.8 116.3 117.3 117.1 117.1 115.9 115.6 117.2,32.88,32.88,32.88,0,0,0,4,25,43
CompilationBenchmarksSmallWeekly,findRef,150,1,83.22 83.26 82.03 83.21 81.96 82.27 82.43 80.86 81.55 86.16,22.91,22.91,22.92,0,0,0,0,18.4,42
