suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,25423 25474 25436 25310 25295 25320 25481 24997 24890 24875,4237,4237,4238,0,0,0,1059,1286,1554
CompilationBenchmarksBigNightly,caskApp,130,1,607.3 605.5 606 606.7 604.8 605.3 604.5 601 604.6 610.9,136.3,136.3,136.3,0,0,0,2,141.9,345
CompilationBenchmarksBigNightly,dottyUtils,170,1,1055 1054 1053 1054 1053 1052 1053 1053 1053 1053,166.7,166.7,166.7,0,0,0,1,61.8,208
CompilationBenchmarksBigNightly,fansi,140,1,1069 1075 1070 1069 1068 1071 1069 1069 1068 1072,182,182,182.2,0,0,0,295,396,541
CompilationBenchmarksBigNightly,parallelCollections,100,1,4567 4567 4569 4578 4564 4562 4565 4511 4647 4686,615.7,615.8,615.8,0,0,0,8,71.4,154
CompilationBenchmarksBigNightly,re2s,60,1,1906 1906 2470 1877 1815 1803 1983 1829 1806 1802,260.9,260.9,260.9,0,0,0,43,226.6,641
CompilationBenchmarksBigNightly,scalaToday,130,1,3206 3205 3205 3205 3203 3201 3202 3199 3202 3202,545,545.1,545.1,0,0,0,15,153.8,509
CompilationBenchmarksBigNightly,scalaYaml,40,1,4273 4380 4360 4387 4281 4247 4297 4239 4234 4232,563.4,563.5,563.6,0,0,0,165,464.9,615
CompilationBenchmarksBigNightly,sourcecode,100,1,863.1 857.3 892.6 891.5 864.6 870.7 849 853.4 894.9 892.8,165.7,165.7,165.7,0,0,0,11,138.9,573
CompilationBenchmarksBigNightly,tastyQuery,60,1,5059 5043 5044 5061 5118 5201 5044 4999 4995 4985,668.7,668.7,668.7,0,0,0,21,245.7,558
CompilationBenchmarksBigNightly,tictactoe,130,1,1084 1082 1084 1082 1080 1082 1081 1079 1081 1080,238.4,238.4,238.4,0,0,0,11,157.1,419
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1212 1207 1207 1212 1206 1207 1206 1208 1206 1205,426.2,426.3,426.4,0,0,0,3,64.6,200
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1488 1507 1509 1494 1496 1498 1492 1507 1493 1489,239.9,239.9,239.9,0,0,0,14,128.1,506
CompilationBenchmarksBigWeekly,scalaz,25,1,28102 29329 28801 27920 29188 29210 28035 28065 28352 28622,3980,3980,3980,0,0,0,220,382.1,683
CompilationBenchmarksSmallNightly,helloWorld,150,1,67.41 67.46 66.38 65.83 67.44 67.29 65.73 66.15 65.84 67.72,20.32,20.32,20.32,0,0,0,4,23.9,47
CompilationBenchmarksSmallNightly,implicitInductive,150,1,882.1 881.5 881.4 912.5 890.3 883.4 900.5 882.8 882.5 880.8,63.43,63.43,63.43,0,0,0,12,46.6,179
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,610.1 608.8 608.8 609.1 609.4 608.5 608.1 608.2 609.6 609,114.1,114.1,114.1,0,0,0,7,65.6,200
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,309.7 307.2 300.2 301.6 295.7 294.7 293.8 294 293 294.5,68.11,68.12,68.14,0,0,0,10,100.1,294
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,201.8 202.5 201.8 202.4 199.1 199.9 199.2 198.5 199.9 201.2,57.93,57.93,57.93,0,0,0,2,29.1,66
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,126.8 127.8 126.4 126.1 127.2 126.7 125.2 126.8 123.9 124.7,36.32,36.32,36.32,0,0,0,1,19.2,94
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,109 106.8 106.7 108.5 108 108.4 117.7 107.7 105.8 109.3,30.95,30.95,30.96,0,0,0,0,18.7,45
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,105.7 106.6 105.5 105.1 106.4 105.4 105.4 105 104.9 105.4,30.92,30.92,30.92,0,0,0,1,21.1,43
CompilationBenchmarksSmallWeekly,findRef,150,1,70.43 69.39 69.07 69.69 68.76 68.72 69.18 69.34 68.6 68.41,20.05,20.05,20.06,0,0,0,0,13.4,42
CompilationBenchmarksSmallWeekly,i1535,150,1,156.9 156.6 156.5 155.8 156.4 155.3 154.4 156.5 152.9 156.4,42.69,42.69,42.69,0,0,0,12,66.3,163
CompilationBenchmarksSmallWeekly,i1687,150,1,66.84 66.48 66.43 70.59 65.01 65.1 64.4 65.4 65.03 64.9,19.18,19.18,19.18,0,0,0,0,15.7,53
CompilationBenchmarksSmallWeekly,implicitCache,150,1,92.06 91.51 91.38 91.02 91.06 90.25 91.47 91.06 90.63 91.66,27.65,27.65,27.65,0,0,0,2,13.5,33
CompilationBenchmarksSmallWeekly,implicitNums,150,1,294.3 302.1 302.7 306.9 294.9 301.3 300.2 301.6 297.8 298.2,69.93,69.93,69.93,0,0,0,0,24.7,131
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,94.9 94.29 94.77 94.26 94.5 93.37 94.2 93.44 93.49 94.38,28.12,28.12,28.12,0,0,0,1,17.4,42
CompilationBenchmarksSmallWeekly,tuple,150,1,194.5 204.2 192.8 195.5 197.3 209.1 204 196.3 211.3 205.5,57.05,57.06,57.07,0,0,0,2,44.1,134
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,143.7 143.5 142.3 143.5 142.8 142.7 143 142.6 142.4 143.5,46.48,46.48,46.49,0,0,0,0,22.8,72
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,181.9 182.6 181.8 180.6 182.7 181.9 186.9 183 183.2 192.2,60.47,60.47,60.47,0,0,0,0,21.9,71
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,96.44 79.2 76.56 76.65 76.4 75.35 75.17 75.43 74.51 75.49,25.59,25.59,25.59,0,0,0,1,17.8,47
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,134.6 134.2 161.8 137.4 137 135.5 134.8 136.4 134.8 134.7,43.14,43.14,43.14,0,0,0,6,33,78
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,212.5 200.5 208 202.1 199.2 199.7 198.6 199.7 196.7 199.8,60.43,60.44,60.44,0,0,0,0,46.4,121
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,69.17 69.54 69 68.9 69.69 69.8 70.01 69.82 68.96 68.77,20.39,20.39,20.39,0,0,0,1,17.8,44
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5225 5093 5232 5146 5055 5050 5047 5048 5045 5045,664.8,664.9,664.9,0,0,0,15,197.6,493
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.63 21.53 21.45 21.52 21.56 21.28 21.75 21.46 21.64 21.65,3.623,3.623,3.623,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,12.66 12.63 12.7 12.71 12.65 12.69 12.64 12.66 12.71 12.63,1.813,1.813,1.813,0,0,0,0,0.3,2
RuntimeBenchmarksAwfyWeekly,cd,20,1,25.44 25.46 25.51 25.43 25.43 25.52 25.77 25.45 25.61 25.41,31.11,31.11,31.11,0,0,0,0,1.4,4
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,22.59 22.53 22.53 22.38 22.3 22.26 22.34 22.29 22.3 22.3,16.26,16.26,16.27,0,0,0,0,0.6,3
RuntimeBenchmarksAwfyWeekly,gcbench,30,1,138.3 138.6 138.2 138.4 138.4 138.5 138.3 137.9 138.1 138.3,490.4,490.4,490.4,0,0,0,0,0.7,4
RuntimeBenchmarksAwfyWeekly,json,10,10,14.7 14.73 14.76 14.74 14.73 14.74 14.77 14.76 14.73 14.78,16.53,16.53,16.53,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,157.9 154.5 154.4 154.1 154.2 154.4 154.2 154.1 154.8 154,23.26,23.26,23.26,0,0,0,0,1.8,4
RuntimeBenchmarksAwfyWeekly,list,10,1000,69.89 69.91 70.44 71.39 70.17 70.45 70.44 70.19 70.45 70.42,0.7268,0.7268,0.7268,0,0,0,0,0.4,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 151 150.6 150.6 150.6 150.6,0.006784,0.006784,0.006784,0,0,0,0,1.2,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,382.3 382.2 382.1 382 382.3 384.4 382.2 382.3 382.2 382.3,0.01078,0.01078,0.01078,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,permute,10,1000,76.85 76.83 76.82 77.04 76.76 76.8 76.71 76.79 76.82 76.75,134.1,134.1,134.1,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.82 29.73 29.72 29.47 29.64 29.78 29.6 29.62 29.55 29.37,1.367,1.367,1.367,0,0,0,0,0.6,4
RuntimeBenchmarksAwfyWeekly,richards,10,1000,103.1 103 103.1 103.1 103 102.5 103.1 103.1 106.1 103.3,0.9828,0.9828,0.9828,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,tracer,20,100,62.27 61.93 62.23 61.66 61.8 61.81 61.99 61.61 86.99 86.86,139.3,139.3,139.3,0,0,0,0,1.2,6
RuntimeBenchmarksLibsWeekly,fansiFormat,40,1,20.76 20.74 20.76 20.77 20.81 20.76 20.83 20.77 20.75 20.7,37.36,37.36,37.36,0,0,0,0,0.2,2
RuntimeBenchmarksLibsWeekly,wordFreqParser,40,1,37.27 37.25 37.19 37.19 37.24 37.41 37.2 38.79 37.54 37.23,71.2,71.2,71.2,0,0,0,0,0.8,6
RuntimeBenchmarksLibsWeekly,yamlDecode,40,1,207.1 175.4 175.2 175.3 175.1 175.3 183.3 179.1 175.2 175,383.1,383.1,383.1,0,0,0,0,1.1,8
RuntimeBenchmarksLibsWeekly,yamlEncode,40,1,50.91 50.95 61.19 52.07 50.97 50.83 50.9 50.9 50.81 50.82,80.58,80.58,80.58,0,0,0,0,0.4,4
RuntimeBenchmarksOptimizerSmallWeekly,ary,40,10,8.528 8.534 8.527 8.521 8.521 8.521 8.529 8.529 8.556 8.532,0.3672,0.3672,0.3672,0,0,0,0,0.5,4
RuntimeBenchmarksOptimizerSmallWeekly,ary2,30,10,127.1 127.1 127.1 127 127.1 127 127 127 127.6 127,350.4,350.4,350.4,0,0,0,0,0.7,4
RuntimeBenchmarksOptimizerSmallWeekly,matMul,30,10,22.23 22.23 22.25 22.22 22.21 22.21 22.23 22.26 22.25 22.24,6.568,6.568,6.568,0,0,0,0,0.7,3
RuntimeBenchmarksOptimizerSmallWeekly,meteor,40,1,410.7 410.8 410.8 410.9 411.4 412.2 415 414.3 414.2 413,222.2,222.2,222.2,0,0,0,0,0.4,2
RuntimeBenchmarksOptimizerSmallWeekly,nestedLoop,30,10,25.97 25.91 25.98 26 26.12 26.32 26.06 26.1 26.07 25.98,5.613,5.613,5.613,0,0,0,0,0.3,1
RuntimeBenchmarksOptimizerSmallWeekly,nestedLoop2,30,10,74.95 74.9 74.92 74.9 74.87 74.91 75.03 78.02 79.88 74.78,96.1,96.1,96.1,0,0,0,0,0.9,4
