suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,25299 25252 25566 25420 25450 25492 25555 25740 26040 25549,4559,4561,4561,0,0,0,917,1139,1395
CompilationBenchmarksBigNightly,caskApp,130,1,617.6 619 701 613.9 648 608.9 608.7 613.3 607.9 609.3,140.4,140.4,140.4,0,0,0,20,143.8,368
CompilationBenchmarksBigNightly,dottyUtils,170,1,1079 1083 1083 1080 1083 1133 1099 1075 1068 1073,172.8,172.8,172.8,0,0,0,0,59.3,169
CompilationBenchmarksBigNightly,fansi,140,1,1120 1131 1111 1111 1127 1127 1136 1119 1120 1110,193,193,193,0,0,0,454,591.4,991
CompilationBenchmarksBigNightly,parallelCollections,100,1,4647 4656 4503 4490 4497 4498 4492 4486 4484 4485,633,633,633,0,0,0,8,72.3,132
CompilationBenchmarksBigNightly,re2s,60,1,1799 1798 1806 1827 1816 1808 1807 1808 1808 1940,270.1,270.2,270.2,0,0,0,51,228.1,515
CompilationBenchmarksBigNightly,scalaToday,130,1,3191 3188 3186 3190 3188 3185 3207 3186 3188 3186,559.3,559.4,559.8,0,0,0,15,230.6,677
CompilationBenchmarksBigNightly,scalaYaml,40,1,4327 4299 4283 4289 4262 4261 4259 4257 4273 4477,573.7,573.8,574.1,0,0,0,147,409.6,616
CompilationBenchmarksBigNightly,sourcecode,100,1,877.4 921.6 875.6 874.8 873 875.1 877.7 872.6 876 873.5,171.7,171.7,171.7,0,0,0,19,122.9,331
CompilationBenchmarksBigNightly,tastyQuery,60,1,5069 5000 4999 4996 5003 5054 5054 5053 4995 5123,689.5,689.6,689.6,0,0,0,18,236.3,892
CompilationBenchmarksBigNightly,tictactoe,130,1,1093 1091 1093 1091 1089 1090 1089 1088 1089 1088,247.1,247.1,247.2,0,0,0,38,172.3,456
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1222 1229 1226 1232 1225 1225 1223 1226 1223 1227,423.2,423.3,423.4,0,0,0,10,71.2,177
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1521 1522 1525 1521 1520 1521 1525 1518 1522 1517,246.9,246.9,246.9,0,0,0,11,127.3,481
CompilationBenchmarksBigWeekly,scalaz,25,1,28597 28159 27757 28526 28579 27603 27794 27872 27826 28917,4062,4069,4097,2,2.3,3,123,398.2,776
CompilationBenchmarksSmallNightly,helloWorld,150,1,83.61 85 82.97 83.46 83.35 82.53 82.97 83.48 86.35 88.94,24.06,24.06,24.06,0,0,0,0,22,45
CompilationBenchmarksSmallNightly,implicitInductive,150,1,898.6 898.7 898.2 898.9 898.3 898.1 898.3 897.7 898.2 898.8,66.7,66.7,66.71,0,0,0,5,47.8,136
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,623.4 623.1 623.4 622.7 623.3 623.5 623.7 623.5 622.7 624,146.4,146.4,146.4,0,0,0,4,77.9,258
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,317.4 322.9 316.1 317.6 314.7 314.4 314.5 313.5 315.4 313.2,72.19,72.2,72.23,0,0,0,12,83.1,367
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,212.3 212 211.4 212 211.3 212.4 211.7 210.6 220 213.3,60.67,60.67,60.67,0,0,0,2,37.1,163
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,131.3 131.5 131.7 132.4 131.5 130.7 131.5 131.7 132.4 132.4,38.56,38.56,38.57,0,0,0,0,31.4,106
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,120.9 119.4 120.1 120.3 119.9 120.3 120 120.4 116.7 121,33.26,33.26,33.26,0,0,0,3,23.3,66
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,118.9 118.6 118.2 119.7 119.2 118.3 118.8 118.6 118.6 118.6,33.29,33.29,33.29,0,0,0,2,24.4,55
CompilationBenchmarksSmallWeekly,findRef,150,1,83.18 82.68 82.03 82.18 82.4 81.84 81.3 81.66 81.37 81.92,23.25,23.25,23.26,0,0,0,1,23.4,78
CompilationBenchmarksSmallWeekly,i1535,150,1,169.8 171.2 171.3 171.1 171.3 166.3 167.3 172.5 166.1 170.1,44.81,44.81,44.81,0,0,0,10,69.2,147
CompilationBenchmarksSmallWeekly,i1687,150,1,76.07 78.07 78.33 76.73 76.54 75.85 77.07 76.42 80.97 79.99,22.88,22.88,22.88,0,0,0,1,18.8,42
CompilationBenchmarksSmallWeekly,implicitCache,150,1,111.1 107.2 105.5 112.6 105.3 112 110.8 110.8 112.1 104.9,30.61,30.61,30.61,0,0,0,3,16.8,50
CompilationBenchmarksSmallWeekly,implicitNums,150,1,312 309.5 309.1 309.2 308.7 316.9 308.5 308.4 310.5 309.3,73.48,73.48,73.48,0,0,0,0,30.1,162
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,112.1 112.2 113.2 112.4 111.6 112.5 112 111.8 114.5 113.8,31.02,31.02,31.02,0,0,0,5,36.5,68
CompilationBenchmarksSmallWeekly,tuple,150,1,210.1 210.6 210.4 208 217.3 211.1 210.3 209.8 213 215.3,62.07,62.07,62.08,0,0,0,6,37.8,119
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,176.3 177.6 177.2 176.8 170.2 166.6 172.8 163.5 172.7 174.3,51.57,51.57,51.57,0,0,0,2,24.3,93
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,200.9 200.4 201.7 202.8 202.8 202.7 202.3 201.7 201.3 200.9,66.18,66.18,66.18,0,0,0,4,41.2,144
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,93.06 93.31 92.45 93.95 93.35 91.78 91.87 91.87 92.73 92.8,29.23,29.23,29.23,0,0,0,2,13.8,36
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,155.1 154.5 155.4 155.6 154.8 153.8 154.5 152.9 153.5 152.7,48.44,48.44,48.44,0,0,0,3,42.5,99
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,217.3 217.4 216.7 214.3 216 216.7 216.4 216.6 214.8 216.7,64.92,64.92,64.92,0,0,0,0,42.6,147
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,85.89 85.95 85.72 85.82 86.01 85.89 85.59 85.73 85.46 84.77,24.14,24.14,24.14,0,0,0,2,24.5,63
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,4994 5089 4992 5313 5026 5030 4987 4977 4974 4975,683.8,683.8,683.9,0,0,0,13,209.1,533
