suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,25631 25598 25702 25775 25230 25249 25022 25039 25217 25771,4256,4258,4264,0,0,0,1148,1429,1783
CompilationBenchmarksBigNightly,caskApp,130,1,606.7 608.4 607.1 606.9 606.6 604.3 604.1 608.4 604.4 605.9,136.5,136.5,136.5,0,0,0,16,138.2,334
CompilationBenchmarksBigNightly,dottyUtils,170,1,1048 1049 1049 1048 1048 1048 1048 1048 1052 1050,168,168,168,0,0,0,0,55.9,203
CompilationBenchmarksBigNightly,fansi,140,1,1071 1070 1071 1070 1070 1070 1069 1070 1070 1069,183.5,183.6,183.6,0,0,0,408,522.3,777
CompilationBenchmarksBigNightly,parallelCollections,100,1,4468 4466 4469 4468 4467 4468 4467 4482 4583 4635,618.8,618.8,618.8,0,0,0,7,64,181
CompilationBenchmarksBigNightly,re2s,60,1,1742 1742 1741 1777 1770 1761 1757 1759 1758 1757,261.8,261.8,261.8,0,0,0,46,232.7,563
CompilationBenchmarksBigNightly,scalaToday,130,1,3215 3214 3214 3215 3214 3210 3213 3212 3214 3211,543.9,544,544.4,0,0,0,34,192,571
CompilationBenchmarksBigNightly,scalaYaml,40,1,4261 4257 4272 4255 4304 4302 4299 4296 4292 4288,560.3,560.5,560.5,0,0,0,151,432.7,588
CompilationBenchmarksBigNightly,sourcecode,100,1,861.6 864.4 863 859.9 869 860 859.3 859.1 861.3 858.4,167,167,167,0,0,0,49,123.9,349
CompilationBenchmarksBigNightly,tastyQuery,60,1,5011 5121 5092 5078 5119 5009 5011 5012 5038 4999,668,668,668.1,0,0,0,30,193.6,432
CompilationBenchmarksBigNightly,tictactoe,130,1,1087 1087 1087 1084 1083 1084 1084 1082 1082 1082,240.2,240.3,240.3,0,0,0,10,139.6,440
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1237 1237 1236 1236 1235 1235 1233 1233 1235 1235,427.8,428,428.1,0,0,0,4,66.1,151
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1541 1525 1524 1515 1515 1515 1527 1511 1513 1514,241.9,241.9,242,0,0,0,11,119.9,497
CompilationBenchmarksBigWeekly,scalaz,25,1,28212 28471 29009 29276 28877 29112 30503 28394 28081 28539,3971,3975,3981,2,2.3,3,229,393.1,758
CompilationBenchmarksSmallNightly,helloWorld,150,1,81.86 82.82 82.38 81.46 81.82 81.62 81.26 81.63 80.82 82.73,23.17,23.17,23.18,0,0,0,0,18.2,40
CompilationBenchmarksSmallNightly,implicitInductive,150,1,895.3 895.5 894.3 895.8 893.7 894.6 894.2 894.3 894.9 893.7,64.52,64.52,64.53,0,0,0,8,49.9,131
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,612.9 612.6 614.2 613.1 613.5 612.6 614 613 614.5 612.2,115.4,115.4,115.4,0,0,0,4,70,230
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,349.3 332.6 332.9 334.3 328.4 328.5 329 327.4 330.8 325.3,70.6,70.61,70.64,0,0,0,7,153.7,781
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,214.3 214.3 214.9 214.9 214.5 214.7 214.7 213.5 214.4 216.3,59.4,59.4,59.4,0,0,0,0,39.9,163
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,135.1 135.1 135.2 134.6 135 135 133.6 134.2 139.8 133.7,37.77,37.77,37.77,0,0,0,0,22.4,60
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,121.3 118.9 119.6 119.8 119.6 119.6 119.7 120.2 117.8 121.4,32.43,32.43,32.43,0,0,0,0,20.4,65
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,125.6 125.4 124.5 124.9 124.6 126.2 125.6 125.3 125.9 119.3,32.35,32.35,32.35,0,0,0,0,28.4,70
CompilationBenchmarksSmallWeekly,findRef,150,1,81.24 81.57 80.53 82.24 81.21 80.88 80.09 80.54 80.75 80.93,22.42,22.42,22.43,0,0,0,0,16.9,56
CompilationBenchmarksSmallWeekly,i1535,150,1,168.2 166.7 167.4 166.6 167.1 174.1 163 165.1 162 165.3,43.63,43.63,43.64,0,0,0,11,64.6,149
CompilationBenchmarksSmallWeekly,i1687,150,1,78.99 79.08 78.19 78.19 79.17 78.76 78.6 78.08 78.07 79.59,22.08,22.08,22.08,0,0,0,0,11.8,29
CompilationBenchmarksSmallWeekly,implicitCache,150,1,108.1 108.3 109.2 109.1 107.6 107.6 107.5 108.2 109.1 108,29.83,29.83,29.83,0,0,0,1,13,48
CompilationBenchmarksSmallWeekly,implicitNums,150,1,322.4 322.4 321.9 326 320.9 323.6 321.2 320.8 325 322.1,72.21,72.21,72.21,0,0,0,0,26.4,135
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,118 113.9 113.6 113.2 112.6 112.7 112.6 112.8 113.6 111.8,30.25,30.25,30.25,0,0,0,5,31.4,59
CompilationBenchmarksSmallWeekly,tuple,150,1,209.2 209.3 208.9 236.7 209.2 219.5 231.2 207.4 206.4 206.4,60.04,60.04,60.05,0,0,0,8,38.4,124
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,161.2 160.5 160.1 159.9 159.3 159.6 160 159.9 159.6 160.6,49.91,49.91,49.91,0,0,0,4,27.4,80
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,196.2 197.5 197.9 197.3 207.8 195.4 195 195.9 194.5 195.2,63.87,63.87,63.88,0,0,0,3,36.2,125
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,91.29 92.74 91.58 91.95 91.82 90.58 90.68 91.24 91.3 90.85,28.52,28.52,28.52,0,0,0,2,20.7,49
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,151.3 152.8 152.5 151.4 152.8 150.6 152.5 152.8 152.4 152.1,46.94,46.94,46.94,0,0,0,0,28.7,64
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,228.1 230.6 229 231.3 231.4 228.9 227.1 227.8 228.3 227.1,63.18,63.18,63.18,0,0,0,0,51.2,158
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,89.13 89.85 90.44 90.28 90.72 90.6 89.37 101.4 90.42 88.28,23.26,23.26,23.27,0,0,0,1,17.2,60
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5241 5086 5036 5082 5075 5065 5063 5063 5068 5064,670.2,670.3,670.3,0,0,0,11,216.5,688
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.51 21.59 21.5 21.45 21.51 21.43 21.48 21.38 21.44 21.28,3.623,3.623,3.623,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,12.64 12.71 12.67 12.66 12.72 12.69 12.65 12.7 12.67 12.65,1.813,1.813,1.813,0,0,0,0,0.8,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,25.62 25.56 25.55 25.56 25.51 25.7 25.88 25.66 25.59 25.53,31.11,31.11,31.11,0,0,0,0,1.7,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,22.49 22.41 22.48 22.26 22.22 22.19 22.19 22.19 22.2 22.19,16.26,16.26,16.27,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,gcbench,30,1,139.7 139.5 139.4 139.5 139.4 139.5 139.9 140.7 139.4 140.3,490.4,490.4,490.4,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,json,10,10,14.62 14.75 14.65 14.69 14.6 14.66 14.88 14.7 14.62 14.9,16.53,16.53,16.53,0,0,0,0,0.8,2
