suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,26823 26901 26186 26203 26767 26915 26864 27027 26586 26747,4556,4557,4557,0,0,0,1137,1372,1659
CompilationBenchmarksBigNightly,caskApp,130,1,643.8 643.4 639.6 637.4 639.4 639.7 636.6 638.5 634.6 657.2,153.5,153.5,153.5,0,0,0,8,205.6,587
CompilationBenchmarksBigNightly,dottyUtils,170,1,1205 1182 1178 1182 1182 1198 1247 1210 1236 1241,200.1,200.1,200.1,0,0,0,0,75.3,273
CompilationBenchmarksBigNightly,fansi,140,1,1092 1096 1094 1092 1094 1217 1102 1094 1091 1095,204.6,204.6,204.7,0,0,0,371,458.6,579
CompilationBenchmarksBigNightly,parallelCollections,100,1,4925 4895 4862 4864 4862 4863 4865 4862 4862 4863,720,720.1,720.1,0,0,0,9,73.4,158
CompilationBenchmarksBigNightly,re2s,60,1,2142 2121 2119 2131 2154 2146 2186 2201 2172 2174,364,364,364,0,0,0,34,176.4,487
CompilationBenchmarksBigNightly,scalaToday,130,1,3335 3339 3349 3449 3471 3432 3465 3474 3485 3476,604.7,604.7,604.7,0,0,0,17,190.3,609
CompilationBenchmarksBigNightly,scalaYaml,40,1,4474 4471 4483 4467 4461 4460 4526 4583 4554 4578,639,639.1,639.3,0,0,0,100,423.7,695
CompilationBenchmarksBigNightly,sourcecode,100,1,1048 979.5 974.1 971.2 972.5 972.7 978 972.8 978.8 972.4,200.8,200.8,200.8,0,0,0,23,158.8,574
CompilationBenchmarksBigNightly,tastyQuery,60,1,5302 5301 5311 5310 5302 5295 5296 5292 5294 5297,783.7,783.8,783.8,0,0,0,57,237,537
CompilationBenchmarksBigNightly,tictactoe,130,1,1403 1397 1401 1396 1395 1402 1399 1396 1400 1386,317.4,317.5,317.6,0,0,0,24,231.9,532
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1324 1325 1324 1427 1496 1334 1322 1326 1322 1321,454.3,454.4,454.6,0,0,0,0,68.8,170
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1669 1670 1673 1650 1650 1654 1650 1670 1648 1644,288.2,288.2,288.2,0,0,0,44,195.3,813
CompilationBenchmarksBigWeekly,scalaz,25,1,29433 29327 29609 29299 29337 30560 29624 29907 30215 29463,4519,4522,4524,2,2.1,3,197,496.2,960
CompilationBenchmarksSmallNightly,helloWorld,150,1,120.8 120.6 120.4 120 120.1 120 120.2 120.1 119.9 120.8,43.88,43.88,43.88,0,0,0,1,18.3,44
CompilationBenchmarksSmallNightly,implicitInductive,150,1,992.6 1027 1001 989.3 990.3 993.5 1015 991.1 989.9 989.5,84.85,84.86,84.86,0,0,0,3,40.1,149
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,660.6 661.1 661 655.5 655 655 654.5 660.5 659.9 661.1,151.7,151.7,151.7,0,0,0,1,55.8,169
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,400.1 418.1 402.8 399.6 395.8 395.8 397.5 395.3 400.6 395.6,90.85,90.88,91.02,0,0,0,16,105.8,442
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,264.5 264.1 264.6 264.8 264.8 264.3 265.1 263.6 264.3 263.1,80.34,80.35,80.35,0,0,0,0,44.4,172
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,207.3 207.9 208.8 208.9 207.6 207.5 207 207.1 208.3 208.2,67.27,67.27,67.27,0,0,0,3,49.9,124
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,198.5 198.8 197.6 198.4 198 198.7 197.5 204.1 199.2 197.7,62,62,62.01,0,0,0,3,36.7,106
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,191.6 192.2 191.9 191.9 191.9 192.2 191.6 191.1 190.8 191.6,61.96,61.96,61.97,0,0,0,11,55.5,130
CompilationBenchmarksSmallWeekly,findRef,150,1,120.5 120.2 120.1 119.8 120.4 120.4 119.7 119.9 119.2 120.4,42.81,42.81,42.81,0,0,0,3,38.7,99
