suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,25363 25374 25360 25417 25935 25951 26214 26099 25816 25397,4341,4342,4348,0,0,0,1187,1446,1769
CompilationBenchmarksBigNightly,caskApp,130,1,661.2 647.3 637.7 672.7 659.2 646.1 656.2 633.3 741.7 694.3,145.5,145.6,145.6,0,0,0,6,119.3,333
CompilationBenchmarksBigNightly,dottyUtils,170,1,1088 1077 1077 1076 1075 1075 1078 1078 1075 1077,175.2,175.2,175.3,0,0,0,6,74.8,195
CompilationBenchmarksBigNightly,fansi,140,1,1070 1074 1071 1070 1071 1069 1073 1071 1072 1073,193.5,193.6,193.6,0,0,0,423,504.2,647
CompilationBenchmarksBigNightly,parallelCollections,100,1,4536 4580 4419 4431 4418 4451 4423 4437 4413 4414,633.4,633.4,633.4,0,0,0,10,71.6,179
CompilationBenchmarksBigNightly,re2s,60,1,1792 1790 1789 1802 1795 1787 1789 1785 1784 1783,270.4,270.4,270.5,0,0,0,49,217.7,618
CompilationBenchmarksBigNightly,scalaToday,130,1,3187 3186 3187 3187 3187 3183 3188 3186 3255 3276,569.9,569.9,569.9,0,0,0,21,170.7,398
CompilationBenchmarksBigNightly,scalaYaml,40,1,4274 4257 4266 4253 4281 4247 4245 4264 4249 4241,577.2,577.3,577.4,0,0,0,55,408.9,647
CompilationBenchmarksBigNightly,sourcecode,100,1,877.7 875.8 880.6 876.4 875.9 874 876.2 876.1 875.6 878.9,173.3,173.3,173.3,0,0,0,19,107.5,317
CompilationBenchmarksBigNightly,tastyQuery,60,1,5035 5136 5080 5137 5129 5137 5092 4988 4971 4972,690.7,690.7,690.8,0,0,0,19,253.3,641
CompilationBenchmarksBigNightly,tictactoe,130,1,1119 1119 1144 1114 1147 1143 1132 1079 1094 1089,253,253,253,0,0,0,9,165.4,501
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1212 1212 1212 1212 1285 1322 1242 1212 1219 1213,425.4,425.5,425.6,0,0,0,10,65.1,156
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1502 1503 1503 1502 1502 1504 1502 1507 1503 1501,250,250,250,0,0,0,11,137.5,488
CompilationBenchmarksBigWeekly,scalaz,25,1,28389 29101 28787 27932 28733 28221 27837 28222 27944 28174,4034,4037,4041,2,2.4,3,205,390.4,728
CompilationBenchmarksSmallNightly,helloWorld,150,1,89.46 90.5 89.54 89.49 89.36 88.84 88.88 88.81 89.63 89.26,25.88,25.88,25.88,0,0,0,1,22.8,41
CompilationBenchmarksSmallNightly,implicitInductive,150,1,905.6 904.9 904 905.5 903.7 904.1 904.1 903.8 938.8 903.9,68.31,68.31,68.31,0,0,0,16,50.9,107
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,647.1 646.8 646.8 646.6 646.9 646.4 648.2 647.3 646.6 646.8,146.4,146.4,146.4,0,0,0,10,73.4,267
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,329.4 329.3 330.4 329.7 326.9 326.3 324.8 325.4 324.4 325.2,75.36,75.37,75.4,0,0,0,5,89.4,504
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,222 220.6 226.2 228.7 231.2 226.1 222.2 230.5 229.9 221.8,62.26,62.27,62.27,0,0,0,3,36.9,147
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,135.8 163.7 145.5 145.4 144.6 144.3 145.1 144 146.6 146.1,39.23,39.24,39.24,0,0,0,1,30.7,101
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,123.2 122.3 123.2 122.8 129.5 128.2 129.1 125.3 120.1 129.8,33.99,33.99,33.99,0,0,0,4,24.7,73
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,117.6 118 117.7 117.3 118.2 117.5 117.1 117 117.1 117,33.96,33.96,33.96,0,0,0,1,27.2,87
CompilationBenchmarksSmallWeekly,findRef,150,1,84.06 83.54 82.94 84.28 83.17 83.24 84.38 82.64 83.36 82.66,23.47,23.48,23.48,0,0,0,1,21.8,64
CompilationBenchmarksSmallWeekly,i1535,150,1,164.3 163.6 163.1 163.5 162.9 164.8 165.1 162.8 162.6 162.2,46.21,46.22,46.22,0,0,0,14,81.8,253
CompilationBenchmarksSmallWeekly,i1687,150,1,79.38 79.42 79.24 78.86 78.41 78.09 77.64 79.33 78.76 79.36,23.19,23.19,23.19,0,0,0,1,17,42
CompilationBenchmarksSmallWeekly,implicitCache,150,1,114.2 115 114.7 114.5 114.5 113.7 113.5 113.7 114.7 114.1,31.99,31.99,31.99,0,0,0,2,12.8,42
CompilationBenchmarksSmallWeekly,implicitNums,150,1,314.3 314.8 319.1 314 313.5 313.9 313.7 314.1 313.7 322.8,76.6,76.6,76.6,0,0,0,1,33.9,144
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,117.1 114.3 114.5 115.1 113.8 118.3 113.9 113.2 114.4 114.5,32.39,32.39,32.39,0,0,0,2,21.7,61
CompilationBenchmarksSmallWeekly,tuple,150,1,209.9 210.1 209.8 208 209.1 209.7 208.9 208.6 209 209.9,64.08,64.08,64.09,0,0,0,7,38.1,83
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,171 170 169.1 170.7 170.6 168.7 168.8 168.8 170.1 169.2,55.12,55.12,55.12,0,0,0,3,32.8,105
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,201.9 203.1 200.7 201.7 201.8 201.4 201.6 201.9 201.3 201.2,69.68,69.68,69.69,0,0,0,0,41.9,217
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,94.52 95.36 95.08 103.9 94.85 94.38 93.82 94.24 95.15 94.81,29.99,29.99,29.99,0,0,0,0,16.4,46
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,155.4 156.2 154.8 153 154.6 152.7 153.1 153.2 154 153.9,51.74,51.75,51.75,0,0,0,3,38.5,105
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,211 213.1 212.6 213.2 212.5 211.9 210.7 211 211.5 211.1,66.8,66.8,66.8,0,0,0,0,51.1,136
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,91.05 91.19 91.08 90.67 90.9 91.79 91.78 90.77 90.27 91.1,25.98,25.98,25.98,0,0,0,1,12.1,22
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5087 5083 5079 5032 5086 5097 5178 5185 5229 5317,683.8,683.8,683.9,0,0,0,12,214.5,576
