suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,25921 25699 25409 25973 26223 26286 26066 25539 25425 25546,4355,4356,4356,0,0,0,936,1190,1594
CompilationBenchmarksBigNightly,caskApp,130,1,634.8 613 613.3 614.1 612.5 613.9 628.7 651.2 613.8 610.5,150.1,150.1,150.1,0,0,0,7,142.2,427
CompilationBenchmarksBigNightly,dottyUtils,170,1,1082 1083 1082 1083 1081 1081 1085 1084 1081 1094,180.3,180.3,180.3,0,0,0,2,59.1,175
CompilationBenchmarksBigNightly,fansi,140,1,1059 1064 1061 1059 1058 1061 1058 1058 1057 1058,194.7,194.7,194.7,0,0,0,413,531.2,801
CompilationBenchmarksBigNightly,parallelCollections,100,1,4577 4578 4576 4578 4581 4576 4578 4577 4575 4578,649.8,649.8,649.8,0,0,0,9,77.8,152
CompilationBenchmarksBigNightly,re2s,60,1,1808 1807 1807 1818 1798 1791 1788 1789 1796 1794,280,280,280,0,0,0,50,171.4,453
CompilationBenchmarksBigNightly,scalaToday,130,1,3175 3180 3181 3179 3176 3176 3172 3185 3174 3170,580.2,580.2,580.3,0,0,0,11,201,713
CompilationBenchmarksBigNightly,scalaYaml,40,1,4188 4190 4192 4180 4178 4174 4169 4169 4167 4162,584.3,584.4,584.9,0,0,0,118,382.9,550
CompilationBenchmarksBigNightly,sourcecode,100,1,869.6 866.4 861.7 861.5 861.2 861.7 864.4 860.7 860.2 871.7,176.7,176.7,176.7,0,0,0,21,110,350
CompilationBenchmarksBigNightly,tastyQuery,60,1,5026 4966 4966 4957 4948 4940 4939 4938 4942 4941,707.5,707.5,707.6,0,0,0,26,233.5,648
CompilationBenchmarksBigNightly,tictactoe,130,1,1090 1088 1237 1105 1125 1088 1085 1084 1087 1082,261.1,261.1,261.1,0,0,0,45,226.5,518
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1210 1210 1209 1209 1208 1208 1207 1208 1208 1208,429.4,429.5,429.6,0,0,0,8,69.9,195
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1537 1538 1518 1515 1540 1647 1571 1549 1559 1543,256.2,256.3,256.3,0,0,0,24,160.9,531
CompilationBenchmarksBigWeekly,scalaz,25,1,27834 27855 28004 28076 27905 27356 28069 28308 28106 27827,4091,4094,4099,2,2.4,3,239,411.8,716
CompilationBenchmarksSmallNightly,helloWorld,150,1,85.96 87.07 85.16 84.68 84.57 83.6 84.77 84.14 84.55 83.81,25.46,25.46,25.46,0,0,0,0,20.4,42
