suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Weekly,indigo,40,1,25590 25122 26242 26475 25250 25880 26176 26078 26056 26418,4312,4313,4313,0,0,0,877,1112,1352
CompilationBenchmarksBigNightly,caskApp,130,1,603.8 605.9 608 599.1 598.5 597.2 595.2 672.2 619.7 614.2,140.4,140.4,140.4,0,0,0,12,149.9,461
CompilationBenchmarksBigNightly,dottyUtils,170,1,1065 1065 1065 1064 1064 1064 1064 1064 1064 1062,173,173,173,0,0,0,2,51.8,156
CompilationBenchmarksBigNightly,fansi,140,1,1080 1077 1078 1074 1076 1075 1074 1076 1073 1074,188.3,188.3,188.3,0,0,0,395,494,759
CompilationBenchmarksBigNightly,parallelCollections,100,1,4652 4589 4814 4595 4674 4673 4598 4594 4599 4602,634.3,634.3,634.3,0,0,0,10,65.1,201
CompilationBenchmarksBigNightly,re2s,60,1,1797 1797 1796 1803 1788 1780 1778 1779 1780 1778,271,271,271,0,0,0,61,168.3,462
CompilationBenchmarksBigNightly,scalaToday,130,1,3204 3209 3206 3203 3207 3207 3203 3210 3204 3202,559.7,559.8,559.8,0,0,0,40,222.9,593
CompilationBenchmarksBigNightly,scalaYaml,40,1,4257 4253 4258 4253 4247 4247 4251 4237 4232 4230,570.7,571.2,571.6,0,0,0,145,404.6,567
CompilationBenchmarksBigNightly,sourcecode,100,1,877 881.2 875.9 877.6 875.4 876 876.6 879 889.6 878.2,170.5,170.5,170.5,0,0,0,22,149.7,617
CompilationBenchmarksBigNightly,tastyQuery,60,1,5014 5014 5015 5015 5015 5010 5009 5009 5009 5007,683.3,683.3,683.4,0,0,0,19,226.8,581
CompilationBenchmarksBigNightly,tictactoe,130,1,1155 1152 1157 1148 1148 1154 1150 1148 1154 1148,247.4,247.5,247.6,0,0,0,23,173.8,460
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,1215 1216 1215 1215 1213 1214 1211 1212 1214 1213,422.6,422.6,422.7,0,0,0,9,67,171
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1518 1512 1512 1510 1510 1510 1510 1508 1510 1509,247.3,247.3,247.3,0,0,0,19,185.1,723
CompilationBenchmarksBigWeekly,scalaz,25,1,27701 27973 28510 28018 27941 27754 27899 27871 28386 29059,4059,4061,4064,2,2.5,3,192,470,952
CompilationBenchmarksSmallNightly,helloWorld,150,1,82.8 83.6 81.79 81.68 81.4 80.86 81.77 81.45 82.36 81.74,24.06,24.06,24.06,0,0,0,0,19.2,41
CompilationBenchmarksSmallNightly,implicitInductive,150,1,898.2 897.6 897.2 897.9 897.7 897.5 898.2 897.2 898.7 897.7,66.5,66.5,66.5,0,0,0,7,47.5,126
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,641.9 640.4 634.9 635.7 634.6 636.8 637 634.9 635.2 635.9,146.7,146.7,146.7,0,0,0,5,58.3,157
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,325.7 325.2 326.4 331.4 324.6 325.6 326.1 324.4 327.3 322.8,72.16,72.18,72.21,0,0,0,6,163.5,830
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,213.3 212.9 212.3 212.9 212.5 212.8 212.9 211.6 213.1 213.9,60.7,60.7,60.7,0,0,0,0,38.3,172
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,133.3 134 133.6 133.9 133 133.2 133.2 134 133.4 133.7,38.64,38.65,38.65,0,0,0,0,24.9,63
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,119.8 119.2 118.3 118.3 118.1 118 117.8 118 115.7 119.5,33.33,33.33,33.34,0,0,0,4,23.5,79
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,120.3 120.2 120.8 121.5 120.8 119.8 120.4 120.1 120.2 120,33.29,33.29,33.29,0,0,0,3,28.7,73
CompilationBenchmarksSmallWeekly,findRef,150,1,86.82 88.62 82.29 87.88 85.73 83.13 86.07 85.1 85.63 85.89,23.16,23.16,23.17,0,0,0,0,23.1,67
CompilationBenchmarksSmallWeekly,i1535,150,1,166.3 167.3 166.5 167.3 166.3 168.8 169.4 170.2 168.6 164.5,44.77,44.77,44.77,0,0,0,3,44.8,135
CompilationBenchmarksSmallWeekly,i1687,150,1,83.45 83.79 83.59 83.59 83.08 83.37 84.8 83.88 83.88 85.18,22.94,22.94,22.95,0,0,0,0,16.8,39
CompilationBenchmarksSmallWeekly,implicitCache,150,1,107.2 107.1 107.4 109.2 107.8 107.5 107.2 107.3 108.4 107,30.78,30.78,30.79,0,0,0,1,17.9,66
CompilationBenchmarksSmallWeekly,implicitNums,150,1,309.8 309.3 309.9 309.4 309.9 308.9 309.3 308.9 308.3 309.1,73.6,73.6,73.6,0,0,0,0,23.2,139
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,114 114.4 114.6 115.1 113.3 111.8 111.9 111.8 112.6 113.8,31.01,31.01,31.02,0,0,0,1,19.7,57
CompilationBenchmarksSmallWeekly,tuple,150,1,210 211 210.6 207.2 214.1 210 212.2 210 210.5 210,62.06,62.06,62.06,0,0,0,9,41.1,129
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,164 163.3 162 163 163.2 163.5 162.6 161.9 162.4 163.2,51.51,51.51,51.51,0,0,0,2,30.8,103
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,194.6 196.5 194.9 196.3 195.1 194.1 193.8 194.2 194.2 194.1,65.89,65.9,65.9,0,0,0,1,37.8,155
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,100.8 99.88 99.97 100 100.6 100.3 98.22 99.6 98 100.5,29.23,29.23,29.23,0,0,0,0,15.8,42
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,147.6 147.1 147.8 147.8 146.9 146.6 153.2 147.1 145.7 146,48.09,48.09,48.09,0,0,0,2,38.4,84
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,216 215.2 214.5 213.9 215.1 215.2 215.4 215.3 213.8 215.2,65,65,65,0,0,0,0,42.7,122
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,130,1,86.18 85.7 85.28 85.84 85.74 85.46 85.95 85.88 85.83 85.59,24.13,24.13,24.13,0,0,0,1,13.6,29
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5065 5062 5066 4996 4990 4987 4983 5000 4981 4985,687.1,687.1,687.2,0,0,0,14,223.2,679
