suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26979 27089 26362 26514 26768 26958 27260 26451 25959 26649,4149,4149,4149,0,0,0,937,1100,1299
CompilationBenchmarksBigNightly,caskApp,150,1,572.6 583.8 578.6 579.5 550.5 581.5 563.5 568.6 558 558.4,107.6,107.6,107.6,0,0,0,6,82.6,198
CompilationBenchmarksBigNightly,dottyUtils,150,1,1103 1103 1104 1104 1101 1102 1095 1088 1094 1088,154.5,154.5,154.5,0,0,0,3,176.4,468
CompilationBenchmarksBigNightly,fansi,150,1,1286 1307 1316 1319 1315 1298 1297 1276 1273 1277,200,200,200.2,0,0,0,495,611.7,777
CompilationBenchmarksBigNightly,parallelCollections,80,1,4531 4534 4635 4633 4618 4644 4543 4561 4550 4648,568.3,568.3,568.3,0,0,0,32,140.1,321
CompilationBenchmarksBigNightly,re2s,100,1,1797 1793 1819 1817 1801 1816 1916 1831 1809 1792,247.3,247.3,247.4,0,0,0,17,117.3,311
CompilationBenchmarksBigNightly,scalaToday,150,1,3232 3235 3233 3233 3233 3234 3233 3231 3232 3232,470.9,470.9,470.9,0,0,0,15,92.7,331
CompilationBenchmarksBigNightly,scalaYaml,80,1,4503 4501 4571 4609 4569 4615 4621 4614 4588 4511,538.8,538.8,538.9,0,0,0,89,166.3,376
CompilationBenchmarksBigNightly,sourcecode,170,1,952.5 933 927.2 928.4 924.9 927.7 926 933.1 925.3 927,162.3,162.3,162.3,0,0,0,0,114.5,378
CompilationBenchmarksBigNightly,tastyQuery,60,1,5007 4990 4990 4994 4994 4986 5050 4987 5272 5116,635.6,635.6,635.6,0,0,0,51,241.1,931
CompilationBenchmarksBigNightly,tictactoe,150,1,1118 1116 1104 1106 1117 1115 1115 1113 1122 1118,211.1,211.1,211.1,0,0,0,34,122.6,320
CompilationBenchmarksSmallNightly,helloWorld,150,1,122.9 122.2 120.8 122 121.2 121 121.3 120.9 122.3 121.5,34.37,34.37,34.37,0,0,0,2,20.8,47
CompilationBenchmarksSmallNightly,implicitInductive,150,1,876.5 875.6 875.6 874.4 874.1 874.6 874.2 874 876.8 873.6,66.23,66.24,66.24,0,0,0,15,53.8,147
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,564.8 564.2 565.2 563.7 564.9 564.3 563 564.7 565.2 564.3,104.3,104.3,104.3,0,0,0,19,64.6,158
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,353.5 358.4 351.9 351.8 350.5 348.2 347.6 348.5 350.1 343.7,67.87,67.88,67.9,0,0,0,10,143.1,428
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.526 8.521 8.578 8.531 8.526 8.517 8.529 8.578 8.542 8.524,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,192 186.7 186.8 186.7 187.1 186.9 187.1 186.6 186.6 186.5,350.4,350.4,350.4,0,0,0,0,2.9,16
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.31 22.35 22.34 22.3 22.3 22.38 22.29 22.28 22.31 22.32,6.574,6.574,6.574,0,0,0,0,0.9,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,453.7 453.4 453.3 453.5 453.4 453.5 454.3 453.5 453.5 453.5,267.5,267.5,267.5,0,0,0,0,1.1,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,26.47 26.49 26.51 26.5 26.47 26.63 27.06 26.45 26.48 26.45,5.613,5.613,5.613,0,0,0,0,1,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,93.28 93.2 93.11 93.21 93.15 93.29 92.91 92.96 92.93 96.2,96.1,96.1,96.1,0,0,0,0,1.4,4
